loan_id,partner_code,guarantee_amount,guarantee_fee_rate,claim_status,claim_amount,is_test_data
LN20250307000003,GTE_A,21147.26,0.03,NORMAL,0,1
LN20250520000002,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250621000006,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250218000010,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250325000003,GTE_A,8806.93,0.03,NORMAL,0,1
LN20250212000006,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250611000001,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250112000001,GTE_A,7846.28,0.03,NORMAL,0,1
LN20250416000001,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250305000002,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250419000002,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250213000007,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250520000003,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250417000005,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250412000003,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250318000004,GTE_A,4512.70,0.03,NORMAL,0,1
LN20250510000003,GTE_A,15563.07,0.03,NORMAL,0,1
LN20250130000005,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250223000011,GTE_A,26273.64,0.03,NORMAL,0,1
LN20250227000007,GTE_A,12860.73,0.03,NORMAL,0,1
LN20250620000007,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250604000006,GTE_A,68622.48,0.03,NORMAL,0,1
LN20250306000008,GTE_A,50000.00,0.03,NORMAL,0,1
LN20250203000004,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250626000004,GTE_A,7162.34,0.03,NORMAL,0,1
LN20250330000003,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250324000005,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250312000008,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250321000007,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250514000004,GTE_A,51366.13,0.03,NORMAL,0,1
LN20250123000002,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250209000008,GTE_A,1190.86,0.03,NORMAL,0,1
LN20250512000005,GTE_A,4017.27,0.03,NORMAL,0,1
LN20250612000008,GTE_A,22952.44,0.03,NORMAL,0,1
LN20250305000004,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250322000004,GTE_A,50000.00,0.03,NORMAL,0,1
LN20250219000006,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250522000003,GTE_A,30000.00,0.03,NORMAL,0,1
LN20250605000004,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250630000004,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250307000008,GTE_A,30000.00,0.03,NORMAL,0,1
LN20250514000005,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250211000006,GTE_A,45966.82,0.03,NORMAL,0,1
LN20250226000006,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250324000007,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250415000003,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250507000003,GTE_A,12577.48,0.03,NORMAL,0,1
LN20250604000009,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250317000011,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250513000006,GTE_A,26169.73,0.03,NORMAL,0,1
LN20250502000003,GTE_A,11467.12,0.03,NORMAL,0,1
LN20250222000011,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250503000007,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250614000006,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250305000007,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250317000013,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250322000007,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250616000006,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250125000003,GTE_A,50000.00,0.03,NORMAL,0,1
LN20250527000006,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250521000005,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250218000011,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250204000008,GTE_A,9767.96,0.03,NORMAL,0,1
LN20250212000011,GTE_A,46490.39,0.03,NORMAL,0,1
LN20250203000006,GTE_A,25463.97,0.03,NORMAL,0,1
LN20250417000007,GTE_A,30000.00,0.03,NORMAL,0,1
LN20250203000007,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250322000008,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250606000003,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250419000007,GTE_A,44728.73,0.03,NORMAL,0,1
LN20250221000011,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250306000013,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250317000015,GTE_A,7523.54,0.03,NORMAL,0,1
LN20250414000004,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250319000007,GTE_A,84959.82,0.03,NORMAL,0,1
LN20250214000019,GTE_A,8702.92,0.03,NORMAL,0,1
LN20250615000010,GTE_A,4383.22,0.03,NORMAL,0,1
LN20250212000015,GTE_A,25199.59,0.03,NORMAL,0,1
LN20250318000011,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250509000003,GTE_A,7455.77,0.03,NORMAL,0,1
LN20250404000008,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250127000002,GTE_A,21990.23,0.03,NORMAL,0,1
LN20250506000004,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250223000019,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250219000011,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250120000004,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250219000012,GTE_A,76620.29,0.03,NORMAL,0,1
LN20250225000009,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250207000010,GTE_A,42614.26,0.03,NORMAL,0,1
LN20250310000014,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250322000009,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250502000006,GTE_A,2313.33,0.03,NORMAL,0,1
LN20250302000011,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250526000015,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250618000005,GTE_A,7959.86,0.03,NORMAL,0,1
LN20250219000013,GTE_A,55463.65,0.03,NORMAL,0,1
LN20250131000006,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250209000012,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250510000008,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250306000015,GTE_A,71662.02,0.03,NORMAL,0,1
LN20250215000020,GTE_A,9003.19,0.03,NORMAL,0,1
LN20250404000012,GTE_A,5608.36,0.03,NORMAL,0,1
LN20250217000014,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250223000020,GTE_A,10129.28,0.03,NORMAL,0,1
LN20250616000011,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250317000021,GTE_A,25765.02,0.03,NORMAL,0,1
LN20250210000010,GTE_A,27662.37,0.03,NORMAL,0,1
LN20250402000011,GTE_A,28705.29,0.03,NORMAL,0,1
LN20250302000012,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250615000015,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250311000013,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250314000014,GTE_A,26448.78,0.03,NORMAL,0,1
LN20250607000009,GTE_A,52948.87,0.03,NORMAL,0,1
LN20250406000009,GTE_A,30000.00,0.03,NORMAL,0,1
LN20250527000011,GTE_A,5326.36,0.03,NORMAL,0,1
LN20250619000010,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250302000013,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250209000013,GTE_A,55243.57,0.03,NORMAL,0,1
LN20250421000009,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250511000015,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250304000020,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250312000019,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250228000020,GTE_A,1531.78,0.03,NORMAL,0,1
LN20250224000021,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250310000020,GTE_A,41504.49,0.03,NORMAL,0,1
LN20250628000009,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250313000019,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250331000009,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250319000016,GTE_A,3795.24,0.03,NORMAL,0,1
LN20250306000019,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250317000023,GTE_A,50189.14,0.03,NORMAL,0,1
LN20250623000006,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250429000009,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250503000010,GTE_A,45396.81,0.03,NORMAL,0,1
LN20250315000008,GTE_A,9209.66,0.03,NORMAL,0,1
LN20250308000021,GTE_A,12665.06,0.03,NORMAL,0,1
LN20250425000008,GTE_A,45483.80,0.03,NORMAL,0,1
LN20250415000005,GTE_A,45258.41,0.03,NORMAL,0,1
LN20250305000013,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250219000019,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250207000015,GTE_A,50000.00,0.03,NORMAL,0,1
LN20250309000019,GTE_A,27285.99,0.03,NORMAL,0,1
LN20250409000016,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250312000020,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250404000013,GTE_A,27850.30,0.03,NORMAL,0,1
LN20250511000017,GTE_A,8097.44,0.03,NORMAL,0,1
LN20250207000016,GTE_A,30000.00,0.03,NORMAL,0,1
LN20250206000013,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250428000008,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250512000013,GTE_A,48038.84,0.03,NORMAL,0,1
LN20250322000015,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250501000009,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250507000017,GTE_A,30000.00,0.03,NORMAL,0,1
LN20250227000016,GTE_A,7700.88,0.03,NORMAL,0,1
LN20250131000010,GTE_A,5855.03,0.03,NORMAL,0,1
LN20250513000012,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250521000011,GTE_A,14104.64,0.03,NORMAL,0,1
LN20250203000012,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250619000012,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250404000015,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250306000025,GTE_A,22820.51,0.03,NORMAL,0,1
LN20250318000015,GTE_A,25012.94,0.03,NORMAL,0,1
LN20250316000014,GTE_A,1832.17,0.03,NORMAL,0,1
LN20250213000027,GTE_A,52560.43,0.03,NORMAL,0,1
LN20250521000013,GTE_A,9117.28,0.03,NORMAL,0,1
LN20250621000013,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250213000028,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250501000010,GTE_A,26498.89,0.03,NORMAL,0,1
LN20250405000014,GTE_A,8692.58,0.03,NORMAL,0,1
LN20250415000009,GTE_A,8280.00,0.03,NORMAL,0,1
LN20250313000028,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250331000011,GTE_A,30000.00,0.03,NORMAL,0,1
LN20250215000025,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250522000015,GTE_A,54307.30,0.03,NORMAL,0,1
LN20250227000019,GTE_A,46725.67,0.03,NORMAL,0,1
LN20250221000022,GTE_A,8951.48,0.03,NORMAL,0,1
LN20250322000021,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250225000016,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250201000012,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250306000027,GTE_A,50000.00,0.03,NORMAL,0,1
LN20250629000010,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250602000008,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250526000019,GTE_A,30000.00,0.03,NORMAL,0,1
LN20250607000013,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250330000009,GTE_A,13470.40,0.03,NORMAL,0,1
LN20250530000014,GTE_A,4857.87,0.03,NORMAL,0,1
LN20250305000017,GTE_A,13174.82,0.03,NORMAL,0,1
LN20250215000027,GTE_A,25069.89,0.03,NORMAL,0,1
LN20250324000018,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250210000016,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250528000012,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250303000021,GTE_A,27819.51,0.03,NORMAL,0,1
LN20250302000020,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250326000014,GTE_A,6291.94,0.03,NORMAL,0,1
LN20250418000011,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250513000014,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250202000008,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250202000009,GTE_A,880.51,0.03,NORMAL,0,1
LN20250205000017,GTE_A,2244.93,0.03,NORMAL,0,1
LN20250421000013,GTE_A,27526.35,0.03,NORMAL,0,1
LN20250320000014,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250326000015,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250317000032,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250218000018,GTE_A,34450.40,0.03,NORMAL,0,1
LN20250224000031,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250201000014,GTE_A,24731.39,0.03,NORMAL,0,1
LN20250624000014,GTE_A,38650.20,0.03,NORMAL,0,1
LN20250610000013,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250407000013,GTE_A,23015.68,0.03,NORMAL,0,1
LN20250626000013,GTE_A,7634.05,0.03,NORMAL,0,1
LN20250613000012,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250403000008,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250618000012,GTE_A,29432.25,0.03,NORMAL,0,1
LN20250301000028,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250602000010,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250526000023,GTE_A,8106.07,0.03,NORMAL,0,1
LN20250508000016,GTE_A,1095.44,0.03,NORMAL,0,1
LN20250630000011,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250619000016,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250516000014,GTE_A,50139.71,0.03,NORMAL,0,1
LN20250601000015,GTE_A,54883.63,0.03,NORMAL,0,1
LN20250207000025,GTE_A,22837.55,0.03,NORMAL,0,1
LN20250202000013,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250613000013,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250609000012,GTE_A,24555.14,0.03,NORMAL,0,1
LN20250513000015,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250325000011,GTE_A,3444.76,0.03,NORMAL,0,1
LN20250518000011,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250415000016,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250501000015,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250511000023,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250626000014,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250220000025,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250625000012,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250622000018,GTE_A,17946.04,0.03,NORMAL,0,1
LN20250330000011,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250212000028,GTE_A,825.60,0.03,NORMAL,0,1
LN20250225000019,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250621000018,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250508000019,GTE_A,7740.25,0.03,NORMAL,0,1
LN20250217000022,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250216000020,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250324000021,GTE_A,25951.37,0.03,NORMAL,0,1
LN20250508000021,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250521000018,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250226000023,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250312000032,GTE_A,29492.79,0.03,NORMAL,0,1
LN20250630000014,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250312000033,GTE_A,491.79,0.03,NORMAL,0,1
LN20250218000021,GTE_A,82635.40,0.03,NORMAL,0,1
LN20250303000027,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250315000014,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250506000009,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250625000015,GTE_A,6401.82,0.03,NORMAL,0,1
LN20250210000018,GTE_A,7102.23,0.03,NORMAL,0,1
LN20250303000028,GTE_A,23802.13,0.03,NORMAL,0,1
LN20250226000024,GTE_A,6661.53,0.03,NORMAL,0,1
LN20250314000026,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250129000012,GTE_A,80000.00,0.03,NORMAL,0,1
LN20250426000012,GTE_A,12324.83,0.03,NORMAL,0,1
LN20250330000017,GTE_A,9717.36,0.03,NORMAL,0,1
LN20250527000018,GTE_A,23848.00,0.03,NORMAL,0,1
LN20250305000021,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250314000027,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250516000018,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250605000017,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250612000026,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250216000023,GTE_A,26763.69,0.03,NORMAL,0,1
LN20250601000018,GTE_A,30000.00,0.03,NORMAL,0,1
LN20250628000012,GTE_A,20723.79,0.03,NORMAL,0,1
LN20250210000019,GTE_A,8066.29,0.03,NORMAL,0,1
LN20250118000010,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250212000032,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250524000019,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250526000027,GTE_A,26804.20,0.03,NORMAL,0,1
LN20250326000022,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250117000009,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250213000034,GTE_A,21144.03,0.03,NORMAL,0,1
LN20250414000010,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250429000016,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250402000020,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250222000031,GTE_A,80000.00,0.03,NORMAL,0,1
LN20250218000025,GTE_A,80000.00,0.03,NORMAL,0,1
LN20250611000013,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250124000011,GTE_A,45321.94,0.03,NORMAL,0,1
LN20250127000012,GTE_A,1153.38,0.03,NORMAL,0,1
LN20250206000021,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250329000018,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250611000014,GTE_A,25944.37,0.03,NORMAL,0,1
LN20250208000018,GTE_A,6580.30,0.03,NORMAL,0,1
LN20250306000039,GTE_A,7198.46,0.03,NORMAL,0,1
LN20250204000018,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250615000027,GTE_A,6270.14,0.03,NORMAL,0,1
LN20250505000012,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250505000013,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250513000017,GTE_A,8760.49,0.03,NORMAL,0,1
LN20250217000027,GTE_A,47040.92,0.03,NORMAL,0,1
LN20250209000021,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250331000021,GTE_A,12071.00,0.03,NORMAL,0,1
LN20250629000013,GTE_A,2479.47,0.03,NORMAL,0,1
LN20250524000021,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250606000011,GTE_A,25259.11,0.03,NORMAL,0,1
LN20250404000027,GTE_A,25803.18,0.03,NORMAL,0,1
LN20250304000038,GTE_A,46123.91,0.03,NORMAL,0,1
LN20250509000012,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250212000034,GTE_A,16244.72,0.03,NORMAL,0,1
LN20250128000014,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250520000012,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250427000015,GTE_A,22094.49,0.03,NORMAL,0,1
LN20250517000030,GTE_A,858.75,0.03,NORMAL,0,1
LN20250413000016,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250315000018,GTE_A,28287.98,0.03,NORMAL,0,1
LN20250228000035,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250514000016,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250211000024,GTE_A,30000.00,0.03,NORMAL,0,1
LN20250217000029,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250402000024,GTE_A,8971.39,0.03,NORMAL,0,1
LN20250515000025,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250605000019,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250603000017,GTE_A,593.75,0.03,NORMAL,0,1
LN20250405000019,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250326000025,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250605000021,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250311000030,GTE_A,90941.78,0.03,NORMAL,0,1
LN20250327000031,GTE_A,30000.00,0.03,NORMAL,0,1
LN20250606000014,GTE_A,30000.00,0.03,NORMAL,0,1
LN20250223000037,GTE_A,26013.65,0.03,NORMAL,0,1
LN20250314000034,GTE_A,80000.00,0.03,NORMAL,0,1
LN20250112000004,GTE_A,828.69,0.03,NORMAL,0,1
LN20250627000019,GTE_A,30000.00,0.03,NORMAL,0,1
LN20250404000029,GTE_A,22418.85,0.03,NORMAL,0,1
LN20250528000017,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250517000031,GTE_A,26843.60,0.03,NORMAL,0,1
LN20250315000023,GTE_A,42787.08,0.03,NORMAL,0,1
LN20250403000019,GTE_A,50000.00,0.03,NORMAL,0,1
LN20250307000047,GTE_A,40275.17,0.03,NORMAL,0,1
LN20250208000019,GTE_A,80000.00,0.03,NORMAL,0,1
LN20250514000017,GTE_A,18822.51,0.03,NORMAL,0,1
LN20250407000020,GTE_A,6097.28,0.03,NORMAL,0,1
LN20250613000018,GTE_A,10563.09,0.03,NORMAL,0,1
LN20250527000024,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250214000040,GTE_A,2018.65,0.03,NORMAL,0,1
LN20250127000016,GTE_A,4687.23,0.03,NORMAL,0,1
LN20250227000038,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250307000048,GTE_A,50000.00,0.03,NORMAL,0,1
LN20250524000024,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250607000022,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250523000028,GTE_A,22853.28,0.03,NORMAL,0,1
LN20250513000019,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250113000003,GTE_A,4174.42,0.03,NORMAL,0,1
LN20250521000024,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250308000041,GTE_A,80283.85,0.03,NORMAL,0,1
LN20250226000035,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250306000044,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250324000028,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250519000026,GTE_A,4070.86,0.03,NORMAL,0,1
LN20250228000041,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250310000041,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250407000022,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250419000022,GTE_A,8000.00,0.03,NORMAL,0,1
LN20250131000022,GTE_A,22147.31,0.03,NORMAL,0,1
LN20250409000024,GTE_A,15000.00,0.03,NORMAL,0,1
LN20250508000028,GTE_A,30000.00,0.03,NORMAL,0,1
LN20250228000042,GTE_A,634.72,0.03,NORMAL,0,1
LN20250516000026,GTE_A,70110.23,0.03,NORMAL,0,1
LN20250622000028,GTE_A,8440.95,0.03,NORMAL,0,1
LN20250429000020,GTE_A,5962.37,0.03,NORMAL,0,1
LN20250124000013,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250227000041,GTE_A,20000.00,0.03,NORMAL,0,1
LN20250228000044,GTE_A,7537.00,0.03,NORMAL,0,1
LN20250214000044,GTE_A,7473.65,0.03,NORMAL,0,1
LN20250610000021,GTE_A,29771.31,0.03,NORMAL,0,1
LN20250329000023,GTE_A,9065.44,0.03,NORMAL,0,1
LN20250613000021,GTE_A,50000.00,0.03,NORMAL,0,1
LN20250620000019,GTE_A,1000.00,0.03,NORMAL,0,1
LN20250307000052,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250329000024,GTE_A,10000.00,0.03,NORMAL,0,1
LN20250622000030,GTE_A,25684.85,0.03,NORMAL,0,1
LN20250529000028,GTE_A,5000.00,0.03,NORMAL,0,1
LN20250503000018,GTE_A,2000.00,0.03,NORMAL,0,1
LN20250222000040,GTE_A,1892.80,0.03,NORMAL,0,1
LN20250408000017,GTE_A,8000.00,0.03,NORMAL,0,1
