loan_id,partner_code,agreement_id,funding_amount,funding_ratio,created_at,is_test_data
LN20250227000002,BANK_B,FABANK_B_PLATFORM_LOAN,22373.34,0.7,2025-02-27 22:49:49,1
LN20250507000001,BANK_B,FABANK_B_PLATFORM_LOAN,3500.00,0.7,2025-05-07 19:24:53,1
LN20250327000001,BANK_C,FABANK_C_JOINT_LOAN,1200.00,0.6,2025-03-27 20:20:00,1
LN20250604000002,BANK_C,FABANK_C_JOINT_LOAN,27159.39,0.6,2025-06-04 10:11:56,1
LN20250516000001,BANK_B,FABANK_B_PLATFORM_LOAN,619.01,0.7,2025-05-16 12:15:37,1
LN20250304000004,BANK_B,FABANK_B_PLATFORM_LOAN,2598.94,0.7,2025-03-04 22:35:58,1
LN20250209000002,BANK_B,FABANK_B_PLATFORM_LOAN,4740.44,0.7,2025-02-09 21:43:10,1
LN20250407000001,BANK_C,FABANK_C_JOINT_LOAN,14757.80,0.6,2025-04-07 20:24:49,1
LN20250429000001,BANK_B,FABANK_B_PLATFORM_LOAN,3500.00,0.7,2025-04-29 21:01:40,1
LN20250309000001,BANK_B,FABANK_B_PLATFORM_LOAN,15646.83,0.7,2025-03-09 12:20:38,1
LN20250222000001,BANK_C,FABANK_C_JOINT_LOAN,30000.00,0.6,2025-02-22 12:57:54,1
LN20250125000001,BANK_C,FABANK_C_JOINT_LOAN,600.00,0.6,2025-01-25 20:41:45,1
LN20250115000001,BANK_C,FABANK_C_JOINT_LOAN,13381.55,0.6,2025-01-15 13:05:38,1
LN20250128000002,BANK_C,FABANK_C_JOINT_LOAN,16674.17,0.6,2025-01-28 13:46:58,1
LN20250612000003,BANK_B,FABANK_B_PLATFORM_LOAN,5600.00,0.7,2025-06-12 21:41:58,1
LN20250516000002,BANK_B,FABANK_B_PLATFORM_LOAN,18087.23,0.7,2025-05-16 20:23:37,1
LN20250311000001,BANK_C,FABANK_C_JOINT_LOAN,9000.00,0.6,2025-03-11 20:47:51,1
LN20250214000002,BANK_B,FABANK_B_PLATFORM_LOAN,33630.09,0.7,2025-02-14 21:51:28,1
LN20250217000001,BANK_B,FABANK_B_PLATFORM_LOAN,18031.88,0.7,2025-02-17 20:28:15,1
LN20250217000002,BANK_B,FABANK_B_PLATFORM_LOAN,7000.00,0.7,2025-02-17 22:29:03,1
LN20250310000001,BANK_B,FABANK_B_PLATFORM_LOAN,18843.17,0.7,2025-03-10 18:26:48,1
LN20250323000001,BANK_B,FABANK_B_PLATFORM_LOAN,30574.84,0.7,2025-03-23 17:17:45,1
LN20250209000003,BANK_C,FABANK_C_JOINT_LOAN,1200.00,0.6,2025-02-09 10:28:37,1
LN20250505000001,BANK_C,FABANK_C_JOINT_LOAN,34283.96,0.6,2025-05-05 22:56:06,1
LN20250514000001,BANK_C,FABANK_C_JOINT_LOAN,6000.00,0.6,2025-05-14 17:43:01,1
LN20250328000001,BANK_B,FABANK_B_PLATFORM_LOAN,5545.14,0.7,2025-03-28 21:05:50,1
LN20250326000001,BANK_B,FABANK_B_PLATFORM_LOAN,5600.00,0.7,2025-03-26 11:39:34,1
LN20250201000001,BANK_B,FABANK_B_PLATFORM_LOAN,700.00,0.7,2025-02-01 22:15:30,1
LN20250210000002,BANK_B,FABANK_B_PLATFORM_LOAN,3500.00,0.7,2025-02-10 11:14:52,1
LN20250218000002,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-02-18 08:55:47,1
LN20250326000002,BANK_C,FABANK_C_JOINT_LOAN,1488.79,0.6,2025-03-26 20:05:17,1
LN20250406000001,BANK_C,FABANK_C_JOINT_LOAN,6000.00,0.6,2025-04-06 21:58:30,1
LN20250412000001,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-04-12 11:45:43,1
LN20250118000001,BANK_B,FABANK_B_PLATFORM_LOAN,1153.55,0.7,2025-01-18 12:48:05,1
LN20250129000001,BANK_C,FABANK_C_JOINT_LOAN,4800.00,0.6,2025-01-29 20:54:58,1
LN20250223000003,BANK_B,FABANK_B_PLATFORM_LOAN,33236.34,0.7,2025-02-23 10:27:51,1
LN20250530000001,BANK_B,FABANK_B_PLATFORM_LOAN,3500.00,0.7,2025-05-30 21:54:53,1
LN20250121000001,BANK_C,FABANK_C_JOINT_LOAN,30000.00,0.6,2025-01-21 21:23:08,1
LN20250304000005,BANK_C,FABANK_C_JOINT_LOAN,7785.35,0.6,2025-03-04 21:55:10,1
LN20250215000002,BANK_C,FABANK_C_JOINT_LOAN,4086.49,0.6,2025-02-15 21:34:48,1
LN20250626000001,BANK_B,FABANK_B_PLATFORM_LOAN,700.00,0.7,2025-06-26 12:06:52,1
LN20250512000001,BANK_B,FABANK_B_PLATFORM_LOAN,5969.12,0.7,2025-05-12 17:45:49,1
LN20250526000003,BANK_B,FABANK_B_PLATFORM_LOAN,3949.06,0.7,2025-05-26 14:15:05,1
LN20250221000002,BANK_C,FABANK_C_JOINT_LOAN,12000.00,0.6,2025-02-21 02:16:05,1
LN20250203000002,BANK_B,FABANK_B_PLATFORM_LOAN,14349.47,0.7,2025-02-03 12:15:12,1
LN20250527000001,BANK_B,FABANK_B_PLATFORM_LOAN,3500.00,0.7,2025-05-27 12:04:49,1
LN20250321000001,BANK_C,FABANK_C_JOINT_LOAN,2620.28,0.6,2025-03-21 21:35:11,1
LN20250425000002,BANK_B,FABANK_B_PLATFORM_LOAN,935.88,0.7,2025-04-25 15:53:42,1
LN20250328000002,BANK_B,FABANK_B_PLATFORM_LOAN,7000.00,0.7,2025-03-28 13:29:31,1
LN20250306000002,BANK_B,FABANK_B_PLATFORM_LOAN,5600.00,0.7,2025-03-06 00:20:14,1
LN20250404000001,BANK_C,FABANK_C_JOINT_LOAN,3000.00,0.6,2025-04-04 20:00:26,1
LN20250614000002,BANK_B,FABANK_B_PLATFORM_LOAN,3500.00,0.7,2025-06-14 13:46:32,1
LN20250629000002,BANK_C,FABANK_C_JOINT_LOAN,1200.00,0.6,2025-06-29 13:46:24,1
LN20250617000001,BANK_B,FABANK_B_PLATFORM_LOAN,17901.15,0.7,2025-06-17 09:17:21,1
LN20250624000001,BANK_B,FABANK_B_PLATFORM_LOAN,5628.11,0.7,2025-06-24 20:54:50,1
LN20250620000001,BANK_B,FABANK_B_PLATFORM_LOAN,4429.96,0.7,2025-06-20 16:32:24,1
LN20250422000001,BANK_C,FABANK_C_JOINT_LOAN,600.00,0.6,2025-04-22 20:18:12,1
LN20250409000002,BANK_C,FABANK_C_JOINT_LOAN,4800.00,0.6,2025-04-09 12:32:28,1
LN20250405000001,BANK_B,FABANK_B_PLATFORM_LOAN,5600.00,0.7,2025-04-05 20:17:52,1
LN20250528000001,BANK_B,FABANK_B_PLATFORM_LOAN,700.00,0.7,2025-05-28 15:02:48,1
LN20250427000001,BANK_B,FABANK_B_PLATFORM_LOAN,19534.54,0.7,2025-04-27 13:39:56,1
LN20250324000001,BANK_B,FABANK_B_PLATFORM_LOAN,17636.30,0.7,2025-03-24 13:58:22,1
LN20250422000002,BANK_B,FABANK_B_PLATFORM_LOAN,7000.00,0.7,2025-04-22 21:49:17,1
LN20250428000001,BANK_B,FABANK_B_PLATFORM_LOAN,2378.99,0.7,2025-04-28 08:27:08,1
LN20250506000001,BANK_B,FABANK_B_PLATFORM_LOAN,3500.00,0.7,2025-05-06 00:27:27,1
LN20250204000002,BANK_B,FABANK_B_PLATFORM_LOAN,14000.00,0.7,2025-02-04 20:24:57,1
LN20250317000003,BANK_B,FABANK_B_PLATFORM_LOAN,5807.63,0.7,2025-03-17 20:52:55,1
LN20250214000003,BANK_B,FABANK_B_PLATFORM_LOAN,41675.47,0.7,2025-02-14 21:17:54,1
LN20250218000004,BANK_C,FABANK_C_JOINT_LOAN,12000.00,0.6,2025-02-18 13:50:46,1
LN20250605000001,BANK_C,FABANK_C_JOINT_LOAN,18000.00,0.6,2025-06-05 10:20:25,1
LN20250622000001,BANK_B,FABANK_B_PLATFORM_LOAN,3500.00,0.7,2025-06-22 13:50:16,1
LN20250624000002,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-06-24 22:33:39,1
LN20250310000002,BANK_B,FABANK_B_PLATFORM_LOAN,3500.00,0.7,2025-03-10 23:55:50,1
LN20250216000003,BANK_B,FABANK_B_PLATFORM_LOAN,5600.00,0.7,2025-02-16 20:22:28,1
LN20250328000003,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-03-28 00:02:38,1
LN20250405000002,BANK_C,FABANK_C_JOINT_LOAN,30000.00,0.6,2025-04-05 10:08:10,1
LN20250401000001,BANK_B,FABANK_B_PLATFORM_LOAN,5162.79,0.7,2025-04-01 01:36:03,1
LN20250306000003,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-03-06 18:22:20,1
LN20250317000004,BANK_B,FABANK_B_PLATFORM_LOAN,700.00,0.7,2025-03-17 15:19:52,1
LN20250329000001,BANK_B,FABANK_B_PLATFORM_LOAN,700.00,0.7,2025-03-29 20:44:21,1
LN20250304000006,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-03-04 17:27:44,1
LN20250309000003,BANK_C,FABANK_C_JOINT_LOAN,33547.64,0.6,2025-03-09 22:04:12,1
LN20250613000001,BANK_B,FABANK_B_PLATFORM_LOAN,35000.00,0.7,2025-06-13 10:12:24,1
LN20250323000002,BANK_C,FABANK_C_JOINT_LOAN,6000.00,0.6,2025-03-23 14:53:08,1
LN20250418000002,BANK_C,FABANK_C_JOINT_LOAN,600.00,0.6,2025-04-18 13:30:40,1
LN20250223000004,BANK_C,FABANK_C_JOINT_LOAN,30000.00,0.6,2025-02-23 13:39:26,1
LN20250317000005,BANK_B,FABANK_B_PLATFORM_LOAN,17051.13,0.7,2025-03-17 20:47:30,1
LN20250207000002,BANK_B,FABANK_B_PLATFORM_LOAN,3364.25,0.7,2025-02-07 17:58:13,1
LN20250225000002,BANK_B,FABANK_B_PLATFORM_LOAN,15498.38,0.7,2025-02-25 13:57:20,1
LN20250327000003,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-03-27 22:46:10,1
LN20250205000001,BANK_B,FABANK_B_PLATFORM_LOAN,5969.92,0.7,2025-02-05 21:29:07,1
LN20250602000001,BANK_B,FABANK_B_PLATFORM_LOAN,6400.02,0.7,2025-06-02 09:49:52,1
LN20250520000001,BANK_B,FABANK_B_PLATFORM_LOAN,7000.00,0.7,2025-05-20 22:56:42,1
LN20250412000002,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-04-12 12:22:40,1
LN20250419000001,BANK_B,FABANK_B_PLATFORM_LOAN,2866.29,0.7,2025-04-19 13:22:57,1
LN20250329000002,BANK_B,FABANK_B_PLATFORM_LOAN,6707.32,0.7,2025-03-29 13:33:31,1
LN20250322000002,BANK_B,FABANK_B_PLATFORM_LOAN,21000.00,0.7,2025-03-22 21:39:00,1
LN20250310000003,BANK_C,FABANK_C_JOINT_LOAN,12000.00,0.6,2025-03-10 00:48:52,1
LN20250313000002,BANK_B,FABANK_B_PLATFORM_LOAN,39165.29,0.7,2025-03-13 21:35:57,1
LN20250612000004,BANK_C,FABANK_C_JOINT_LOAN,4591.67,0.6,2025-06-12 16:37:38,1
LN20250212000003,BANK_C,FABANK_C_JOINT_LOAN,10616.91,0.6,2025-02-12 13:29:11,1
LN20250503000002,BANK_C,FABANK_C_JOINT_LOAN,15965.59,0.6,2025-05-03 20:05:40,1
LN20250302000002,BANK_B,FABANK_B_PLATFORM_LOAN,14000.00,0.7,2025-03-02 21:35:38,1
LN20250222000003,BANK_C,FABANK_C_JOINT_LOAN,4473.37,0.6,2025-02-22 21:44:51,1
LN20250303000001,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-03-03 20:22:44,1
LN20250219000001,BANK_B,FABANK_B_PLATFORM_LOAN,5600.00,0.7,2025-02-19 23:46:50,1
LN20250526000005,BANK_C,FABANK_C_JOINT_LOAN,34906.47,0.6,2025-05-26 22:40:11,1
LN20250517000001,BANK_B,FABANK_B_PLATFORM_LOAN,45987.85,0.7,2025-05-17 19:18:42,1
LN20250223000005,BANK_B,FABANK_B_PLATFORM_LOAN,3500.00,0.7,2025-02-23 12:42:32,1
LN20250204000003,BANK_B,FABANK_B_PLATFORM_LOAN,10500.00,0.7,2025-02-04 18:15:07,1
LN20250601000002,BANK_B,FABANK_B_PLATFORM_LOAN,3971.31,0.7,2025-06-01 20:08:38,1
LN20250201000003,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-02-01 13:24:29,1
LN20250307000001,BANK_B,FABANK_B_PLATFORM_LOAN,14000.00,0.7,2025-03-07 21:11:01,1
LN20250223000006,BANK_C,FABANK_C_JOINT_LOAN,9000.00,0.6,2025-02-23 21:11:45,1
LN20250510000001,BANK_B,FABANK_B_PLATFORM_LOAN,5580.96,0.7,2025-05-10 20:47:29,1
LN20250525000001,BANK_B,FABANK_B_PLATFORM_LOAN,4283.18,0.7,2025-05-25 20:50:59,1
LN20250513000003,BANK_C,FABANK_C_JOINT_LOAN,6000.00,0.6,2025-05-13 21:18:30,1
LN20250408000001,BANK_B,FABANK_B_PLATFORM_LOAN,14000.00,0.7,2025-04-08 02:36:31,1
LN20250411000005,BANK_B,FABANK_B_PLATFORM_LOAN,7000.00,0.7,2025-04-11 09:30:00,1
LN20250122000001,BANK_C,FABANK_C_JOINT_LOAN,2097.02,0.6,2025-01-22 08:52:54,1
LN20250220000003,BANK_C,FABANK_C_JOINT_LOAN,6000.00,0.6,2025-02-20 21:40:45,1
LN20250226000001,BANK_B,FABANK_B_PLATFORM_LOAN,29738.95,0.7,2025-02-26 11:42:54,1
LN20250627000001,BANK_B,FABANK_B_PLATFORM_LOAN,21000.00,0.7,2025-06-27 13:21:36,1
LN20250401000002,BANK_B,FABANK_B_PLATFORM_LOAN,8775.00,0.7,2025-04-01 12:53:13,1
LN20250307000002,BANK_C,FABANK_C_JOINT_LOAN,3000.00,0.6,2025-03-07 16:15:14,1
LN20250222000004,BANK_C,FABANK_C_JOINT_LOAN,34144.91,0.6,2025-02-22 22:47:14,1
LN20250313000003,BANK_B,FABANK_B_PLATFORM_LOAN,700.00,0.7,2025-03-13 22:51:35,1
LN20250529000003,BANK_B,FABANK_B_PLATFORM_LOAN,14000.00,0.7,2025-05-29 12:45:49,1
LN20250608000003,BANK_B,FABANK_B_PLATFORM_LOAN,10500.00,0.7,2025-06-08 09:00:12,1
LN20250624000004,BANK_B,FABANK_B_PLATFORM_LOAN,31837.86,0.7,2025-06-24 07:06:17,1
LN20250615000004,BANK_B,FABANK_B_PLATFORM_LOAN,20617.41,0.7,2025-06-15 22:11:51,1
LN20250312000003,BANK_C,FABANK_C_JOINT_LOAN,6000.00,0.6,2025-03-12 12:16:52,1
LN20250517000002,BANK_C,FABANK_C_JOINT_LOAN,1200.00,0.6,2025-05-17 20:58:50,1
LN20250605000002,BANK_C,FABANK_C_JOINT_LOAN,31102.79,0.6,2025-06-05 07:40:07,1
LN20250228000007,BANK_B,FABANK_B_PLATFORM_LOAN,700.00,0.7,2025-02-28 22:24:05,1
LN20250422000003,BANK_B,FABANK_B_PLATFORM_LOAN,700.00,0.7,2025-04-22 14:03:01,1
LN20250409000004,BANK_B,FABANK_B_PLATFORM_LOAN,3500.00,0.7,2025-04-09 22:02:13,1
LN20250211000002,BANK_C,FABANK_C_JOINT_LOAN,5879.69,0.6,2025-02-11 13:29:34,1
LN20250421000001,BANK_C,FABANK_C_JOINT_LOAN,1903.26,0.6,2025-04-21 22:37:56,1
LN20250517000003,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-05-17 20:16:39,1
LN20250503000003,BANK_C,FABANK_C_JOINT_LOAN,644.98,0.6,2025-05-03 12:15:58,1
LN20250210000003,BANK_B,FABANK_B_PLATFORM_LOAN,3500.00,0.7,2025-02-10 12:40:54,1
LN20250201000004,BANK_B,FABANK_B_PLATFORM_LOAN,35850.28,0.7,2025-02-01 22:05:12,1
LN20250312000004,BANK_B,FABANK_B_PLATFORM_LOAN,30707.18,0.7,2025-03-12 21:06:13,1
LN20250301000003,BANK_C,FABANK_C_JOINT_LOAN,3000.00,0.6,2025-03-01 13:24:14,1
LN20250316000003,BANK_C,FABANK_C_JOINT_LOAN,1200.00,0.6,2025-03-16 13:38:24,1
LN20250605000003,BANK_C,FABANK_C_JOINT_LOAN,9000.00,0.6,2025-06-05 21:10:18,1
LN20250517000004,BANK_B,FABANK_B_PLATFORM_LOAN,5204.47,0.7,2025-05-17 21:22:15,1
LN20250505000002,BANK_C,FABANK_C_JOINT_LOAN,4469.86,0.6,2025-05-05 08:07:33,1
LN20250303000003,BANK_B,FABANK_B_PLATFORM_LOAN,7000.00,0.7,2025-03-03 22:41:54,1
LN20250218000006,BANK_B,FABANK_B_PLATFORM_LOAN,7000.00,0.7,2025-02-18 21:25:45,1
LN20250215000006,BANK_B,FABANK_B_PLATFORM_LOAN,10500.00,0.7,2025-02-15 20:39:47,1
LN20250222000005,BANK_C,FABANK_C_JOINT_LOAN,4737.83,0.6,2025-02-22 13:00:35,1
LN20250521000001,BANK_B,FABANK_B_PLATFORM_LOAN,2064.15,0.7,2025-05-21 13:47:55,1
LN20250617000003,BANK_B,FABANK_B_PLATFORM_LOAN,303.97,0.7,2025-06-17 15:42:22,1
LN20250511000003,BANK_B,FABANK_B_PLATFORM_LOAN,700.00,0.7,2025-05-11 22:48:47,1
LN20250508000002,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-05-08 20:51:19,1
LN20250224000004,BANK_B,FABANK_B_PLATFORM_LOAN,14000.00,0.7,2025-02-24 20:24:57,1
LN20250324000004,BANK_C,FABANK_C_JOINT_LOAN,13233.67,0.6,2025-03-24 20:14:04,1
LN20250422000004,BANK_B,FABANK_B_PLATFORM_LOAN,4910.21,0.7,2025-04-22 00:11:29,1
LN20250321000003,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-03-21 20:17:12,1
LN20250323000004,BANK_C,FABANK_C_JOINT_LOAN,600.00,0.6,2025-03-23 13:01:44,1
LN20250530000002,BANK_B,FABANK_B_PLATFORM_LOAN,24177.19,0.7,2025-05-30 22:26:38,1
LN20250618000002,BANK_B,FABANK_B_PLATFORM_LOAN,16978.80,0.7,2025-06-18 12:55:10,1
LN20250515000002,BANK_B,FABANK_B_PLATFORM_LOAN,4694.47,0.7,2025-05-15 15:07:18,1
LN20250519000002,BANK_B,FABANK_B_PLATFORM_LOAN,5600.00,0.7,2025-05-19 13:32:21,1
LN20250525000004,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-05-25 12:17:08,1
LN20250521000002,BANK_B,FABANK_B_PLATFORM_LOAN,7000.00,0.7,2025-05-21 09:42:12,1
LN20250531000002,BANK_B,FABANK_B_PLATFORM_LOAN,40649.91,0.7,2025-05-31 10:11:24,1
LN20250310000005,BANK_C,FABANK_C_JOINT_LOAN,4969.94,0.6,2025-03-10 22:49:55,1
LN20250402000002,BANK_C,FABANK_C_JOINT_LOAN,28057.49,0.6,2025-04-02 14:09:15,1
LN20250501000002,BANK_C,FABANK_C_JOINT_LOAN,13373.49,0.6,2025-05-01 22:18:10,1
LN20250428000002,BANK_C,FABANK_C_JOINT_LOAN,6560.48,0.6,2025-04-28 14:55:03,1
LN20250218000007,BANK_C,FABANK_C_JOINT_LOAN,3000.00,0.6,2025-02-18 21:17:29,1
LN20250512000002,BANK_B,FABANK_B_PLATFORM_LOAN,21000.00,0.7,2025-05-12 16:06:55,1
LN20250604000004,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-06-04 20:58:24,1
LN20250129000003,BANK_B,FABANK_B_PLATFORM_LOAN,3400.81,0.7,2025-01-29 13:37:11,1
LN20250310000006,BANK_C,FABANK_C_JOINT_LOAN,6000.00,0.6,2025-03-10 11:57:50,1
LN20250303000004,BANK_B,FABANK_B_PLATFORM_LOAN,700.00,0.7,2025-03-03 13:31:13,1
LN20250527000002,BANK_B,FABANK_B_PLATFORM_LOAN,14000.00,0.7,2025-05-27 11:58:40,1
LN20250613000002,BANK_B,FABANK_B_PLATFORM_LOAN,50254.49,0.7,2025-06-13 12:00:14,1
LN20250607000001,BANK_B,FABANK_B_PLATFORM_LOAN,6414.32,0.7,2025-06-07 17:06:53,1
LN20250128000003,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-01-28 13:25:49,1
LN20250312000005,BANK_B,FABANK_B_PLATFORM_LOAN,21000.00,0.7,2025-03-12 17:35:45,1
LN20250323000006,BANK_B,FABANK_B_PLATFORM_LOAN,6792.93,0.7,2025-03-23 21:47:41,1
LN20250304000007,BANK_B,FABANK_B_PLATFORM_LOAN,33668.66,0.7,2025-03-04 13:46:31,1
LN20250303000005,BANK_C,FABANK_C_JOINT_LOAN,3000.00,0.6,2025-03-03 13:21:56,1
LN20250421000002,BANK_B,FABANK_B_PLATFORM_LOAN,33124.11,0.7,2025-04-21 12:44:01,1
LN20250620000003,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-06-20 14:40:03,1
LN20250415000001,BANK_C,FABANK_C_JOINT_LOAN,17768.25,0.6,2025-04-15 13:29:59,1
LN20250507000002,BANK_B,FABANK_B_PLATFORM_LOAN,5600.00,0.7,2025-05-07 12:02:23,1
LN20250528000002,BANK_B,FABANK_B_PLATFORM_LOAN,3500.00,0.7,2025-05-28 21:45:39,1
LN20250607000002,BANK_B,FABANK_B_PLATFORM_LOAN,577.79,0.7,2025-06-07 22:06:52,1
LN20250309000006,BANK_C,FABANK_C_JOINT_LOAN,18000.00,0.6,2025-03-09 18:37:14,1
LN20250309000007,BANK_C,FABANK_C_JOINT_LOAN,4452.25,0.6,2025-03-09 09:29:02,1
LN20250301000005,BANK_B,FABANK_B_PLATFORM_LOAN,10500.00,0.7,2025-03-01 00:17:05,1
LN20250218000008,BANK_B,FABANK_B_PLATFORM_LOAN,5600.00,0.7,2025-02-18 13:54:38,1
LN20250222000006,BANK_B,FABANK_B_PLATFORM_LOAN,14000.00,0.7,2025-02-22 19:37:01,1
LN20250624000006,BANK_B,FABANK_B_PLATFORM_LOAN,700.00,0.7,2025-06-24 20:20:20,1
LN20250614000004,BANK_C,FABANK_C_JOINT_LOAN,1200.00,0.6,2025-06-14 10:53:55,1
LN20250211000003,BANK_C,FABANK_C_JOINT_LOAN,2657.00,0.6,2025-02-11 18:16:19,1
LN20250213000004,BANK_C,FABANK_C_JOINT_LOAN,26705.36,0.6,2025-02-13 22:06:38,1
LN20250620000004,BANK_C,FABANK_C_JOINT_LOAN,12000.00,0.6,2025-06-20 20:54:15,1
LN20250503000004,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-05-03 12:55:34,1
LN20250516000004,BANK_C,FABANK_C_JOINT_LOAN,13032.85,0.6,2025-05-16 21:24:25,1
LN20250529000004,BANK_B,FABANK_B_PLATFORM_LOAN,3355.79,0.7,2025-05-29 11:28:34,1
LN20250526000007,BANK_B,FABANK_B_PLATFORM_LOAN,39357.91,0.7,2025-05-26 19:32:24,1
LN20250223000008,BANK_B,FABANK_B_PLATFORM_LOAN,15701.89,0.7,2025-02-23 16:12:27,1
LN20250410000001,BANK_B,FABANK_B_PLATFORM_LOAN,700.00,0.7,2025-04-10 13:20:55,1
LN20250409000005,BANK_B,FABANK_B_PLATFORM_LOAN,34699.44,0.7,2025-04-09 20:06:27,1
LN20250314000002,BANK_B,FABANK_B_PLATFORM_LOAN,10500.00,0.7,2025-03-14 19:28:24,1
LN20250529000005,BANK_C,FABANK_C_JOINT_LOAN,3000.00,0.6,2025-05-29 20:06:08,1
LN20250403000003,BANK_C,FABANK_C_JOINT_LOAN,48000.00,0.6,2025-04-03 13:11:22,1
LN20250402000003,BANK_B,FABANK_B_PLATFORM_LOAN,14000.00,0.7,2025-04-02 20:10:17,1
LN20250304000008,BANK_B,FABANK_B_PLATFORM_LOAN,700.00,0.7,2025-03-04 09:12:37,1
LN20250422000005,BANK_C,FABANK_C_JOINT_LOAN,5575.28,0.6,2025-04-22 17:32:46,1
LN20250308000002,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-03-08 10:12:23,1
LN20250408000002,BANK_C,FABANK_C_JOINT_LOAN,5655.50,0.6,2025-04-08 12:22:17,1
LN20250424000003,BANK_B,FABANK_B_PLATFORM_LOAN,1400.00,0.7,2025-04-24 21:41:58,1
LN20250219000004,BANK_C,FABANK_C_JOINT_LOAN,59659.16,0.6,2025-02-19 22:34:21,1
LN20250512000004,BANK_B,FABANK_B_PLATFORM_LOAN,29688.67,0.7,2025-05-12 18:48:46,1
LN20250402000005,BANK_C,FABANK_C_JOINT_LOAN,4800.00,0.6,2025-04-02 20:46:12,1
LN20250402000006,BANK_B,FABANK_B_PLATFORM_LOAN,3998.71,0.7,2025-04-02 01:26:20,1
