loan_id,partner_code,period_no,settle_date,partner_income,self_income,is_test_data
LN20250201000001,BANK_B,2,2025-04-02,4.76,4.76,1
LN20250201000001,BANK_B,3,2025-05-02,2.39,2.39,1
LN20250210000002,BANK_B,1,2025-03-12,41.67,41.67,1
LN20250210000002,BANK_B,2,2025-04-11,38.50,38.50,1
LN20250210000002,BANK_B,3,2025-05-11,35.28,35.28,1
LN20250210000002,BANK_B,4,2025-06-10,32.01,32.01,1
LN20250218000002,BANK_B,1,2025-03-20,15.83,15.83,1
LN20250218000002,BANK_B,2,2025-04-19,15.50,15.50,1
LN20250218000002,BANK_B,3,2025-05-19,15.17,15.17,1
LN20250218000002,BANK_B,4,2025-06-18,14.83,14.83,1
LN20250326000002,BANK_C,1,2025-04-25,12.51,10.24,1
LN20250326000002,BANK_C,2,2025-05-25,12.04,9.85,1
LN20250326000002,BANK_C,3,2025-06-24,11.57,9.47,1
LN20250406000001,BANK_C,1,2025-05-06,82.50,67.50,1
LN20250406000001,BANK_C,2,2025-06-05,78.47,64.21,1
LN20250412000001,BANK_B,1,2025-05-12,17.50,17.50,1
LN20250412000001,BANK_B,2,2025-06-11,16.91,16.91,1
LN20250118000001,BANK_B,1,2025-02-17,12.36,12.36,1
LN20250118000001,BANK_B,2,2025-03-19,11.76,11.76,1
LN20250118000001,BANK_B,3,2025-04-18,11.14,11.14,1
LN20250118000001,BANK_B,4,2025-05-18,10.52,10.52,1
LN20250118000001,BANK_B,5,2025-06-17,9.89,9.89,1
LN20250129000001,BANK_C,1,2025-02-28,40.33,33.00,1
LN20250129000001,BANK_C,2,2025-03-30,33.76,27.62,1
LN20250129000001,BANK_C,3,2025-04-29,27.13,22.20,1
LN20250129000001,BANK_C,4,2025-05-29,20.44,16.73,1
LN20250129000001,BANK_C,5,2025-06-28,13.69,11.20,1
LN20250529000001,GTE_A,1,2025-06-28,55.00,82.50,1
LN20250216000002,GTE_A,1,2025-03-18,4.84,7.26,1
LN20250216000002,GTE_A,2,2025-04-17,3.25,4.87,1
LN20250216000002,GTE_A,3,2025-05-17,1.63,2.45,1
LN20250223000003,BANK_B,1,2025-03-25,296.75,296.75,1
LN20250223000003,BANK_B,2,2025-04-24,273.68,273.68,1
LN20250223000003,BANK_B,3,2025-05-24,250.31,250.31,1
LN20250223000003,BANK_B,4,2025-06-23,226.66,226.66,1
LN20250530000001,BANK_B,1,2025-06-29,29.17,29.17,1
LN20250121000001,BANK_C,1,2025-02-20,229.17,187.50,1
LN20250121000001,BANK_C,2,2025-03-22,191.76,156.89,1
LN20250121000001,BANK_C,3,2025-04-21,154.04,126.03,1
LN20250121000001,BANK_C,4,2025-05-21,116.01,94.92,1
LN20250121000001,BANK_C,5,2025-06-20,77.66,63.54,1
LN20250304000005,BANK_C,1,2025-04-03,130.84,107.05,1
LN20250304000005,BANK_C,2,2025-05-03,124.64,101.98,1
LN20250304000005,BANK_C,3,2025-06-02,118.32,96.81,1
LN20250215000002,BANK_C,1,2025-03-17,62.43,51.08,1
LN20250215000002,BANK_C,2,2025-04-16,59.43,48.62,1
LN20250215000002,BANK_C,3,2025-05-16,56.38,46.13,1
LN20250215000002,BANK_C,4,2025-06-15,53.27,43.59,1
LN20250409000001,GTE_A,1,2025-05-09,6.00,9.00,1
LN20250409000001,GTE_A,2,2025-06-08,5.54,8.31,1
LN20250512000001,BANK_B,1,2025-06-11,81.72,81.72,1
LN20250526000003,BANK_B,1,2025-06-25,56.42,56.42,1
LN20250221000002,BANK_C,1,2025-03-23,165.00,135.00,1
LN20250221000002,BANK_C,2,2025-04-22,161.51,132.14,1
LN20250221000002,BANK_C,3,2025-05-22,157.97,129.25,1
LN20250221000002,BANK_C,4,2025-06-21,154.37,126.30,1
LN20250203000002,BANK_B,1,2025-03-05,136.66,136.66,1
LN20250203000002,BANK_B,2,2025-04-04,133.68,133.68,1
LN20250203000002,BANK_B,3,2025-05-04,130.66,130.66,1
LN20250203000002,BANK_B,4,2025-06-03,127.59,127.59,1
LN20250213000002,GTE_A,1,2025-03-15,183.33,275.00,1
LN20250213000002,GTE_A,2,2025-04-14,173.92,260.88,1
LN20250213000002,GTE_A,3,2025-05-14,164.42,246.63,1
LN20250213000002,GTE_A,4,2025-06-13,154.83,232.25,1
LN20250527000001,BANK_B,1,2025-06-26,20.83,20.83,1
LN20250321000001,BANK_C,1,2025-04-20,46.04,37.67,1
LN20250321000001,BANK_C,2,2025-05-20,45.14,36.93,1
LN20250321000001,BANK_C,3,2025-06-19,44.22,36.18,1
LN20250425000002,BANK_B,1,2025-05-25,12.81,12.81,1
LN20250425000002,BANK_B,2,2025-06-24,11.85,11.85,1
LN20250328000002,BANK_B,1,2025-04-27,91.67,91.67,1
LN20250328000002,BANK_B,2,2025-05-27,87.32,87.32,1
LN20250328000002,BANK_B,3,2025-06-26,82.90,82.90,1
LN20250306000002,BANK_B,1,2025-04-05,76.67,76.67,1
LN20250306000002,BANK_B,2,2025-05-05,51.59,51.59,1
LN20250306000002,BANK_B,3,2025-06-04,26.04,26.04,1
LN20250404000001,BANK_C,1,2025-05-04,50.42,41.25,1
LN20250404000001,BANK_C,2,2025-06-03,48.03,39.29,1
LN20250422000001,BANK_C,1,2025-05-22,10.54,8.63,1
LN20250422000001,BANK_C,2,2025-06-21,8.87,7.25,1
LN20250409000002,BANK_C,1,2025-05-09,47.67,39.00,1
LN20250409000002,BANK_C,2,2025-06-08,39.93,32.67,1
LN20250405000001,BANK_B,1,2025-05-05,50.00,50.00,1
LN20250405000001,BANK_B,2,2025-06-04,41.92,41.92,1
LN20250528000001,BANK_B,1,2025-06-27,6.67,6.67,1
LN20250427000001,BANK_B,1,2025-05-27,139.53,139.53,1
LN20250427000001,BANK_B,2,2025-06-26,128.53,128.53,1
LN20250324000001,BANK_B,1,2025-04-23,178.46,178.46,1
LN20250324000001,BANK_B,2,2025-05-23,169.69,169.69,1
LN20250324000001,BANK_B,3,2025-06-22,160.79,160.79,1
LN20250422000002,BANK_B,1,2025-05-22,54.17,54.17,1
LN20250422000002,BANK_B,2,2025-06-21,49.92,49.92,1
LN20250428000001,BANK_B,1,2025-05-28,22.66,22.66,1
LN20250428000001,BANK_B,2,2025-06-27,21.54,21.54,1
LN20250506000001,BANK_B,1,2025-06-05,47.92,47.92,1
LN20250204000002,BANK_B,1,2025-03-06,158.33,158.33,1
LN20250204000002,BANK_B,2,2025-04-05,132.97,132.97,1
LN20250204000002,BANK_B,3,2025-05-05,107.20,107.20,1
LN20250204000002,BANK_B,4,2025-06-04,81.03,81.03,1
LN20250317000003,BANK_B,1,2025-04-16,79.51,79.51,1
LN20250317000003,BANK_B,2,2025-05-16,73.55,73.55,1
LN20250317000003,BANK_B,3,2025-06-15,67.48,67.48,1
LN20250214000003,BANK_B,1,2025-03-16,272.88,272.88,1
LN20250214000003,BANK_B,2,2025-04-15,182.75,182.75,1
LN20250214000003,BANK_B,3,2025-05-15,91.79,91.79,1
LN20250218000004,BANK_C,1,2025-03-20,192.50,157.50,1
LN20250218000004,BANK_C,2,2025-04-19,185.98,152.16,1
LN20250218000004,BANK_C,3,2025-05-19,179.34,146.73,1
LN20250218000004,BANK_C,4,2025-06-18,172.59,141.21,1
LN20250310000002,BANK_B,1,2025-04-09,20.83,20.83,1
LN20250310000002,BANK_B,2,2025-05-09,13.95,13.95,1
LN20250310000002,BANK_B,3,2025-06-08,7.00,7.00,1
LN20250228000002,GTE_A,1,2025-03-30,65.67,98.51,1
LN20250228000002,GTE_A,2,2025-04-29,44.20,66.30,1
LN20250228000002,GTE_A,3,2025-05-29,22.31,33.46,1
LN20250216000003,BANK_B,1,2025-03-18,63.33,63.33,1
LN20250216000003,BANK_B,2,2025-04-17,60.26,60.26,1
LN20250216000003,BANK_B,3,2025-05-17,57.15,57.15,1
LN20250216000003,BANK_B,4,2025-06-16,53.98,53.98,1
LN20250328000003,BANK_B,1,2025-04-27,10.83,10.83,1
LN20250328000003,BANK_B,2,2025-05-27,10.59,10.59,1
LN20250328000003,BANK_B,3,2025-06-26,10.34,10.34,1
LN20250405000002,BANK_C,1,2025-05-05,343.75,281.25,1
LN20250405000002,BANK_C,2,2025-06-04,230.59,188.66,1
LN20250401000001,BANK_B,1,2025-05-01,67.61,67.61,1
LN20250401000001,BANK_B,2,2025-05-31,56.85,56.85,1
LN20250401000001,BANK_B,3,2025-06-30,45.89,45.89,1
LN20250306000003,BANK_B,1,2025-04-05,11.67,11.67,1
LN20250306000003,BANK_B,2,2025-05-05,11.08,11.08,1
LN20250306000003,BANK_B,3,2025-06-04,10.49,10.49,1
LN20250317000004,BANK_B,1,2025-04-16,7.08,7.08,1
LN20250317000004,BANK_B,2,2025-05-16,5.94,5.94,1
LN20250317000004,BANK_B,3,2025-06-15,4.79,4.79,1
LN20250329000001,BANK_B,1,2025-04-28,9.17,9.17,1
LN20250329000001,BANK_B,2,2025-05-28,8.48,8.48,1
LN20250329000001,BANK_B,3,2025-06-27,7.77,7.77,1
LN20250304000006,BANK_B,1,2025-04-03,16.67,16.67,1
LN20250304000006,BANK_B,2,2025-05-03,15.40,15.40,1
LN20250304000006,BANK_B,3,2025-06-02,14.11,14.11,1
LN20250309000003,BANK_C,1,2025-04-08,384.40,314.51,1
LN20250309000003,BANK_C,2,2025-05-08,370.57,303.19,1
LN20250309000003,BANK_C,3,2025-06-07,356.56,291.73,1
LN20250323000002,BANK_C,1,2025-04-22,59.58,48.75,1
LN20250323000002,BANK_C,2,2025-05-22,54.91,44.92,1
LN20250323000002,BANK_C,3,2025-06-21,50.18,41.06,1
LN20250418000002,BANK_C,1,2025-05-18,6.88,5.62,1
LN20250418000002,BANK_C,2,2025-06-17,4.61,3.77,1
LN20250223000004,BANK_C,1,2025-03-25,320.83,262.50,1
LN20250223000004,BANK_C,2,2025-04-24,268.90,220.01,1
LN20250223000004,BANK_C,3,2025-05-24,216.36,177.02,1
LN20250223000004,BANK_C,4,2025-06-23,163.21,133.53,1
LN20250317000005,BANK_B,1,2025-04-16,213.14,213.14,1
LN20250317000005,BANK_B,2,2025-05-16,205.92,205.92,1
LN20250317000005,BANK_B,3,2025-06-15,198.57,198.57,1
LN20250207000002,BANK_B,1,2025-03-09,48.06,48.06,1
LN20250207000002,BANK_B,2,2025-04-08,46.48,46.48,1
LN20250207000002,BANK_B,3,2025-05-08,44.87,44.87,1
LN20250207000002,BANK_B,4,2025-06-07,43.23,43.23,1
LN20250225000002,BANK_B,1,2025-03-27,175.28,175.28,1
LN20250225000002,BANK_B,2,2025-04-26,117.77,117.77,1
LN20250225000002,BANK_B,3,2025-05-26,59.35,59.35,1
LN20250327000003,BANK_B,1,2025-04-26,11.67,11.67,1
LN20250327000003,BANK_B,2,2025-05-26,10.76,10.76,1
LN20250327000003,BANK_B,3,2025-06-25,9.83,9.83,1
LN20250205000001,BANK_B,1,2025-03-07,67.52,67.52,1
LN20250205000001,BANK_B,2,2025-04-06,65.18,65.18,1
LN20250205000001,BANK_B,3,2025-05-06,62.81,62.81,1
LN20250205000001,BANK_B,4,2025-06-05,60.40,60.40,1
LN20250520000001,BANK_B,1,2025-06-19,75.00,75.00,1
LN20250412000002,BANK_B,1,2025-05-12,16.67,16.67,1
LN20250412000002,BANK_B,2,2025-06-11,15.87,15.87,1
LN20250419000001,BANK_B,1,2025-05-19,37.53,37.53,1
LN20250419000001,BANK_B,2,2025-06-18,36.79,36.79,1
LN20250329000002,BANK_B,1,2025-04-28,95.82,95.82,1
LN20250329000002,BANK_B,2,2025-05-28,64.51,64.51,1
LN20250329000002,BANK_B,3,2025-06-27,32.57,32.57,1
LN20250322000002,BANK_B,1,2025-04-21,200.00,200.00,1
LN20250322000002,BANK_B,2,2025-05-21,134.21,134.21,1
LN20250322000002,BANK_B,3,2025-06-20,67.55,67.55,1
LN20250310000003,BANK_C,1,2025-04-09,174.17,142.50,1
LN20250310000003,BANK_C,2,2025-05-09,170.54,139.53,1
LN20250310000003,BANK_C,3,2025-06-08,166.86,136.52,1
LN20250313000002,BANK_B,1,2025-04-12,373.00,373.00,1
LN20250313000002,BANK_B,2,2025-05-12,250.31,250.31,1
LN20250313000002,BANK_B,3,2025-06-11,125.98,125.98,1
LN20250212000003,BANK_C,1,2025-03-14,178.42,145.98,1
LN20250212000003,BANK_C,2,2025-04-13,164.99,135.00,1
LN20250212000003,BANK_C,3,2025-05-13,151.32,123.81,1
LN20250212000003,BANK_C,4,2025-06-12,137.40,112.41,1
LN20250324000003,GTE_A,1,2025-04-23,110.00,165.00,1
LN20250324000003,GTE_A,2,2025-05-23,92.08,138.12,1
LN20250324000003,GTE_A,3,2025-06-22,74.00,111.00,1
LN20250503000002,BANK_C,1,2025-06-02,243.92,199.57,1
LN20250302000002,BANK_B,1,2025-04-01,116.67,116.67,1
LN20250302000002,BANK_B,2,2025-05-01,107.55,107.55,1
LN20250302000002,BANK_B,3,2025-05-31,98.33,98.33,1
LN20250302000002,BANK_B,4,2025-06-30,89.00,89.00,1
LN20250222000003,BANK_C,1,2025-03-24,82.01,67.10,1
LN20250222000003,BANK_C,2,2025-04-23,78.18,63.97,1
LN20250222000003,BANK_C,3,2025-05-23,74.27,60.77,1
LN20250222000003,BANK_C,4,2025-06-22,70.29,57.51,1
LN20250303000001,BANK_B,1,2025-04-02,12.50,12.50,1
LN20250303000001,BANK_B,2,2025-05-02,8.38,8.38,1
LN20250303000001,BANK_B,3,2025-06-01,4.22,4.22,1
LN20250219000001,BANK_B,1,2025-03-21,66.67,66.67,1
LN20250219000001,BANK_B,2,2025-04-20,61.60,61.60,1
LN20250219000001,BANK_B,3,2025-05-20,56.45,56.45,1
LN20250219000001,BANK_B,4,2025-06-19,51.22,51.22,1
LN20250215000005,GTE_A,1,2025-03-17,132.59,198.89,1
LN20250215000005,GTE_A,2,2025-04-16,111.35,167.03,1
LN20250215000005,GTE_A,3,2025-05-16,89.78,134.67,1
LN20250215000005,GTE_A,4,2025-06-15,67.86,101.79,1
LN20250526000005,BANK_C,1,2025-06-25,293.31,239.98,1
LN20250517000001,BANK_B,1,2025-06-16,301.11,301.11,1
LN20250223000005,BANK_B,1,2025-03-25,41.67,41.67,1
LN20250223000005,BANK_B,2,2025-04-24,35.01,35.01,1
LN20250223000005,BANK_B,3,2025-05-24,28.23,28.23,1
LN20250223000005,BANK_B,4,2025-06-23,21.35,21.35,1
LN20250204000003,BANK_B,1,2025-03-06,137.50,137.50,1
LN20250204000003,BANK_B,2,2025-04-05,92.50,92.50,1
LN20250204000003,BANK_B,3,2025-05-05,46.67,46.67,1
LN20250201000003,BANK_B,1,2025-03-03,18.33,18.33,1
LN20250201000003,BANK_B,2,2025-04-02,12.33,12.33,1
LN20250201000003,BANK_B,3,2025-05-02,6.22,6.22,1
LN20250307000001,BANK_B,1,2025-04-06,158.33,158.33,1
LN20250307000001,BANK_B,2,2025-05-06,155.04,155.04,1
LN20250307000001,BANK_B,3,2025-06-05,151.69,151.69,1
LN20250223000006,BANK_C,1,2025-03-25,137.50,112.50,1
LN20250223000006,BANK_C,2,2025-04-24,134.68,110.19,1
LN20250223000006,BANK_C,3,2025-05-24,131.82,107.85,1
LN20250223000006,BANK_C,4,2025-06-23,128.90,105.47,1
LN20250510000001,BANK_B,1,2025-06-09,73.08,73.08,1
LN20250525000001,BANK_B,1,2025-06-24,45.89,45.89,1
LN20250513000003,BANK_C,1,2025-06-12,73.33,60.00,1
LN20250408000001,BANK_B,1,2025-05-08,91.67,91.67,1
LN20250408000001,BANK_B,2,2025-06-07,89.51,89.51,1
LN20250411000005,BANK_B,1,2025-05-11,45.83,45.83,1
LN20250411000005,BANK_B,2,2025-06-10,44.12,44.12,1
LN20250220000002,GTE_A,1,2025-03-22,31.66,47.48,1
LN20250220000002,GTE_A,2,2025-04-21,29.15,43.72,1
LN20250220000002,GTE_A,3,2025-05-21,26.62,39.93,1
LN20250220000002,GTE_A,4,2025-06-20,24.06,36.10,1
LN20250122000001,BANK_C,1,2025-02-21,38.45,31.46,1
LN20250122000001,BANK_C,2,2025-03-23,37.18,30.42,1
LN20250122000001,BANK_C,3,2025-04-22,35.89,29.37,1
LN20250122000001,BANK_C,4,2025-05-22,34.58,28.29,1
LN20250122000001,BANK_C,5,2025-06-21,33.24,27.19,1
LN20250220000003,BANK_C,1,2025-03-22,45.83,37.50,1
LN20250220000003,BANK_C,2,2025-04-21,44.74,36.60,1
LN20250220000003,BANK_C,3,2025-05-21,43.63,35.70,1
LN20250220000003,BANK_C,4,2025-06-20,42.51,34.78,1
LN20250226000001,BANK_B,1,2025-03-28,300.93,300.93,1
LN20250226000001,BANK_B,2,2025-04-27,202.03,202.03,1
LN20250226000001,BANK_B,3,2025-05-27,101.72,101.72,1
LN20250130000002,GTE_A,1,2025-03-01,87.83,131.75,1
LN20250130000002,GTE_A,2,2025-03-31,86.06,129.09,1
LN20250130000002,GTE_A,3,2025-04-30,84.26,126.38,1
LN20250130000002,GTE_A,4,2025-05-30,82.42,123.63,1
LN20250130000002,GTE_A,5,2025-06-29,80.56,120.83,1
LN20250129000002,GTE_A,1,2025-02-28,50.00,75.00,1
LN20250129000002,GTE_A,2,2025-03-30,46.11,69.17,1
LN20250129000002,GTE_A,3,2025-04-29,42.18,63.26,1
LN20250129000002,GTE_A,4,2025-05-29,38.19,57.28,1
LN20250129000002,GTE_A,5,2025-06-28,34.15,51.23,1
LN20250401000002,BANK_B,1,2025-05-01,104.46,104.46,1
LN20250401000002,BANK_B,2,2025-05-31,87.77,87.77,1
LN20250401000002,BANK_B,3,2025-06-30,70.79,70.79,1
LN20250307000002,BANK_C,1,2025-04-06,32.08,26.25,1
