application_id,from_status,to_status,remark,changed_at,changed_by,is_test_data
AP20250602000002,INIT,PENDING,进入审核,2025-06-02 22:54:14,SYSTEM,1
AP20250602000002,PENDING,APPROVED,APPROVE,2025-06-02 23:04:53,SYSTEM,1
AP20250130000001,\N,INIT,创建申请,2025-01-30 22:24:44,SYSTEM,1
AP20250130000001,INIT,PENDING,进入审核,2025-01-30 22:25:44,SYSTEM,1
AP20250130000001,PENDING,APPROVED,APPROVE,2025-01-30 22:31:05,SYSTEM,1
AP20250201000002,\N,INIT,创建申请,2025-02-01 19:34:40,SYSTEM,1
AP20250201000002,INIT,PENDING,进入审核,2025-02-01 19:35:40,SYSTEM,1
AP20250201000002,PENDING,APPROVED,APPROVE,2025-02-01 19:42:12,SYSTEM,1
AP20250215000001,\N,INIT,创建申请,2025-02-15 22:02:33,SYSTEM,1
AP20250215000001,INIT,PENDING,进入审核,2025-02-15 22:03:33,SYSTEM,1
AP20250215000001,PENDING,APPROVED,APPROVE,2025-02-15 22:07:48,SYSTEM,1
AP20250303000002,\N,INIT,创建申请,2025-03-03 22:04:27,SYSTEM,1
AP20250303000002,INIT,PENDING,进入审核,2025-03-03 22:05:27,SYSTEM,1
AP20250303000002,PENDING,REJECTED,REJECT,2025-03-03 22:18:57,SYSTEM,1
AP20250223000002,\N,INIT,创建申请,2025-02-23 20:30:04,SYSTEM,1
AP20250223000002,INIT,PENDING,进入审核,2025-02-23 20:31:04,SYSTEM,1
AP20250223000002,PENDING,REJECTED,REJECT,2025-02-23 20:43:26,SYSTEM,1
AP20250401000002,\N,INIT,创建申请,2025-04-01 23:20:45,SYSTEM,1
AP20250401000002,INIT,PENDING,进入审核,2025-04-01 23:21:45,SYSTEM,1
AP20250401000002,PENDING,APPROVED,APPROVE,2025-04-01 23:28:42,SYSTEM,1
AP20250216000001,\N,INIT,创建申请,2025-02-16 16:18:35,SYSTEM,1
AP20250216000001,INIT,PENDING,进入审核,2025-02-16 16:19:35,SYSTEM,1
AP20250216000001,PENDING,APPROVED,APPROVE,2025-02-16 16:28:30,SYSTEM,1
AP20250331000001,\N,INIT,创建申请,2025-03-31 22:24:24,SYSTEM,1
AP20250331000001,INIT,PENDING,进入审核,2025-03-31 22:25:24,SYSTEM,1
AP20250331000001,PENDING,REJECTED,REJECT,2025-03-31 22:31:27,SYSTEM,1
AP20250522000001,\N,INIT,创建申请,2025-05-22 10:59:52,SYSTEM,1
AP20250522000001,INIT,PENDING,进入审核,2025-05-22 11:00:52,SYSTEM,1
AP20250522000001,PENDING,APPROVED,APPROVE,2025-05-22 11:13:17,SYSTEM,1
AP20250626000001,\N,INIT,创建申请,2025-06-26 18:05:23,SYSTEM,1
AP20250626000001,INIT,PENDING,进入审核,2025-06-26 18:06:23,SYSTEM,1
AP20250626000001,PENDING,APPROVED,APPROVE,2025-06-26 18:11:50,SYSTEM,1
AP20250202000003,\N,INIT,创建申请,2025-02-02 21:06:33,SYSTEM,1
AP20250202000003,INIT,PENDING,进入审核,2025-02-02 21:07:33,SYSTEM,1
AP20250202000003,PENDING,REJECTED,REJECT,2025-02-02 21:16:20,SYSTEM,1
AP20250308000001,\N,INIT,创建申请,2025-03-08 20:15:15,SYSTEM,1
AP20250308000001,INIT,PENDING,进入审核,2025-03-08 20:16:15,SYSTEM,1
AP20250308000001,PENDING,APPROVED,APPROVE,2025-03-08 20:27:50,SYSTEM,1
AP20250609000002,\N,INIT,创建申请,2025-06-09 19:07:55,SYSTEM,1
AP20250609000002,INIT,PENDING,进入审核,2025-06-09 19:08:55,SYSTEM,1
AP20250609000002,PENDING,REJECTED,REJECT,2025-06-09 19:11:30,SYSTEM,1
AP20250527000001,\N,INIT,创建申请,2025-05-27 20:41:58,SYSTEM,1
AP20250527000001,INIT,PENDING,进入审核,2025-05-27 20:42:58,SYSTEM,1
AP20250527000001,PENDING,APPROVED,APPROVE,2025-05-27 20:48:19,SYSTEM,1
AP20250224000001,\N,INIT,创建申请,2025-02-24 09:56:07,SYSTEM,1
AP20250224000001,INIT,PENDING,进入审核,2025-02-24 09:57:07,SYSTEM,1
AP20250224000001,PENDING,APPROVED,APPROVE,2025-02-24 10:11:26,SYSTEM,1
AP20250319000001,\N,INIT,创建申请,2025-03-19 22:13:51,SYSTEM,1
AP20250319000001,INIT,PENDING,进入审核,2025-03-19 22:14:51,SYSTEM,1
AP20250319000001,PENDING,APPROVED,APPROVE,2025-03-19 22:20:26,SYSTEM,1
AP20250525000001,\N,INIT,创建申请,2025-05-25 12:38:48,SYSTEM,1
AP20250525000001,INIT,PENDING,进入审核,2025-05-25 12:39:48,SYSTEM,1
AP20250525000001,PENDING,REJECTED,REJECT,2025-05-25 12:43:31,SYSTEM,1
AP20250616000001,\N,INIT,创建申请,2025-06-16 20:42:07,SYSTEM,1
AP20250616000001,INIT,PENDING,进入审核,2025-06-16 20:43:07,SYSTEM,1
AP20250616000001,PENDING,REJECTED,REJECT,2025-06-16 20:45:16,SYSTEM,1
AP20250607000001,\N,INIT,创建申请,2025-06-07 13:44:49,SYSTEM,1
AP20250607000001,INIT,PENDING,进入审核,2025-06-07 13:45:49,SYSTEM,1
AP20250607000001,PENDING,APPROVED,APPROVE,2025-06-07 13:53:41,SYSTEM,1
AP20250321000001,\N,INIT,创建申请,2025-03-21 11:24:20,SYSTEM,1
AP20250321000001,INIT,PENDING,进入审核,2025-03-21 11:25:20,SYSTEM,1
AP20250321000001,PENDING,APPROVED,APPROVE,2025-03-21 11:30:47,SYSTEM,1
AP20250219000001,\N,INIT,创建申请,2025-02-19 13:08:30,SYSTEM,1
AP20250219000001,INIT,PENDING,进入审核,2025-02-19 13:09:30,SYSTEM,1
AP20250219000001,PENDING,REJECTED,REJECT,2025-02-19 13:14:07,SYSTEM,1
AP20250222000001,\N,INIT,创建申请,2025-02-22 16:53:36,SYSTEM,1
AP20250222000001,INIT,PENDING,进入审核,2025-02-22 16:54:36,SYSTEM,1
AP20250222000001,PENDING,REJECTED,REJECT,2025-02-22 17:01:43,SYSTEM,1
AP20250331000002,\N,INIT,创建申请,2025-03-31 10:15:24,SYSTEM,1
AP20250331000002,INIT,PENDING,进入审核,2025-03-31 10:16:24,SYSTEM,1
AP20250331000002,PENDING,REJECTED,REJECT,2025-03-31 10:18:26,SYSTEM,1
AP20250309000001,\N,INIT,创建申请,2025-03-09 22:26:57,SYSTEM,1
AP20250309000001,INIT,PENDING,进入审核,2025-03-09 22:27:57,SYSTEM,1
AP20250309000001,PENDING,REJECTED,REJECT,2025-03-09 22:32:24,SYSTEM,1
AP20250226000001,\N,INIT,创建申请,2025-02-26 13:55:51,SYSTEM,1
AP20250226000001,INIT,PENDING,进入审核,2025-02-26 13:56:51,SYSTEM,1
AP20250226000001,PENDING,REJECTED,REJECT,2025-02-26 14:01:08,SYSTEM,1
AP20250422000001,\N,INIT,创建申请,2025-04-22 12:30:31,SYSTEM,1
AP20250422000001,INIT,PENDING,进入审核,2025-04-22 12:31:31,SYSTEM,1
AP20250422000001,PENDING,APPROVED,APPROVE,2025-04-22 12:36:13,SYSTEM,1
AP20250223000003,\N,INIT,创建申请,2025-02-23 13:54:02,SYSTEM,1
AP20250223000003,INIT,PENDING,进入审核,2025-02-23 13:55:02,SYSTEM,1
AP20250223000003,PENDING,REJECTED,REJECT,2025-02-23 14:06:00,SYSTEM,1
AP20250128000002,\N,INIT,创建申请,2025-01-28 12:29:07,SYSTEM,1
AP20250128000002,INIT,PENDING,进入审核,2025-01-28 12:30:07,SYSTEM,1
AP20250128000002,PENDING,APPROVED,APPROVE,2025-01-28 12:39:34,SYSTEM,1
AP20250526000001,\N,INIT,创建申请,2025-05-26 20:07:36,SYSTEM,1
AP20250526000001,INIT,PENDING,进入审核,2025-05-26 20:08:36,SYSTEM,1
AP20250526000001,PENDING,REJECTED,REJECT,2025-05-26 20:19:18,SYSTEM,1
AP20250215000002,\N,INIT,创建申请,2025-02-15 17:50:33,SYSTEM,1
AP20250215000002,INIT,PENDING,进入审核,2025-02-15 17:51:33,SYSTEM,1
AP20250215000002,PENDING,APPROVED,APPROVE,2025-02-15 18:04:22,SYSTEM,1
AP20250223000004,\N,INIT,创建申请,2025-02-23 17:10:55,SYSTEM,1
AP20250223000004,INIT,PENDING,进入审核,2025-02-23 17:11:55,SYSTEM,1
AP20250223000004,PENDING,APPROVED,APPROVE,2025-02-23 17:23:01,SYSTEM,1
AP20250424000001,\N,INIT,创建申请,2025-04-24 12:46:33,SYSTEM,1
AP20250424000001,INIT,PENDING,进入审核,2025-04-24 12:47:33,SYSTEM,1
AP20250424000001,PENDING,REJECTED,REJECT,2025-04-24 12:57:23,SYSTEM,1
AP20250124000001,\N,INIT,创建申请,2025-01-24 18:22:31,SYSTEM,1
AP20250124000001,INIT,PENDING,进入审核,2025-01-24 18:23:31,SYSTEM,1
AP20250124000001,PENDING,APPROVED,APPROVE,2025-01-24 18:33:37,SYSTEM,1
AP20250518000001,\N,INIT,创建申请,2025-05-18 12:45:52,SYSTEM,1
AP20250518000001,INIT,PENDING,进入审核,2025-05-18 12:46:52,SYSTEM,1
AP20250518000001,PENDING,APPROVED,APPROVE,2025-05-18 12:55:30,SYSTEM,1
AP20250221000001,\N,INIT,创建申请,2025-02-21 16:22:55,SYSTEM,1
AP20250221000001,INIT,PENDING,进入审核,2025-02-21 16:23:55,SYSTEM,1
AP20250221000001,PENDING,APPROVED,APPROVE,2025-02-21 16:27:35,SYSTEM,1
AP20250221000002,\N,INIT,创建申请,2025-02-21 12:10:32,SYSTEM,1
AP20250221000002,INIT,PENDING,进入审核,2025-02-21 12:11:32,SYSTEM,1
AP20250221000002,PENDING,APPROVED,APPROVE,2025-02-21 12:16:57,SYSTEM,1
AP20250301000001,\N,INIT,创建申请,2025-03-01 21:34:54,SYSTEM,1
AP20250301000001,INIT,PENDING,进入审核,2025-03-01 21:35:54,SYSTEM,1
AP20250301000001,PENDING,APPROVED,APPROVE,2025-03-01 21:40:40,SYSTEM,1
AP20250125000001,\N,INIT,创建申请,2025-01-25 21:18:25,SYSTEM,1
AP20250125000001,INIT,PENDING,进入审核,2025-01-25 21:19:25,SYSTEM,1
AP20250125000001,PENDING,REJECTED,REJECT,2025-01-25 21:29:35,SYSTEM,1
AP20250328000001,\N,INIT,创建申请,2025-03-28 23:58:50,SYSTEM,1
AP20250328000001,INIT,PENDING,进入审核,2025-03-28 23:59:50,SYSTEM,1
AP20250328000001,PENDING,REJECTED,REJECT,2025-03-29 00:11:56,SYSTEM,1
AP20250202000004,\N,INIT,创建申请,2025-02-02 08:25:32,SYSTEM,1
AP20250202000004,INIT,PENDING,进入审核,2025-02-02 08:26:32,SYSTEM,1
AP20250202000004,PENDING,APPROVED,APPROVE,2025-02-02 08:32:56,SYSTEM,1
AP20250202000005,\N,INIT,创建申请,2025-02-02 23:43:18,SYSTEM,1
AP20250202000005,INIT,PENDING,进入审核,2025-02-02 23:44:18,SYSTEM,1
AP20250202000005,PENDING,REJECTED,REJECT,2025-02-02 23:51:11,SYSTEM,1
AP20250422000002,\N,INIT,创建申请,2025-04-22 13:39:54,SYSTEM,1
AP20250422000002,INIT,PENDING,进入审核,2025-04-22 13:40:54,SYSTEM,1
AP20250422000002,PENDING,APPROVED,APPROVE,2025-04-22 13:46:11,SYSTEM,1
AP20250502000001,\N,INIT,创建申请,2025-05-02 12:36:22,SYSTEM,1
AP20250502000001,INIT,PENDING,进入审核,2025-05-02 12:37:22,SYSTEM,1
AP20250502000001,PENDING,APPROVED,APPROVE,2025-05-02 12:41:10,SYSTEM,1
AP20250510000001,\N,INIT,创建申请,2025-05-10 21:49:22,SYSTEM,1
AP20250510000001,INIT,PENDING,进入审核,2025-05-10 21:50:22,SYSTEM,1
AP20250510000001,PENDING,APPROVED,APPROVE,2025-05-10 22:01:17,SYSTEM,1
AP20250611000001,\N,INIT,创建申请,2025-06-11 12:43:10,SYSTEM,1
AP20250611000001,INIT,PENDING,进入审核,2025-06-11 12:44:10,SYSTEM,1
AP20250611000001,PENDING,REJECTED,REJECT,2025-06-11 12:56:40,SYSTEM,1
AP20250126000001,\N,INIT,创建申请,2025-01-26 20:37:52,SYSTEM,1
AP20250126000001,INIT,PENDING,进入审核,2025-01-26 20:38:52,SYSTEM,1
AP20250126000001,PENDING,REJECTED,REJECT,2025-01-26 20:44:35,SYSTEM,1
AP20250318000001,\N,INIT,创建申请,2025-03-18 12:49:11,SYSTEM,1
AP20250318000001,INIT,PENDING,进入审核,2025-03-18 12:50:11,SYSTEM,1
AP20250318000001,PENDING,APPROVED,APPROVE,2025-03-18 12:54:27,SYSTEM,1
AP20250413000001,\N,INIT,创建申请,2025-04-13 22:26:48,SYSTEM,1
AP20250413000001,INIT,PENDING,进入审核,2025-04-13 22:27:48,SYSTEM,1
AP20250413000001,PENDING,REJECTED,REJECT,2025-04-13 22:35:33,SYSTEM,1
AP20250201000003,\N,INIT,创建申请,2025-02-01 22:52:20,SYSTEM,1
AP20250201000003,INIT,PENDING,进入审核,2025-02-01 22:53:20,SYSTEM,1
AP20250201000003,PENDING,REJECTED,REJECT,2025-02-01 23:07:13,SYSTEM,1
AP20250211000001,\N,INIT,创建申请,2025-02-11 10:18:09,SYSTEM,1
AP20250211000001,INIT,PENDING,进入审核,2025-02-11 10:19:09,SYSTEM,1
AP20250211000001,PENDING,REJECTED,REJECT,2025-02-11 10:23:20,SYSTEM,1
AP20250203000001,\N,INIT,创建申请,2025-02-03 12:06:47,SYSTEM,1
AP20250203000001,INIT,PENDING,进入审核,2025-02-03 12:07:47,SYSTEM,1
AP20250203000001,PENDING,REJECTED,REJECT,2025-02-03 12:17:05,SYSTEM,1
AP20250531000001,\N,INIT,创建申请,2025-05-31 19:15:27,SYSTEM,1
AP20250531000001,INIT,PENDING,进入审核,2025-05-31 19:16:27,SYSTEM,1
AP20250531000001,PENDING,APPROVED,APPROVE,2025-05-31 19:23:21,SYSTEM,1
AP20250309000002,\N,INIT,创建申请,2025-03-09 10:06:55,SYSTEM,1
AP20250309000002,INIT,PENDING,进入审核,2025-03-09 10:07:55,SYSTEM,1
AP20250309000002,PENDING,APPROVED,APPROVE,2025-03-09 10:12:01,SYSTEM,1
AP20250310000001,\N,INIT,创建申请,2025-03-10 22:59:49,SYSTEM,1
AP20250310000001,INIT,PENDING,进入审核,2025-03-10 23:00:49,SYSTEM,1
AP20250310000001,PENDING,APPROVED,APPROVE,2025-03-10 23:06:40,SYSTEM,1
AP20250312000001,\N,INIT,创建申请,2025-03-12 20:38:42,SYSTEM,1
AP20250312000001,INIT,PENDING,进入审核,2025-03-12 20:39:42,SYSTEM,1
AP20250312000001,PENDING,APPROVED,APPROVE,2025-03-12 20:48:16,SYSTEM,1
AP20250423000001,\N,INIT,创建申请,2025-04-23 21:53:14,SYSTEM,1
AP20250423000001,INIT,PENDING,进入审核,2025-04-23 21:54:14,SYSTEM,1
AP20250423000001,PENDING,APPROVED,APPROVE,2025-04-23 21:58:15,SYSTEM,1
AP20250309000003,\N,INIT,创建申请,2025-03-09 12:05:42,SYSTEM,1
AP20250309000003,INIT,PENDING,进入审核,2025-03-09 12:06:42,SYSTEM,1
AP20250309000003,PENDING,REJECTED,REJECT,2025-03-09 12:10:46,SYSTEM,1
AP20250226000002,\N,INIT,创建申请,2025-02-26 20:15:59,SYSTEM,1
AP20250226000002,INIT,PENDING,进入审核,2025-02-26 20:16:59,SYSTEM,1
AP20250226000002,PENDING,APPROVED,APPROVE,2025-02-26 20:28:20,SYSTEM,1
AP20250202000006,\N,INIT,创建申请,2025-02-02 12:54:50,SYSTEM,1
AP20250202000006,INIT,PENDING,进入审核,2025-02-02 12:55:50,SYSTEM,1
AP20250202000006,PENDING,APPROVED,APPROVE,2025-02-02 13:06:45,SYSTEM,1
AP20250522000002,\N,INIT,创建申请,2025-05-22 13:43:54,SYSTEM,1
AP20250522000002,INIT,PENDING,进入审核,2025-05-22 13:44:54,SYSTEM,1
AP20250522000002,PENDING,REJECTED,REJECT,2025-05-22 13:54:18,SYSTEM,1
AP20250429000002,\N,INIT,创建申请,2025-04-29 22:41:27,SYSTEM,1
AP20250429000002,INIT,PENDING,进入审核,2025-04-29 22:42:27,SYSTEM,1
AP20250429000002,PENDING,REJECTED,REJECT,2025-04-29 22:48:41,SYSTEM,1
AP20250317000001,\N,INIT,创建申请,2025-03-17 18:33:44,SYSTEM,1
AP20250317000001,INIT,PENDING,进入审核,2025-03-17 18:34:44,SYSTEM,1
AP20250317000001,PENDING,APPROVED,APPROVE,2025-03-17 18:40:02,SYSTEM,1
AP20250117000001,\N,INIT,创建申请,2025-01-17 19:58:59,SYSTEM,1
AP20250117000001,INIT,PENDING,进入审核,2025-01-17 19:59:59,SYSTEM,1
AP20250117000001,PENDING,APPROVED,APPROVE,2025-01-17 20:13:49,SYSTEM,1
AP20250211000002,\N,INIT,创建申请,2025-02-11 13:59:00,SYSTEM,1
AP20250211000002,INIT,PENDING,进入审核,2025-02-11 14:00:00,SYSTEM,1
AP20250211000002,PENDING,REJECTED,REJECT,2025-02-11 14:06:16,SYSTEM,1
AP20250309000004,\N,INIT,创建申请,2025-03-09 12:37:24,SYSTEM,1
AP20250309000004,INIT,PENDING,进入审核,2025-03-09 12:38:24,SYSTEM,1
AP20250309000004,PENDING,REJECTED,REJECT,2025-03-09 12:47:21,SYSTEM,1
AP20250211000003,\N,INIT,创建申请,2025-02-11 08:41:14,SYSTEM,1
AP20250211000003,INIT,PENDING,进入审核,2025-02-11 08:42:14,SYSTEM,1
AP20250211000003,PENDING,APPROVED,APPROVE,2025-02-11 08:48:39,SYSTEM,1
AP20250524000001,\N,INIT,创建申请,2025-05-24 09:56:21,SYSTEM,1
AP20250524000001,INIT,PENDING,进入审核,2025-05-24 09:57:21,SYSTEM,1
AP20250524000001,PENDING,APPROVED,APPROVE,2025-05-24 10:01:51,SYSTEM,1
AP20250110000001,\N,INIT,创建申请,2025-01-10 22:59:26,SYSTEM,1
AP20250110000001,INIT,PENDING,进入审核,2025-01-10 23:00:26,SYSTEM,1
AP20250110000001,PENDING,REJECTED,REJECT,2025-01-10 23:09:14,SYSTEM,1
AP20250430000001,\N,INIT,创建申请,2025-04-30 12:15:50,SYSTEM,1
AP20250430000001,INIT,PENDING,进入审核,2025-04-30 12:16:50,SYSTEM,1
AP20250430000001,PENDING,REJECTED,REJECT,2025-04-30 12:24:54,SYSTEM,1
AP20250214000001,\N,INIT,创建申请,2025-02-14 22:35:56,SYSTEM,1
AP20250214000001,INIT,PENDING,进入审核,2025-02-14 22:36:56,SYSTEM,1
AP20250214000001,PENDING,APPROVED,APPROVE,2025-02-14 22:38:38,SYSTEM,1
AP20250516000001,\N,INIT,创建申请,2025-05-16 12:00:10,SYSTEM,1
AP20250516000001,INIT,PENDING,进入审核,2025-05-16 12:01:10,SYSTEM,1
AP20250516000001,PENDING,APPROVED,APPROVE,2025-05-16 12:09:17,SYSTEM,1
AP20250115000001,\N,INIT,创建申请,2025-01-15 15:09:51,SYSTEM,1
AP20250115000001,INIT,PENDING,进入审核,2025-01-15 15:10:51,SYSTEM,1
AP20250115000001,PENDING,APPROVED,APPROVE,2025-01-15 15:18:23,SYSTEM,1
AP20250302000002,\N,INIT,创建申请,2025-03-02 20:00:50,SYSTEM,1
AP20250302000002,INIT,PENDING,进入审核,2025-03-02 20:01:50,SYSTEM,1
AP20250302000002,PENDING,APPROVED,APPROVE,2025-03-02 20:04:36,SYSTEM,1
AP20250224000002,\N,INIT,创建申请,2025-02-24 17:52:04,SYSTEM,1
AP20250224000002,INIT,PENDING,进入审核,2025-02-24 17:53:04,SYSTEM,1
AP20250224000002,PENDING,APPROVED,APPROVE,2025-02-24 18:03:56,SYSTEM,1
AP20250328000002,\N,INIT,创建申请,2025-03-28 11:19:19,SYSTEM,1
AP20250328000002,INIT,PENDING,进入审核,2025-03-28 11:20:19,SYSTEM,1
AP20250328000002,PENDING,REJECTED,REJECT,2025-03-28 11:30:35,SYSTEM,1
AP20250221000003,\N,INIT,创建申请,2025-02-21 20:39:37,SYSTEM,1
AP20250221000003,INIT,PENDING,进入审核,2025-02-21 20:40:37,SYSTEM,1
AP20250221000003,PENDING,APPROVED,APPROVE,2025-02-21 20:44:54,SYSTEM,1
