application_id,customer_id,bureau,pull_time,score,overdue_count,query_count_1m,is_test_data
AP20250409000001,C00003806,PBOC,2025-04-09 13:25:27,793,3,0,1
AP20250608000001,C00005866,PBOC,2025-06-08 15:35:46,749,2,6,1
AP20250128000003,C00001830,PBOC,2025-01-28 16:26:33,772,0,3,1
AP20250227000002,C00005992,PBOC,2025-02-27 17:20:28,691,2,3,1
AP20250520000003,C00003771,PBOC,2025-05-20 13:05:21,664,2,2,1
AP20250626000002,C00008312,BAIRONG,2025-06-26 20:06:27,625,0,7,1
AP20250213000002,C00004482,BAIRONG,2025-02-13 20:47:57,682,2,0,1
AP20250129000001,C00001104,BAIRONG,2025-01-29 21:11:51,683,2,7,1
AP20250509000001,C00008088,BAIRONG,2025-05-09 20:42:14,547,2,8,1
AP20250115000002,C00003289,TONGDUN,2025-01-15 11:19:33,811,0,8,1
AP20250310000003,C00004267,BAIRONG,2025-03-10 11:44:14,688,2,2,1
AP20250130000002,C00008931,BAIRONG,2025-01-30 13:28:29,714,3,2,1
AP20250202000007,C00000571,BAIRONG,2025-02-02 07:59:40,531,1,7,1
AP20250510000002,C00003910,TONGDUN,2025-05-10 20:23:42,549,2,1,1
AP20250209000001,C00000947,BAIRONG,2025-02-09 20:46:29,524,0,1,1
AP20250114000001,C00000672,TONGDUN,2025-01-14 22:17:30,715,0,0,1
AP20250203000002,C00006553,TONGDUN,2025-02-03 20:48:47,597,0,6,1
AP20250303000003,C00007401,BAIRONG,2025-03-03 22:24:28,708,1,6,1
AP20250618000002,C00009233,BAIRONG,2025-06-19 01:45:23,679,0,0,1
AP20250403000001,C00003459,BAIRONG,2025-04-03 13:35:34,707,1,3,1
AP20250525000002,C00002493,TONGDUN,2025-05-25 12:51:50,596,2,5,1
AP20250620000002,C00005277,PBOC,2025-06-20 20:14:22,696,0,8,1
AP20250304000003,C00006130,TONGDUN,2025-03-04 18:34:35,757,0,8,1
AP20250501000001,C00000745,TONGDUN,2025-05-01 07:47:22,701,2,0,1
AP20250320000001,C00003763,BAIRONG,2025-03-20 22:37:35,754,1,3,1
AP20250228000002,C00005617,TONGDUN,2025-02-28 00:57:46,622,1,0,1
AP20250525000003,C00002358,BAIRONG,2025-05-25 12:28:23,563,2,5,1
AP20250205000001,C00002826,PBOC,2025-02-05 13:17:20,560,1,3,1
AP20250319000002,C00004299,PBOC,2025-03-19 12:56:09,660,2,5,1
AP20250228000003,C00005367,PBOC,2025-02-28 16:35:28,566,3,2,1
AP20250330000002,C00000178,PBOC,2025-03-30 20:39:10,789,2,0,1
AP20250227000003,C00004772,TONGDUN,2025-02-27 22:34:57,672,0,5,1
AP20250508000002,C00005340,PBOC,2025-05-08 21:12:03,582,3,6,1
AP20250219000002,C00007592,TONGDUN,2025-02-19 08:07:22,778,2,7,1
AP20250219000003,C00008914,BAIRONG,2025-02-19 13:11:56,557,2,2,1
AP20250123000003,C00003163,TONGDUN,2025-01-23 17:04:05,579,3,8,1
AP20250526000003,C00001499,BAIRONG,2025-05-26 20:57:13,619,3,8,1
AP20250613000001,C00007501,TONGDUN,2025-06-13 22:05:18,778,0,5,1
AP20250528000001,C00000209,TONGDUN,2025-05-28 21:05:02,579,3,4,1
AP20250209000002,C00008963,BAIRONG,2025-02-09 20:17:27,570,0,2,1
AP20250507000002,C00009063,TONGDUN,2025-05-07 12:18:59,564,0,5,1
AP20250115000003,C00004707,BAIRONG,2025-01-15 12:19:13,616,1,1,1
AP20250401000003,C00004888,PBOC,2025-04-01 12:04:21,608,0,7,1
AP20250228000004,C00009035,BAIRONG,2025-02-28 22:58:37,559,0,7,1
AP20250306000002,C00003657,TONGDUN,2025-03-06 13:05:22,651,0,6,1
AP20250518000002,C00001143,TONGDUN,2025-05-18 13:54:44,766,2,7,1
AP20250201000004,C00005906,TONGDUN,2025-02-01 09:26:51,580,3,5,1
AP20250315000002,C00008796,PBOC,2025-03-15 13:18:22,672,3,0,1
AP20250501000002,C00001098,PBOC,2025-05-01 21:52:22,679,3,0,1
AP20250514000001,C00003408,TONGDUN,2025-05-14 22:15:19,594,3,1,1
AP20250218000002,C00002838,PBOC,2025-02-18 17:37:44,666,0,4,1
AP20250206000001,C00003854,TONGDUN,2025-02-06 08:45:00,733,0,3,1
AP20250227000004,C00009665,TONGDUN,2025-02-27 22:49:26,581,3,4,1
AP20250204000001,C00003256,BAIRONG,2025-02-04 12:46:28,717,0,2,1
AP20250602000003,C00002572,BAIRONG,2025-06-02 13:58:13,536,2,7,1
AP20250119000001,C00009727,PBOC,2025-01-19 12:03:57,650,2,0,1
AP20250217000004,C00003559,TONGDUN,2025-02-17 21:34:38,624,2,6,1
AP20250303000004,C00003044,PBOC,2025-03-03 07:27:50,588,1,7,1
AP20250218000003,C00008850,TONGDUN,2025-02-18 10:15:01,704,1,4,1
AP20250311000001,C00009402,BAIRONG,2025-03-11 12:17:04,680,0,0,1
AP20250315000003,C00007700,PBOC,2025-03-15 19:05:11,719,2,4,1
AP20250210000002,C00009462,TONGDUN,2025-02-10 20:35:23,719,2,7,1
AP20250209000003,C00005983,TONGDUN,2025-02-09 12:29:40,515,2,0,1
AP20250124000002,C00006760,BAIRONG,2025-01-24 11:49:32,483,3,0,1
AP20250512000001,C00001684,TONGDUN,2025-05-12 09:13:36,610,2,5,1
AP20250317000003,C00008662,PBOC,2025-03-17 13:50:22,657,1,4,1
AP20250502000002,C00001532,PBOC,2025-05-02 21:06:48,679,0,0,1
AP20250622000001,C00002750,TONGDUN,2025-06-22 06:10:21,629,1,6,1
AP20250409000002,C00008444,BAIRONG,2025-04-09 07:31:04,626,0,3,1
AP20250322000001,C00008870,PBOC,2025-03-22 16:36:45,686,2,7,1
AP20250214000002,C00007536,PBOC,2025-02-14 13:55:37,758,2,1,1
AP20250311000002,C00007990,BAIRONG,2025-03-11 12:18:17,641,2,5,1
AP20250626000003,C00000998,BAIRONG,2025-06-26 16:52:59,659,2,0,1
AP20250604000001,C00005707,TONGDUN,2025-06-04 13:41:42,685,1,8,1
AP20250210000003,C00003303,TONGDUN,2025-02-10 10:29:36,795,2,5,1
AP20250227000005,C00005417,PBOC,2025-02-27 13:25:15,671,2,1,1
AP20250420000001,C00002453,BAIRONG,2025-04-20 02:02:07,792,0,3,1
AP20250207000001,C00005795,BAIRONG,2025-02-07 22:22:04,711,1,2,1
AP20250223000005,C00005391,PBOC,2025-02-23 13:03:19,669,2,4,1
AP20250312000002,C00006271,TONGDUN,2025-03-12 18:58:51,654,0,2,1
AP20250410000001,C00001554,PBOC,2025-04-10 13:00:29,651,3,6,1
AP20250322000002,C00003263,BAIRONG,2025-03-22 16:28:59,616,2,0,1
AP20250616000002,C00006125,PBOC,2025-06-16 13:01:11,693,2,0,1
AP20250504000001,C00005034,BAIRONG,2025-05-04 13:36:25,642,1,5,1
AP20250619000001,C00002532,TONGDUN,2025-06-19 13:56:06,684,3,5,1
AP20250523000003,C00005991,BAIRONG,2025-05-23 13:12:15,637,0,7,1
AP20250408000001,C00004527,BAIRONG,2025-04-08 22:03:41,600,1,7,1
AP20250220000001,C00001928,TONGDUN,2025-02-20 22:24:51,708,2,0,1
AP20250309000005,C00009373,TONGDUN,2025-03-09 09:37:53,813,3,0,1
AP20250503000001,C00000094,BAIRONG,2025-05-03 01:00:41,764,2,7,1
AP20250131000002,C00002665,PBOC,2025-01-31 14:31:37,773,3,3,1
AP20250415000001,C00000750,BAIRONG,2025-04-15 08:35:47,771,3,5,1
AP20250202000008,C00000920,PBOC,2025-02-02 20:57:53,609,2,0,1
AP20250518000003,C00002025,BAIRONG,2025-05-18 20:18:05,636,0,5,1
AP20250206000002,C00007148,BAIRONG,2025-02-06 06:52:10,765,0,6,1
AP20250609000003,C00000133,BAIRONG,2025-06-09 12:57:06,553,0,3,1
AP20250222000002,C00003747,TONGDUN,2025-02-22 12:23:27,589,3,4,1
AP20250607000002,C00006667,BAIRONG,2025-06-07 11:29:12,777,1,3,1
AP20250218000004,C00009323,BAIRONG,2025-02-18 14:03:37,677,3,1,1
AP20250408000002,C00008571,TONGDUN,2025-04-08 13:29:06,643,3,5,1
AP20250220000002,C00008156,PBOC,2025-02-20 20:26:34,611,1,5,1
AP20250119000002,C00008680,PBOC,2025-01-19 06:07:04,587,3,1,1
AP20250304000004,C00007074,BAIRONG,2025-03-04 19:31:24,626,0,6,1
AP20250215000004,C00002376,BAIRONG,2025-02-15 22:45:42,651,0,6,1
AP20250124000003,C00002059,PBOC,2025-01-24 12:36:05,676,2,0,1
AP20250504000002,C00007504,TONGDUN,2025-05-04 02:04:02,677,2,2,1
AP20250214000003,C00004121,PBOC,2025-02-14 12:36:42,658,0,6,1
AP20250129000002,C00001241,TONGDUN,2025-01-29 16:33:42,659,2,2,1
AP20250119000003,C00009671,TONGDUN,2025-01-19 19:40:49,596,0,8,1
AP20250312000003,C00005445,PBOC,2025-03-12 20:40:47,733,0,3,1
AP20250207000002,C00004028,TONGDUN,2025-02-07 23:04:14,756,2,2,1
AP20250520000004,C00001793,TONGDUN,2025-05-20 20:05:45,571,2,1,1
AP20250228000005,C00002566,PBOC,2025-02-28 22:24:53,797,2,5,1
AP20250525000004,C00003286,PBOC,2025-05-25 11:40:33,581,0,3,1
AP20250128000004,C00000056,BAIRONG,2025-01-28 09:40:55,631,1,0,1
AP20250121000001,C00003114,PBOC,2025-01-21 22:29:24,672,2,7,1
AP20250618000003,C00005730,TONGDUN,2025-06-18 12:33:11,654,2,6,1
AP20250408000003,C00009828,BAIRONG,2025-04-08 06:35:49,590,3,0,1
AP20250518000004,C00009267,TONGDUN,2025-05-18 13:43:04,592,1,8,1
AP20250217000005,C00003515,BAIRONG,2025-02-17 22:24:48,744,3,6,1
AP20250218000005,C00008380,BAIRONG,2025-02-18 22:16:05,615,1,7,1
AP20250506000003,C00004933,PBOC,2025-05-06 21:35:48,760,1,7,1
AP20250515000001,C00004673,TONGDUN,2025-05-15 11:19:13,645,0,4,1
AP20250403000002,C00009706,TONGDUN,2025-04-03 22:24:05,646,1,1,1
AP20250207000003,C00008473,TONGDUN,2025-02-07 13:56:33,635,2,8,1
AP20250227000006,C00003820,BAIRONG,2025-02-27 22:34:19,790,0,8,1
AP20250213000003,C00002208,TONGDUN,2025-02-13 11:23:59,640,0,6,1
AP20250117000002,C00000978,BAIRONG,2025-01-17 12:38:39,810,1,5,1
AP20250511000001,C00008693,PBOC,2025-05-11 06:45:03,605,0,8,1
AP20250127000003,C00009217,PBOC,2025-01-27 20:31:48,527,3,7,1
AP20250609000004,C00007255,PBOC,2025-06-09 10:46:45,667,2,3,1
AP20250524000002,C00005410,TONGDUN,2025-05-24 15:20:43,638,1,3,1
AP20250421000002,C00001558,PBOC,2025-04-21 12:04:55,523,2,4,1
AP20250301000002,C00009785,BAIRONG,2025-03-01 12:22:37,677,0,4,1
AP20250406000001,C00001840,TONGDUN,2025-04-06 20:17:47,667,0,2,1
AP20250319000003,C00007751,BAIRONG,2025-03-19 18:44:46,708,3,4,1
AP20250423000002,C00008488,PBOC,2025-04-23 12:36:23,655,2,6,1
AP20250226000003,C00005547,BAIRONG,2025-02-26 20:20:19,745,0,0,1
AP20250214000004,C00005563,BAIRONG,2025-02-14 13:46:16,669,2,3,1
AP20250423000003,C00006089,TONGDUN,2025-04-23 13:57:46,548,1,4,1
AP20250609000005,C00000712,BAIRONG,2025-06-09 12:45:23,693,0,8,1
AP20250220000003,C00000038,BAIRONG,2025-02-20 11:44:19,751,3,6,1
AP20250224000003,C00000436,PBOC,2025-02-24 16:38:47,601,1,8,1
AP20250517000001,C00005464,TONGDUN,2025-05-17 01:57:47,637,1,0,1
AP20250216000003,C00008553,TONGDUN,2025-02-16 22:24:37,585,1,5,1
AP20250111000001,C00003393,BAIRONG,2025-01-11 21:10:57,715,0,4,1
AP20250130000003,C00004523,PBOC,2025-01-30 22:05:05,738,1,0,1
AP20250323000001,C00001574,BAIRONG,2025-03-23 09:25:58,700,1,6,1
AP20250225000001,C00006766,BAIRONG,2025-02-25 02:36:27,773,1,1,1
AP20250503000002,C00008746,BAIRONG,2025-05-03 08:46:09,603,3,0,1
AP20250401000004,C00007847,TONGDUN,2025-04-01 19:06:22,609,3,1,1
AP20250129000003,C00001968,BAIRONG,2025-01-29 13:05:25,723,2,8,1
AP20250319000004,C00000299,BAIRONG,2025-03-19 12:28:13,730,2,4,1
AP20250625000001,C00004664,PBOC,2025-06-25 15:14:11,543,1,1,1
AP20250202000009,C00001905,BAIRONG,2025-02-02 13:05:12,625,0,3,1
AP20250207000004,C00002672,TONGDUN,2025-02-07 21:49:46,572,1,3,1
AP20250417000001,C00000573,TONGDUN,2025-04-17 13:23:05,660,1,0,1
AP20250501000003,C00009281,TONGDUN,2025-05-01 21:52:37,678,2,0,1
AP20250419000002,C00009595,TONGDUN,2025-04-19 13:39:38,514,3,4,1
AP20250430000002,C00003463,TONGDUN,2025-04-30 20:51:46,781,2,1,1
AP20250207000005,C00004065,TONGDUN,2025-02-07 20:45:27,679,0,1,1
AP20250205000002,C00004748,TONGDUN,2025-02-05 12:54:43,556,3,4,1
AP20250326000002,C00007652,TONGDUN,2025-03-26 12:06:40,493,3,8,1
AP20250207000006,C00009674,TONGDUN,2025-02-07 22:44:03,625,2,7,1
AP20250216000004,C00000979,TONGDUN,2025-02-16 07:33:28,572,2,6,1
AP20250217000006,C00004853,TONGDUN,2025-02-17 21:43:37,571,1,6,1
AP20250205000003,C00006945,BAIRONG,2025-02-05 12:28:12,654,0,4,1
AP20250301000003,C00006443,TONGDUN,2025-03-01 12:14:20,515,1,0,1
AP20250519000001,C00009404,BAIRONG,2025-05-19 20:52:14,578,3,2,1
AP20250107000001,C00006486,BAIRONG,2025-01-07 08:15:12,523,2,5,1
AP20250422000003,C00008059,BAIRONG,2025-04-22 23:44:51,500,1,2,1
AP20250213000004,C00006506,TONGDUN,2025-02-13 20:16:14,725,2,4,1
AP20250203000003,C00007127,TONGDUN,2025-02-03 12:29:41,545,0,7,1
AP20250414000001,C00009588,BAIRONG,2025-04-14 20:54:00,522,1,8,1
AP20250507000003,C00005886,TONGDUN,2025-05-07 17:27:21,794,2,6,1
AP20250523000004,C00001122,PBOC,2025-05-23 10:33:42,706,0,4,1
AP20250525000005,C00004833,PBOC,2025-05-25 13:47:25,586,2,8,1
AP20250627000001,C00001026,BAIRONG,2025-06-27 22:28:44,643,3,2,1
AP20250418000001,C00006708,PBOC,2025-04-18 20:50:32,527,1,8,1
AP20250507000004,C00009232,TONGDUN,2025-05-07 13:00:01,706,1,6,1
AP20250622000002,C00004458,TONGDUN,2025-06-22 09:47:37,714,1,8,1
AP20250605000001,C00007967,BAIRONG,2025-06-05 12:22:32,737,0,0,1
AP20250411000001,C00001689,TONGDUN,2025-04-11 13:23:09,622,1,8,1
AP20250129000004,C00005578,TONGDUN,2025-01-29 13:49:10,667,2,2,1
AP20250519000002,C00003124,TONGDUN,2025-05-19 01:56:39,590,2,3,1
AP20250317000004,C00001561,BAIRONG,2025-03-17 14:22:52,655,2,4,1
AP20250426000001,C00002014,PBOC,2025-04-26 12:54:11,662,1,0,1
AP20250304000005,C00006929,PBOC,2025-03-04 13:17:28,630,3,6,1
AP20250124000004,C00008120,TONGDUN,2025-01-24 09:50:34,686,2,3,1
AP20250526000004,C00003645,PBOC,2025-05-26 01:21:52,568,3,7,1
AP20250215000005,C00000763,TONGDUN,2025-02-15 12:20:29,626,0,8,1
AP20250503000003,C00001007,BAIRONG,2025-05-03 11:49:55,508,2,1,1
AP20250227000007,C00004838,BAIRONG,2025-02-27 12:19:54,529,1,2,1
AP20250621000001,C00000128,TONGDUN,2025-06-21 13:27:38,716,2,7,1
AP20250513000002,C00006321,TONGDUN,2025-05-13 06:16:50,651,3,8,1
AP20250203000004,C00002085,TONGDUN,2025-02-03 22:12:34,504,2,0,1
AP20250507000005,C00004539,TONGDUN,2025-05-07 16:12:10,619,0,8,1
AP20250218000006,C00007874,PBOC,2025-02-18 20:17:23,627,2,7,1
AP20250306000003,C00000873,PBOC,2025-03-06 18:00:44,687,2,5,1
AP20250519000003,C00007169,PBOC,2025-05-19 12:25:42,650,3,5,1
AP20250521000002,C00002241,PBOC,2025-05-21 21:42:47,528,3,6,1
AP20250221000005,C00002579,TONGDUN,2025-02-21 09:24:42,616,3,1,1
AP20250410000002,C00003572,TONGDUN,2025-04-10 13:21:10,617,0,2,1
