application_id,customer_id,product_code,apply_amount,apply_term,channel_code,campaign_id,apply_purpose,status,reject_code,apply_time,decision_time,is_test_data
AP20250219000001,C00000982,SELF_LOAN,20000.00,18,PARTNER_MALL,CAMP0022,消费,REJECTED,R008,2025-02-19 13:08:30,2025-02-19 13:14:07,1
AP20250222000001,C00000925,PLATFORM_LOAN,15000.00,3,H5_PROMO,CAMP0017,医疗,REJECTED,R006,2025-02-22 16:53:36,2025-02-22 17:01:43,1
AP20250331000002,C00008190,PLATFORM_LOAN,10000.00,12,REFERRAL,CAMP0018,购车,REJECTED,R006,2025-03-31 10:15:24,2025-03-31 10:18:26,1
AP20250309000001,C00000852,PLATFORM_LOAN,100000.00,24,PARTNER_BANK1,\N,婚庆,REJECTED,R006,2025-03-09 22:26:57,2025-03-09 22:32:24,1
AP20250226000001,C00008099,SELF_LOAN,100000.00,3,PARTNER_BANK1,CAMP0025,消费,REJECTED,R006,2025-02-26 13:55:51,2025-02-26 14:01:08,1
AP20250422000001,C00002485,PLATFORM_LOAN,5000.00,3,REFERRAL,CAMP0005,装修,APPROVED,\N,2025-04-22 12:30:31,2025-04-22 12:36:13,1
AP20250223000003,C00007599,JOINT_LOAN,5000.00,3,WECHAT_MP,CAMP0005,教育,REJECTED,R009,2025-02-23 13:54:02,2025-02-23 14:06:00,1
AP20250128000002,C00002994,SELF_LOAN,100000.00,12,BYTEDANCE_AD,CAMP0023,装修,APPROVED,\N,2025-01-28 12:29:07,2025-01-28 12:39:34,1
AP20250526000001,C00007595,GUARANTEE_LOAN,2000.00,36,KUAISHOU_AD,\N,旅游,REJECTED,R006,2025-05-26 20:07:36,2025-05-26 20:19:18,1
AP20250215000002,C00005290,SELF_LOAN,15000.00,3,PARTNER_MALL,CAMP0016,其他,APPROVED,\N,2025-02-15 17:50:33,2025-02-15 18:04:22,1
AP20250223000004,C00006108,SELF_LOAN,30000.00,36,APP_ORG,CAMP0023,医疗,APPROVED,\N,2025-02-23 17:10:55,2025-02-23 17:23:01,1
AP20250424000001,C00006856,GUARANTEE_LOAN,5000.00,6,TENCENT_AD,\N,婚庆,REJECTED,R004,2025-04-24 12:46:33,2025-04-24 12:57:23,1
AP20250124000001,C00002906,JOINT_LOAN,1000.00,36,BYTEDANCE_AD,\N,购车,APPROVED,\N,2025-01-24 18:22:31,2025-01-24 18:33:37,1
AP20250518000001,C00000187,PLATFORM_LOAN,8000.00,18,BAIDU_SEM,CAMP0014,教育,APPROVED,\N,2025-05-18 12:45:52,2025-05-18 12:55:30,1
AP20250221000001,C00009060,JOINT_LOAN,15000.00,12,WECHAT_MP,\N,婚庆,APPROVED,\N,2025-02-21 16:22:55,2025-02-21 16:27:35,1
AP20250221000002,C00001580,PLATFORM_LOAN,30000.00,18,TENCENT_AD,\N,消费,APPROVED,\N,2025-02-21 12:10:32,2025-02-21 12:16:57,1
AP20250301000001,C00000675,PLATFORM_LOAN,50000.00,36,BYTEDANCE_AD,CAMP0005,婚庆,APPROVED,\N,2025-03-01 21:34:54,2025-03-01 21:40:40,1
AP20250125000001,C00006543,SELF_LOAN,50000.00,36,APP_ORG,\N,婚庆,REJECTED,R008,2025-01-25 21:18:25,2025-01-25 21:29:35,1
AP20250328000001,C00008484,SELF_LOAN,80000.00,12,TENCENT_AD,CAMP0033,教育,REJECTED,R006,2025-03-28 23:58:50,2025-03-29 00:11:56,1
AP20250202000004,C00004105,JOINT_LOAN,2000.00,24,WECHAT_MP,CAMP0028,医疗,APPROVED,\N,2025-02-02 08:25:32,2025-02-02 08:32:56,1
AP20250202000005,C00008316,PLATFORM_LOAN,5000.00,3,WECHAT_MP,\N,医疗,REJECTED,R008,2025-02-02 23:43:18,2025-02-02 23:51:11,1
AP20250422000002,C00007025,SELF_LOAN,10000.00,6,APP_ORG,\N,消费,APPROVED,\N,2025-04-22 13:39:54,2025-04-22 13:46:11,1
AP20250502000001,C00002173,JOINT_LOAN,80000.00,12,REFERRAL,CAMP0012,教育,APPROVED,\N,2025-05-02 12:36:22,2025-05-02 12:41:10,1
AP20250510000001,C00007593,JOINT_LOAN,10000.00,12,PARTNER_MALL,\N,婚庆,APPROVED,\N,2025-05-10 21:49:22,2025-05-10 22:01:17,1
AP20250611000001,C00006697,SELF_LOAN,1000.00,6,APP_ORG,\N,其他,REJECTED,R006,2025-06-11 12:43:10,2025-06-11 12:56:40,1
AP20250126000001,C00001231,JOINT_LOAN,30000.00,24,TENCENT_AD,CAMP0005,医疗,REJECTED,R004,2025-01-26 20:37:52,2025-01-26 20:44:35,1
AP20250318000001,C00008234,SELF_LOAN,100000.00,24,BYTEDANCE_AD,CAMP0036,医疗,APPROVED,\N,2025-03-18 12:49:11,2025-03-18 12:54:27,1
AP20250413000001,C00004252,PLATFORM_LOAN,50000.00,24,APP_ORG,\N,教育,REJECTED,R006,2025-04-13 22:26:48,2025-04-13 22:35:33,1
AP20250201000003,C00001344,SELF_LOAN,50000.00,36,TENCENT_AD,CAMP0014,医疗,REJECTED,R006,2025-02-01 22:52:20,2025-02-01 23:07:13,1
AP20250211000001,C00000217,SELF_LOAN,8000.00,36,APP_ORG,\N,消费,REJECTED,R009,2025-02-11 10:18:09,2025-02-11 10:23:20,1
AP20250203000001,C00000359,PLATFORM_LOAN,30000.00,24,WECHAT_MP,\N,旅游,REJECTED,R009,2025-02-03 12:06:47,2025-02-03 12:17:05,1
AP20250531000001,C00006028,JOINT_LOAN,30000.00,12,WECHAT_MP,\N,装修,APPROVED,\N,2025-05-31 19:15:27,2025-05-31 19:23:21,1
AP20250309000002,C00000962,GUARANTEE_LOAN,15000.00,6,REFERRAL,\N,医疗,APPROVED,\N,2025-03-09 10:06:55,2025-03-09 10:12:01,1
AP20250310000001,C00002438,GUARANTEE_LOAN,5000.00,24,BAIDU_SEM,CAMP0040,消费,APPROVED,\N,2025-03-10 22:59:49,2025-03-10 23:06:40,1
AP20250312000001,C00002823,SELF_LOAN,20000.00,12,WECHAT_MP,\N,消费,APPROVED,\N,2025-03-12 20:38:42,2025-03-12 20:48:16,1
AP20250423000001,C00002677,SELF_LOAN,30000.00,3,H5_PROMO,CAMP0038,婚庆,APPROVED,\N,2025-04-23 21:53:14,2025-04-23 21:58:15,1
AP20250309000003,C00002232,JOINT_LOAN,8000.00,12,BYTEDANCE_AD,\N,婚庆,REJECTED,R006,2025-03-09 12:05:42,2025-03-09 12:10:46,1
AP20250226000002,C00004454,GUARANTEE_LOAN,15000.00,12,APP_ORG,CAMP0016,消费,APPROVED,\N,2025-02-26 20:15:59,2025-02-26 20:28:20,1
AP20250202000006,C00006958,PLATFORM_LOAN,100000.00,24,BYTEDANCE_AD,\N,其他,APPROVED,\N,2025-02-02 12:54:50,2025-02-02 13:06:45,1
AP20250522000002,C00008224,JOINT_LOAN,20000.00,12,BYTEDANCE_AD,\N,消费,REJECTED,R006,2025-05-22 13:43:54,2025-05-22 13:54:18,1
AP20250429000002,C00004548,SELF_LOAN,15000.00,36,REFERRAL,\N,装修,REJECTED,R006,2025-04-29 22:41:27,2025-04-29 22:48:41,1
AP20250317000001,C00008332,JOINT_LOAN,5000.00,24,TENCENT_AD,CAMP0032,装修,APPROVED,\N,2025-03-17 18:33:44,2025-03-17 18:40:02,1
AP20250117000001,C00006144,PLATFORM_LOAN,2000.00,18,APP_ORG,\N,消费,APPROVED,\N,2025-01-17 19:58:59,2025-01-17 20:13:49,1
AP20250211000002,C00004766,PLATFORM_LOAN,50000.00,6,REFERRAL,\N,装修,REJECTED,R006,2025-02-11 13:59:00,2025-02-11 14:06:16,1
AP20250309000004,C00004493,SELF_LOAN,1000.00,24,BYTEDANCE_AD,CAMP0011,消费,REJECTED,R008,2025-03-09 12:37:24,2025-03-09 12:47:21,1
AP20250211000003,C00001139,SELF_LOAN,15000.00,6,BAIDU_SEM,CAMP0022,旅游,APPROVED,\N,2025-02-11 08:41:14,2025-02-11 08:48:39,1
AP20250524000001,C00003009,SELF_LOAN,100000.00,36,PARTNER_MALL,\N,购车,APPROVED,\N,2025-05-24 09:56:21,2025-05-24 10:01:51,1
AP20250110000001,C00006358,SELF_LOAN,5000.00,24,REFERRAL,\N,其他,REJECTED,R006,2025-01-10 22:59:26,2025-01-10 23:09:14,1
AP20250430000001,C00006147,PLATFORM_LOAN,50000.00,24,KUAISHOU_AD,CAMP0035,医疗,REJECTED,R006,2025-04-30 12:15:50,2025-04-30 12:24:54,1
AP20250214000001,C00004268,GUARANTEE_LOAN,1000.00,3,WECHAT_MP,CAMP0001,装修,APPROVED,\N,2025-02-14 22:35:56,2025-02-14 22:38:38,1
AP20250516000001,C00007186,PLATFORM_LOAN,5000.00,6,H5_PROMO,\N,医疗,APPROVED,\N,2025-05-16 12:00:10,2025-05-16 12:09:17,1
AP20250115000001,C00004496,JOINT_LOAN,50000.00,6,APP_ORG,CAMP0031,购车,APPROVED,\N,2025-01-15 15:09:51,2025-01-15 15:18:23,1
AP20250302000002,C00001926,JOINT_LOAN,50000.00,18,WECHAT_MP,CAMP0026,医疗,APPROVED,\N,2025-03-02 20:00:50,2025-03-02 20:04:36,1
AP20250224000002,C00008103,PLATFORM_LOAN,80000.00,6,PARTNER_MALL,\N,装修,APPROVED,\N,2025-02-24 17:52:04,2025-02-24 18:03:56,1
AP20250328000002,C00006564,JOINT_LOAN,1000.00,36,BYTEDANCE_AD,\N,购车,REJECTED,R009,2025-03-28 11:19:19,2025-03-28 11:30:35,1
AP20250221000003,C00009704,SELF_LOAN,20000.00,6,REFERRAL,\N,装修,APPROVED,\N,2025-02-21 20:39:37,2025-02-21 20:44:54,1
AP20250304000001,C00007939,SELF_LOAN,20000.00,18,BYTEDANCE_AD,\N,其他,REJECTED,R006,2025-03-04 19:36:35,2025-03-04 19:48:51,1
AP20250120000001,C00005078,PLATFORM_LOAN,10000.00,6,KUAISHOU_AD,\N,消费,REJECTED,R006,2025-01-20 13:04:25,2025-01-20 13:11:03,1
AP20250531000002,C00004767,SELF_LOAN,10000.00,12,WECHAT_MP,\N,旅游,REJECTED,R009,2025-05-31 13:34:56,2025-05-31 13:45:32,1
AP20250318000002,C00008042,GUARANTEE_LOAN,1000.00,12,BAIDU_SEM,CAMP0015,其他,APPROVED,\N,2025-03-18 02:53:59,2025-03-18 03:05:35,1
AP20250304000002,C00002465,JOINT_LOAN,50000.00,6,TENCENT_AD,\N,旅游,REJECTED,R006,2025-03-04 14:52:44,2025-03-04 14:55:51,1
AP20250506000002,C00009016,SELF_LOAN,100000.00,24,KUAISHOU_AD,CAMP0038,医疗,REJECTED,R009,2025-05-06 20:38:46,2025-05-06 20:49:49,1
AP20250623000001,C00009470,PLATFORM_LOAN,1000.00,3,BYTEDANCE_AD,\N,旅游,APPROVED,\N,2025-06-23 10:41:06,2025-06-23 10:52:37,1
AP20250523000002,C00009036,PLATFORM_LOAN,30000.00,18,PARTNER_BANK1,\N,教育,APPROVED,\N,2025-05-23 13:46:29,2025-05-23 13:52:40,1
AP20250217000001,C00003603,SELF_LOAN,80000.00,12,BAIDU_SEM,CAMP0025,消费,APPROVED,\N,2025-02-17 22:06:04,2025-02-17 22:18:41,1
AP20250123000002,C00004450,PLATFORM_LOAN,50000.00,36,KUAISHOU_AD,CAMP0038,教育,APPROVED,\N,2025-01-23 22:05:22,2025-01-23 22:10:11,1
AP20250306000001,C00005495,GUARANTEE_LOAN,15000.00,12,KUAISHOU_AD,CAMP0038,消费,REJECTED,R007,2025-03-06 12:48:23,2025-03-06 12:51:08,1
AP20250218000001,C00008406,PLATFORM_LOAN,15000.00,36,BYTEDANCE_AD,\N,装修,REJECTED,R006,2025-02-18 13:54:10,2025-02-18 14:06:43,1
AP20250624000001,C00006805,SELF_LOAN,1000.00,3,BAIDU_SEM,\N,装修,REJECTED,R009,2025-06-24 21:06:45,2025-06-24 21:16:47,1
AP20250513000001,C00007970,PLATFORM_LOAN,5000.00,36,TENCENT_AD,CAMP0014,消费,APPROVED,\N,2025-05-13 11:53:35,2025-05-13 11:58:46,1
AP20250215000003,C00008657,PLATFORM_LOAN,1000.00,12,TENCENT_AD,\N,购车,APPROVED,\N,2025-02-15 21:06:12,2025-02-15 21:14:01,1
AP20250302000003,C00000948,JOINT_LOAN,1000.00,24,REFERRAL,CAMP0019,购车,REJECTED,R008,2025-03-02 21:10:22,2025-03-02 21:15:58,1
AP20250419000001,C00002583,SELF_LOAN,10000.00,12,APP_ORG,\N,购车,APPROVED,\N,2025-04-19 22:55:19,2025-04-19 23:00:37,1
AP20250217000002,C00006159,PLATFORM_LOAN,100000.00,24,BAIDU_SEM,\N,旅游,REJECTED,R007,2025-02-17 20:35:37,2025-02-17 20:40:29,1
AP20250331000003,C00001806,PLATFORM_LOAN,2000.00,12,BAIDU_SEM,\N,购车,APPROVED,\N,2025-03-31 12:23:45,2025-03-31 12:33:08,1
AP20250317000002,C00007187,PLATFORM_LOAN,10000.00,18,BAIDU_SEM,CAMP0035,其他,APPROVED,\N,2025-03-17 02:46:53,2025-03-17 02:53:37,1
AP20250315000001,C00009541,PLATFORM_LOAN,80000.00,18,KUAISHOU_AD,CAMP0035,装修,REJECTED,R006,2025-03-15 22:07:16,2025-03-15 22:20:19,1
AP20250213000001,C00009034,SELF_LOAN,50000.00,6,BYTEDANCE_AD,CAMP0023,其他,APPROVED,\N,2025-02-13 20:45:58,2025-02-13 20:56:05,1
AP20250216000002,C00007071,PLATFORM_LOAN,8000.00,3,TENCENT_AD,CAMP0036,购车,REJECTED,R006,2025-02-16 20:58:56,2025-02-16 21:06:37,1
AP20250522000003,C00004756,GUARANTEE_LOAN,1000.00,24,TENCENT_AD,\N,购车,APPROVED,\N,2025-05-22 14:04:57,2025-05-22 14:17:39,1
AP20250520000001,C00001093,PLATFORM_LOAN,15000.00,18,BAIDU_SEM,\N,婚庆,REJECTED,R004,2025-05-21 12:00:45,2025-05-21 12:05:16,1
AP20250526000002,C00008747,SELF_LOAN,5000.00,6,BYTEDANCE_AD,\N,购车,APPROVED,\N,2025-05-26 16:49:55,2025-05-26 16:57:25,1
AP20250324000001,C00004757,SELF_LOAN,8000.00,36,BAIDU_SEM,\N,旅游,REJECTED,R008,2025-03-24 23:37:48,2025-03-24 23:45:47,1
AP20250620000001,C00003868,JOINT_LOAN,2000.00,24,KUAISHOU_AD,\N,旅游,APPROVED,\N,2025-06-20 20:11:02,2025-06-20 20:23:49,1
AP20250217000003,C00002885,SELF_LOAN,20000.00,12,BAIDU_SEM,\N,教育,REJECTED,R008,2025-02-17 15:17:19,2025-02-17 15:25:11,1
AP20250310000002,C00008296,SELF_LOAN,2000.00,24,KUAISHOU_AD,CAMP0024,婚庆,REJECTED,R006,2025-03-10 12:30:32,2025-03-10 12:36:26,1
AP20250228000001,C00007380,SELF_LOAN,2000.00,36,BYTEDANCE_AD,\N,其他,APPROVED,\N,2025-02-28 21:35:34,2025-02-28 21:47:56,1
AP20250331000004,C00000289,JOINT_LOAN,8000.00,6,KUAISHOU_AD,\N,消费,APPROVED,\N,2025-03-31 02:33:36,2025-03-31 02:42:22,1
AP20250307000001,C00009690,SELF_LOAN,30000.00,36,TENCENT_AD,\N,装修,APPROVED,\N,2025-03-07 20:40:06,2025-03-07 20:52:52,1
AP20250221000004,C00006539,JOINT_LOAN,2000.00,3,BAIDU_SEM,\N,医疗,REJECTED,R008,2025-02-21 21:03:11,2025-02-21 21:10:06,1
AP20250520000002,C00003596,SELF_LOAN,100000.00,24,KUAISHOU_AD,\N,装修,APPROVED,\N,2025-05-20 13:23:07,2025-05-20 13:29:17,1
AP20250227000001,C00006433,PLATFORM_LOAN,30000.00,18,KUAISHOU_AD,\N,医疗,APPROVED,\N,2025-02-27 21:10:00,2025-02-27 21:17:51,1
AP20250409000001,C00003806,PLATFORM_LOAN,10000.00,12,TENCENT_AD,\N,医疗,APPROVED,\N,2025-04-09 13:18:27,2025-04-09 13:27:47,1
AP20250608000001,C00005866,GUARANTEE_LOAN,15000.00,3,BYTEDANCE_AD,\N,装修,REJECTED,R008,2025-06-08 15:34:46,2025-06-08 15:39:57,1
AP20250128000003,C00001830,SELF_LOAN,30000.00,24,H5_PROMO,CAMP0018,购车,REJECTED,R009,2025-01-28 16:24:33,2025-01-28 16:29:06,1
AP20250227000002,C00005992,SELF_LOAN,80000.00,36,REFERRAL,\N,消费,REJECTED,R008,2025-02-27 17:13:28,2025-02-27 17:25:17,1
AP20250520000003,C00003771,PLATFORM_LOAN,2000.00,36,BYTEDANCE_AD,\N,购车,REJECTED,R006,2025-05-20 13:01:21,2025-05-20 13:10:51,1
AP20250626000002,C00008312,SELF_LOAN,1000.00,36,APP_ORG,\N,婚庆,REJECTED,R006,2025-06-26 19:58:27,2025-06-26 20:09:48,1
AP20250213000002,C00004482,JOINT_LOAN,2000.00,6,BYTEDANCE_AD,\N,婚庆,REJECTED,R006,2025-02-13 20:41:57,2025-02-13 20:49:53,1
AP20250129000001,C00001104,PLATFORM_LOAN,30000.00,12,APP_ORG,\N,其他,REJECTED,R006,2025-01-29 21:07:51,2025-01-29 21:14:39,1
AP20250509000001,C00008088,SELF_LOAN,1000.00,12,H5_PROMO,\N,消费,APPROVED,\N,2025-05-09 20:40:14,2025-05-09 20:44:15,1
AP20250115000002,C00003289,PLATFORM_LOAN,20000.00,6,KUAISHOU_AD,CAMP0027,婚庆,APPROVED,\N,2025-01-15 11:09:33,2025-01-15 11:22:38,1
AP20250310000003,C00004267,PLATFORM_LOAN,50000.00,12,BAIDU_SEM,CAMP0040,教育,APPROVED,\N,2025-03-10 11:42:14,2025-03-10 11:48:02,1
AP20250130000002,C00008931,SELF_LOAN,8000.00,24,KUAISHOU_AD,\N,消费,APPROVED,\N,2025-01-30 13:20:29,2025-01-30 13:33:09,1
AP20250202000007,C00000571,GUARANTEE_LOAN,30000.00,6,BAIDU_SEM,\N,消费,REJECTED,R006,2025-02-02 07:50:40,2025-02-02 08:01:00,1
AP20250510000002,C00003910,SELF_LOAN,15000.00,3,WECHAT_MP,\N,教育,APPROVED,\N,2025-05-10 20:18:42,2025-05-10 20:27:41,1
AP20250209000001,C00000947,PLATFORM_LOAN,15000.00,24,KUAISHOU_AD,\N,旅游,REJECTED,R009,2025-02-09 20:42:29,2025-02-09 20:48:37,1
AP20250114000001,C00000672,SELF_LOAN,80000.00,3,BYTEDANCE_AD,\N,其他,REJECTED,R007,2025-01-14 22:09:30,2025-01-14 22:18:31,1
AP20250203000002,C00006553,SELF_LOAN,15000.00,12,TENCENT_AD,\N,教育,REJECTED,R006,2025-02-03 20:46:47,2025-02-03 20:54:13,1
AP20250303000003,C00007401,JOINT_LOAN,10000.00,18,PARTNER_BANK1,CAMP0015,旅游,REJECTED,R009,2025-03-03 22:19:28,2025-03-03 22:26:13,1
AP20250618000002,C00009233,JOINT_LOAN,30000.00,18,BAIDU_SEM,\N,其他,APPROVED,\N,2025-06-19 01:41:23,2025-06-19 01:50:37,1
AP20250403000001,C00003459,SELF_LOAN,80000.00,18,TENCENT_AD,CAMP0033,婚庆,APPROVED,\N,2025-04-03 13:32:34,2025-04-03 13:36:24,1
AP20250525000002,C00002493,JOINT_LOAN,30000.00,3,KUAISHOU_AD,\N,旅游,APPROVED,\N,2025-05-25 12:48:50,2025-05-25 12:55:49,1
AP20250620000002,C00005277,PLATFORM_LOAN,2000.00,36,APP_ORG,\N,医疗,APPROVED,\N,2025-06-20 20:05:22,2025-06-20 20:17:34,1
