ticket_id,action,remark,acted_at,actor,is_test_data
TK000048,关闭,问题已解决,2025-03-26 10:40:29,E00354,1
TK000049,创建,工单创建,2025-06-07 20:14:25,E00191,1
TK000049,关闭,问题已解决,2025-06-10 18:14:25,E00191,1
TK000050,创建,工单创建,2025-05-30 13:21:16,E00365,1
TK000050,关闭,问题已解决,2025-05-31 15:21:16,E00365,1
TK000051,创建,工单创建,2025-05-26 22:46:35,E00132,1
TK000051,关闭,问题已解决,2025-05-28 05:46:35,E00132,1
TK000052,创建,工单创建,2025-05-23 21:17:39,E00533,1
TK000052,关闭,问题已解决,2025-05-25 23:17:39,E00533,1
TK000053,创建,工单创建,2025-06-08 19:53:24,E00367,1
TK000053,关闭,问题已解决,2025-06-09 22:53:24,E00367,1
TK000054,创建,工单创建,2025-05-14 21:54:31,E00317,1
TK000054,关闭,问题已解决,2025-05-15 07:54:31,E00317,1
TK000055,创建,工单创建,2025-04-21 12:23:23,E00475,1
TK000055,关闭,问题已解决,2025-04-22 02:23:23,E00475,1
TK000056,创建,工单创建,2025-05-25 13:17:35,E00390,1
TK000056,关闭,问题已解决,2025-05-27 08:17:35,E00390,1
TK000057,创建,工单创建,2025-04-15 12:49:59,E00607,1
TK000057,关闭,问题已解决,2025-04-18 02:49:59,E00607,1
TK000058,创建,工单创建,2025-04-17 20:12:12,E00196,1
TK000058,关闭,问题已解决,2025-04-18 05:12:12,E00196,1
TK000059,创建,工单创建,2025-04-20 22:42:36,E00042,1
TK000060,创建,工单创建,2025-01-18 13:34:48,E00173,1
TK000060,关闭,问题已解决,2025-01-19 23:34:48,E00173,1
TK000061,创建,工单创建,2025-03-09 22:02:14,E00647,1
TK000061,关闭,问题已解决,2025-03-10 19:02:14,E00647,1
TK000062,创建,工单创建,2025-05-22 08:38:56,E00479,1
TK000062,关闭,问题已解决,2025-05-23 02:38:56,E00479,1
TK000063,创建,工单创建,2025-03-07 10:00:30,E00081,1
TK000064,创建,工单创建,2025-02-27 19:19:17,E00628,1
TK000064,关闭,问题已解决,2025-02-27 22:19:17,E00628,1
TK000065,创建,工单创建,2025-06-15 21:56:01,E00461,1
TK000065,关闭,问题已解决,2025-06-16 11:56:01,E00461,1
TK000066,创建,工单创建,2025-06-07 13:44:09,E00345,1
TK000066,关闭,问题已解决,2025-06-08 17:44:09,E00345,1
TK000067,创建,工单创建,2025-06-12 21:56:29,E00554,1
TK000067,关闭,问题已解决,2025-06-14 02:56:29,E00554,1
TK000068,创建,工单创建,2025-04-28 17:12:06,E00044,1
TK000068,关闭,问题已解决,2025-04-30 16:12:06,E00044,1
TK000069,创建,工单创建,2025-05-27 21:57:56,E00348,1
TK000069,关闭,问题已解决,2025-05-29 17:57:56,E00348,1
TK000070,创建,工单创建,2025-03-05 22:40:50,E00255,1
TK000070,关闭,问题已解决,2025-03-08 02:40:50,E00255,1
TK000071,创建,工单创建,2025-05-17 20:05:57,E00492,1
TK000071,关闭,问题已解决,2025-05-19 23:05:57,E00492,1
TK000072,创建,工单创建,2025-04-25 15:40:09,E00638,1
TK000073,创建,工单创建,2025-06-04 20:17:56,E00079,1
TK000073,关闭,问题已解决,2025-06-06 05:17:56,E00079,1
TK000074,创建,工单创建,2025-06-08 20:06:51,E00211,1
TK000075,创建,工单创建,2025-05-31 13:18:18,E00301,1
TK000075,关闭,问题已解决,2025-05-31 23:18:18,E00301,1
TK000076,创建,工单创建,2025-01-10 22:55:00,E00586,1
TK000076,关闭,问题已解决,2025-01-13 07:55:00,E00586,1
TK000077,创建,工单创建,2025-04-04 16:22:43,E00032,1
TK000078,创建,工单创建,2025-04-14 19:08:03,E00116,1
TK000079,创建,工单创建,2025-05-26 12:26:42,E00383,1
TK000079,关闭,问题已解决,2025-05-26 17:26:42,E00383,1
TK000080,创建,工单创建,2025-05-14 21:07:47,E00519,1
TK000080,关闭,问题已解决,2025-05-17 09:07:47,E00519,1
TK000081,创建,工单创建,2025-06-21 06:26:59,E00446,1
TK000081,关闭,问题已解决,2025-06-21 07:26:59,E00446,1
TK000082,创建,工单创建,2025-04-15 19:15:08,E00167,1
TK000082,关闭,问题已解决,2025-04-18 10:15:08,E00167,1
TK000083,创建,工单创建,2025-06-08 13:06:34,E00368,1
TK000083,关闭,问题已解决,2025-06-09 03:06:34,E00368,1
TK000084,创建,工单创建,2025-06-07 23:20:42,E00443,1
TK000084,关闭,问题已解决,2025-06-10 11:20:42,E00443,1
TK000085,创建,工单创建,2025-06-13 10:45:10,E00494,1
TK000085,关闭,问题已解决,2025-06-14 20:45:10,E00494,1
TK000086,创建,工单创建,2025-05-15 20:54:06,E00463,1
TK000086,关闭,问题已解决,2025-05-17 14:54:06,E00463,1
TK000087,创建,工单创建,2025-06-07 12:30:52,E00266,1
TK000087,关闭,问题已解决,2025-06-09 16:30:52,E00266,1
TK000088,创建,工单创建,2025-05-12 15:31:34,E00141,1
TK000088,关闭,问题已解决,2025-05-15 11:31:34,E00141,1
TK000089,创建,工单创建,2025-06-12 13:00:44,E00096,1
TK000090,创建,工单创建,2025-05-06 13:36:13,E00377,1
TK000090,关闭,问题已解决,2025-05-09 08:36:13,E00377,1
TK000091,创建,工单创建,2025-04-08 20:57:43,E00420,1
TK000091,关闭,问题已解决,2025-04-09 11:57:43,E00420,1
TK000092,创建,工单创建,2025-06-12 12:13:21,E00119,1
TK000092,关闭,问题已解决,2025-06-15 10:13:21,E00119,1
TK000093,创建,工单创建,2025-06-02 22:21:40,E00346,1
TK000093,关闭,问题已解决,2025-06-03 06:21:40,E00346,1
TK000094,创建,工单创建,2025-05-10 17:05:13,E00520,1
TK000094,关闭,问题已解决,2025-05-13 16:05:13,E00520,1
TK000095,创建,工单创建,2025-06-02 22:16:13,E00314,1
TK000095,关闭,问题已解决,2025-06-03 02:16:13,E00314,1
TK000096,创建,工单创建,2025-05-29 12:52:22,E00207,1
TK000096,关闭,问题已解决,2025-05-29 13:52:22,E00207,1
TK000097,创建,工单创建,2025-06-01 13:46:35,E00465,1
TK000097,关闭,问题已解决,2025-06-03 11:46:35,E00465,1
TK000098,创建,工单创建,2025-03-10 15:47:51,E00113,1
TK000098,关闭,问题已解决,2025-03-11 00:47:51,E00113,1
TK000099,创建,工单创建,2025-05-30 15:26:20,E00602,1
TK000099,关闭,问题已解决,2025-06-02 04:26:20,E00602,1
TK000100,创建,工单创建,2025-03-28 00:48:03,E00481,1
TK000100,关闭,问题已解决,2025-03-28 19:48:03,E00481,1
TK000101,创建,工单创建,2025-03-22 12:16:47,E00266,1
TK000101,关闭,问题已解决,2025-03-24 01:16:47,E00266,1
TK000102,创建,工单创建,2025-05-22 22:16:08,E00582,1
TK000102,关闭,问题已解决,2025-05-25 21:16:08,E00582,1
TK000103,创建,工单创建,2025-06-18 22:58:52,E00593,1
TK000103,关闭,问题已解决,2025-06-20 11:58:52,E00593,1
TK000104,创建,工单创建,2025-03-20 21:39:57,E00561,1
TK000105,创建,工单创建,2025-06-13 13:04:46,E00109,1
TK000105,关闭,问题已解决,2025-06-15 21:04:46,E00109,1
TK000106,创建,工单创建,2025-05-08 22:13:07,E00476,1
TK000106,关闭,问题已解决,2025-05-10 05:13:07,E00476,1
TK000107,创建,工单创建,2025-05-28 21:56:18,E00293,1
TK000108,创建,工单创建,2025-05-23 13:46:48,E00037,1
TK000108,关闭,问题已解决,2025-05-24 01:46:48,E00037,1
TK000109,创建,工单创建,2025-06-21 21:51:04,E00143,1
TK000109,关闭,问题已解决,2025-06-24 19:51:04,E00143,1
TK000110,创建,工单创建,2025-04-09 21:24:00,E00590,1
TK000111,创建,工单创建,2025-06-13 02:56:45,E00329,1
TK000111,关闭,问题已解决,2025-06-14 22:56:45,E00329,1
TK000112,创建,工单创建,2025-04-25 20:11:11,E00097,1
TK000112,关闭,问题已解决,2025-04-26 22:11:11,E00097,1
TK000113,创建,工单创建,2025-06-05 23:00:12,E00230,1
TK000113,关闭,问题已解决,2025-06-06 22:00:12,E00230,1
TK000114,创建,工单创建,2025-05-30 01:59:42,E00437,1
TK000114,关闭,问题已解决,2025-05-31 09:59:42,E00437,1
TK000115,创建,工单创建,2025-05-31 18:24:25,E00291,1
TK000115,关闭,问题已解决,2025-06-01 01:24:25,E00291,1
TK000116,创建,工单创建,2025-03-05 14:22:55,E00214,1
TK000116,关闭,问题已解决,2025-03-07 06:22:55,E00214,1
TK000117,创建,工单创建,2025-03-19 20:21:34,E00565,1
TK000117,关闭,问题已解决,2025-03-22 02:21:34,E00565,1
TK000118,创建,工单创建,2025-05-23 16:40:40,E00442,1
TK000118,关闭,问题已解决,2025-05-24 05:40:40,E00442,1
TK000119,创建,工单创建,2025-05-08 13:15:02,E00199,1
TK000119,关闭,问题已解决,2025-05-09 18:15:02,E00199,1
TK000120,创建,工单创建,2025-05-28 02:25:35,E00576,1
TK000120,关闭,问题已解决,2025-05-28 03:25:35,E00576,1
TK000121,创建,工单创建,2025-04-05 12:35:10,E00007,1
TK000121,关闭,问题已解决,2025-04-06 00:35:10,E00007,1
TK000122,创建,工单创建,2025-06-25 22:32:28,E00115,1
TK000122,关闭,问题已解决,2025-06-28 09:32:28,E00115,1
TK000123,创建,工单创建,2025-05-25 12:13:06,E00571,1
TK000123,关闭,问题已解决,2025-05-26 05:13:06,E00571,1
TK000124,创建,工单创建,2025-05-10 13:41:00,E00118,1
TK000124,关闭,问题已解决,2025-05-10 21:41:00,E00118,1
TK000125,创建,工单创建,2025-06-04 16:47:49,E00271,1
TK000125,关闭,问题已解决,2025-06-06 06:47:49,E00271,1
TK000126,创建,工单创建,2025-06-15 21:29:46,E00078,1
TK000126,关闭,问题已解决,2025-06-17 20:29:46,E00078,1
TK000127,创建,工单创建,2025-06-22 10:14:27,E00279,1
TK000128,创建,工单创建,2025-05-31 22:59:42,E00130,1
TK000128,关闭,问题已解决,2025-06-01 02:59:42,E00130,1
TK000129,创建,工单创建,2025-06-05 02:00:43,E00180,1
TK000129,关闭,问题已解决,2025-06-05 06:00:43,E00180,1
TK000130,创建,工单创建,2025-04-14 09:49:43,E00399,1
TK000130,关闭,问题已解决,2025-04-14 20:49:43,E00399,1
TK000131,创建,工单创建,2025-05-21 21:44:18,E00293,1
TK000131,关闭,问题已解决,2025-05-22 08:44:18,E00293,1
TK000132,创建,工单创建,2025-06-15 22:03:38,E00357,1
TK000132,关闭,问题已解决,2025-06-18 10:03:38,E00357,1
TK000133,创建,工单创建,2025-05-20 22:04:03,E00002,1
TK000133,关闭,问题已解决,2025-05-21 04:04:03,E00002,1
TK000134,创建,工单创建,2025-06-05 19:14:28,E00565,1
TK000135,创建,工单创建,2025-06-06 23:48:43,E00286,1
TK000135,关闭,问题已解决,2025-06-09 03:48:43,E00286,1
TK000136,创建,工单创建,2025-06-09 22:31:10,E00302,1
TK000137,创建,工单创建,2025-04-18 22:09:16,E00197,1
TK000137,关闭,问题已解决,2025-04-19 04:09:16,E00197,1
TK000138,创建,工单创建,2025-03-04 21:28:14,E00293,1
TK000139,创建,工单创建,2025-04-17 13:14:43,E00248,1
TK000139,关闭,问题已解决,2025-04-20 13:14:43,E00248,1
TK000140,创建,工单创建,2025-03-11 12:55:34,E00638,1
TK000141,创建,工单创建,2025-05-21 16:53:20,E00337,1
TK000141,关闭,问题已解决,2025-05-22 16:53:20,E00337,1
TK000142,创建,工单创建,2025-05-08 10:40:37,E00191,1
TK000142,关闭,问题已解决,2025-05-08 16:40:37,E00191,1
TK000143,创建,工单创建,2025-05-11 02:05:13,E00446,1
TK000143,关闭,问题已解决,2025-05-14 02:05:13,E00446,1
TK000144,创建,工单创建,2025-06-06 09:26:05,E00442,1
TK000144,关闭,问题已解决,2025-06-07 05:26:05,E00442,1
TK000145,创建,工单创建,2025-02-19 13:34:37,E00147,1
TK000145,关闭,问题已解决,2025-02-20 13:34:37,E00147,1
TK000146,创建,工单创建,2025-03-19 22:37:27,E00361,1
TK000146,关闭,问题已解决,2025-03-20 09:37:27,E00361,1
TK000147,创建,工单创建,2025-06-15 09:35:27,E00601,1
TK000147,关闭,问题已解决,2025-06-18 01:35:27,E00601,1
TK000148,创建,工单创建,2025-03-16 20:15:55,E00624,1
TK000148,关闭,问题已解决,2025-03-19 20:15:55,E00624,1
TK000149,创建,工单创建,2025-04-27 12:05:08,E00250,1
TK000149,关闭,问题已解决,2025-04-30 12:05:08,E00250,1
TK000150,创建,工单创建,2025-03-18 22:40:41,E00194,1
TK000150,关闭,问题已解决,2025-03-20 23:40:41,E00194,1
TK000151,创建,工单创建,2025-05-21 13:27:04,E00228,1
TK000151,关闭,问题已解决,2025-05-22 09:27:04,E00228,1
TK000152,创建,工单创建,2025-06-03 13:28:45,E00447,1
TK000152,关闭,问题已解决,2025-06-05 01:28:45,E00447,1
TK000153,创建,工单创建,2025-04-28 02:10:49,E00498,1
TK000153,关闭,问题已解决,2025-04-28 22:10:49,E00498,1
TK000154,创建,工单创建,2025-05-05 20:33:15,E00110,1
TK000154,关闭,问题已解决,2025-05-06 22:33:15,E00110,1
TK000155,创建,工单创建,2025-05-19 02:12:02,E00106,1
TK000155,关闭,问题已解决,2025-05-19 21:12:02,E00106,1
TK000156,创建,工单创建,2025-05-14 10:00:20,E00206,1
TK000157,创建,工单创建,2025-03-30 21:25:05,E00495,1
TK000157,关闭,问题已解决,2025-04-01 19:25:05,E00495,1
TK000158,创建,工单创建,2025-04-19 13:14:55,E00142,1
TK000158,关闭,问题已解决,2025-04-21 07:14:55,E00142,1
TK000159,创建,工单创建,2025-05-11 14:45:31,E00434,1
TK000159,关闭,问题已解决,2025-05-13 20:45:31,E00434,1
TK000160,创建,工单创建,2025-06-19 21:51:31,E00472,1
TK000160,关闭,问题已解决,2025-06-20 22:51:31,E00472,1
TK000161,创建,工单创建,2025-05-04 14:27:17,E00101,1
TK000161,关闭,问题已解决,2025-05-07 00:27:17,E00101,1
TK000162,创建,工单创建,2025-05-22 07:24:47,E00387,1
TK000162,关闭,问题已解决,2025-05-23 01:24:47,E00387,1
TK000163,创建,工单创建,2025-06-07 21:30:09,E00109,1
TK000163,关闭,问题已解决,2025-06-09 08:30:09,E00109,1
TK000164,创建,工单创建,2025-03-31 14:15:51,E00473,1
TK000164,关闭,问题已解决,2025-04-01 01:15:51,E00473,1
TK000165,创建,工单创建,2025-06-18 22:46:36,E00119,1
TK000165,关闭,问题已解决,2025-06-19 08:46:36,E00119,1
TK000166,创建,工单创建,2025-05-16 00:31:54,E00301,1
TK000166,关闭,问题已解决,2025-05-18 21:31:54,E00301,1
TK000167,创建,工单创建,2025-06-19 21:27:30,E00569,1
TK000168,创建,工单创建,2025-02-27 13:26:27,E00552,1
TK000168,关闭,问题已解决,2025-03-01 20:26:27,E00552,1
TK000169,创建,工单创建,2025-06-12 13:38:33,E00153,1
TK000169,关闭,问题已解决,2025-06-15 10:38:33,E00153,1
TK000170,创建,工单创建,2025-06-08 09:18:32,E00205,1
TK000170,关闭,问题已解决,2025-06-09 17:18:32,E00205,1
TK000171,创建,工单创建,2025-06-15 20:37:35,E00322,1
TK000172,创建,工单创建,2025-04-19 21:37:47,E00561,1
TK000172,关闭,问题已解决,2025-04-20 11:37:47,E00561,1
TK000173,创建,工单创建,2025-05-07 19:17:46,E00031,1
TK000173,关闭,问题已解决,2025-05-10 12:17:46,E00031,1
TK000174,创建,工单创建,2025-06-04 07:12:09,E00377,1
TK000175,创建,工单创建,2025-05-17 13:07:13,E00377,1
TK000175,关闭,问题已解决,2025-05-18 00:07:13,E00377,1
TK000176,创建,工单创建,2025-03-13 13:43:17,E00562,1
TK000176,关闭,问题已解决,2025-03-16 06:43:17,E00562,1
TK000177,创建,工单创建,2025-04-30 16:26:31,E00106,1
TK000177,关闭,问题已解决,2025-05-02 14:26:31,E00106,1
TK000178,创建,工单创建,2025-04-29 13:17:10,E00276,1
TK000178,关闭,问题已解决,2025-04-30 02:17:10,E00276,1
TK000179,创建,工单创建,2025-05-17 02:15:52,E00257,1
TK000179,关闭,问题已解决,2025-05-19 13:15:52,E00257,1
TK000180,创建,工单创建,2025-05-16 20:54:06,E00396,1
TK000180,关闭,问题已解决,2025-05-17 14:54:06,E00396,1
TK000181,创建,工单创建,2025-06-01 21:28:59,E00205,1
TK000181,关闭,问题已解决,2025-06-04 13:28:59,E00205,1
TK000182,创建,工单创建,2025-05-15 09:07:23,E00002,1
TK000183,创建,工单创建,2025-05-03 21:30:21,E00532,1
TK000184,创建,工单创建,2025-06-18 20:23:24,E00317,1
TK000184,关闭,问题已解决,2025-06-21 04:23:24,E00317,1
TK000185,创建,工单创建,2025-05-30 13:46:19,E00230,1
TK000185,关闭,问题已解决,2025-06-02 04:46:19,E00230,1
TK000186,创建,工单创建,2025-06-04 11:08:18,E00093,1
TK000187,创建,工单创建,2025-06-08 21:59:20,E00025,1
TK000187,关闭,问题已解决,2025-06-10 21:59:20,E00025,1
TK000188,创建,工单创建,2025-04-03 11:43:28,E00115,1
TK000188,关闭,问题已解决,2025-04-04 04:43:28,E00115,1
TK000189,创建,工单创建,2025-05-23 18:00:52,E00437,1
TK000189,关闭,问题已解决,2025-05-24 19:00:52,E00437,1
TK000190,创建,工单创建,2025-05-26 13:01:19,E00206,1
TK000190,关闭,问题已解决,2025-05-27 20:01:19,E00206,1
TK000191,创建,工单创建,2025-04-14 21:52:38,E00120,1
TK000191,关闭,问题已解决,2025-04-15 18:52:38,E00120,1
TK000192,创建,工单创建,2025-06-19 20:33:58,E00086,1
TK000192,关闭,问题已解决,2025-06-21 13:33:58,E00086,1
TK000193,创建,工单创建,2025-05-26 15:06:39,E00418,1
TK000193,关闭,问题已解决,2025-05-27 20:06:39,E00418,1
TK000194,创建,工单创建,2025-03-30 16:32:40,E00412,1
TK000194,关闭,问题已解决,2025-04-01 13:32:40,E00412,1
TK000195,创建,工单创建,2025-05-20 11:40:57,E00623,1
TK000195,关闭,问题已解决,2025-05-22 21:40:57,E00623,1
TK000196,创建,工单创建,2025-05-20 12:29:41,E00622,1
TK000196,关闭,问题已解决,2025-05-23 11:29:41,E00622,1
TK000197,创建,工单创建,2025-05-19 12:54:54,E00291,1
TK000197,关闭,问题已解决,2025-05-20 20:54:54,E00291,1
TK000198,创建,工单创建,2025-05-02 21:38:53,E00427,1
TK000199,创建,工单创建,2025-05-30 14:27:52,E00551,1
TK000199,关闭,问题已解决,2025-06-01 00:27:52,E00551,1
TK000200,创建,工单创建,2025-04-21 10:45:23,E00632,1
TK000200,关闭,问题已解决,2025-04-23 03:45:23,E00632,1
TK000201,创建,工单创建,2025-04-19 13:51:22,E00304,1
TK000201,关闭,问题已解决,2025-04-19 22:51:22,E00304,1
TK000202,创建,工单创建,2025-04-25 16:24:48,E00178,1
TK000202,关闭,问题已解决,2025-04-25 22:24:48,E00178,1
TK000203,创建,工单创建,2025-05-18 20:54:18,E00353,1
TK000203,关闭,问题已解决,2025-05-19 20:54:18,E00353,1
TK000204,创建,工单创建,2025-05-23 21:44:08,E00180,1
TK000204,关闭,问题已解决,2025-05-25 05:44:08,E00180,1
TK000205,创建,工单创建,2025-03-17 22:37:57,E00386,1
TK000205,关闭,问题已解决,2025-03-20 15:37:57,E00386,1
TK000206,创建,工单创建,2025-06-12 12:55:23,E00142,1
TK000206,关闭,问题已解决,2025-06-15 11:55:23,E00142,1
TK000207,创建,工单创建,2025-05-23 20:21:22,E00214,1
TK000207,关闭,问题已解决,2025-05-25 06:21:22,E00214,1
TK000208,创建,工单创建,2025-05-10 13:29:11,E00239,1
TK000209,创建,工单创建,2025-05-04 21:34:58,E00265,1
TK000209,关闭,问题已解决,2025-05-07 04:34:58,E00265,1
TK000210,创建,工单创建,2025-05-05 22:16:26,E00465,1
TK000210,关闭,问题已解决,2025-05-06 02:16:26,E00465,1
TK000211,创建,工单创建,2025-06-05 20:39:56,E00047,1
TK000211,关闭,问题已解决,2025-06-07 04:39:56,E00047,1
TK000212,创建,工单创建,2025-04-30 17:17:44,E00075,1
TK000212,关闭,问题已解决,2025-05-02 02:17:44,E00075,1
TK000213,创建,工单创建,2025-05-12 13:15:46,E00114,1
TK000213,关闭,问题已解决,2025-05-13 13:15:46,E00114,1
TK000214,创建,工单创建,2025-04-01 16:02:09,E00473,1
TK000214,关闭,问题已解决,2025-04-03 14:02:09,E00473,1
TK000215,创建,工单创建,2025-05-05 14:43:28,E00491,1
TK000216,创建,工单创建,2025-03-01 13:03:23,E00114,1
TK000216,关闭,问题已解决,2025-03-04 06:03:23,E00114,1
TK000217,创建,工单创建,2025-06-27 16:22:52,E00465,1
TK000217,关闭,问题已解决,2025-06-29 22:22:52,E00465,1
TK000218,创建,工单创建,2025-05-09 22:32:37,E00557,1
TK000218,关闭,问题已解决,2025-05-12 09:32:37,E00557,1
TK000219,创建,工单创建,2025-04-22 19:57:48,E00639,1
TK000220,创建,工单创建,2025-05-22 20:54:10,E00095,1
TK000220,关闭,问题已解决,2025-05-24 03:54:10,E00095,1
TK000221,创建,工单创建,2025-03-30 13:46:39,E00460,1
TK000221,关闭,问题已解决,2025-04-02 08:46:39,E00460,1
TK000222,创建,工单创建,2025-06-22 00:13:40,E00362,1
TK000222,关闭,问题已解决,2025-06-24 10:13:40,E00362,1
TK000223,创建,工单创建,2025-06-14 10:15:37,E00486,1
TK000223,关闭,问题已解决,2025-06-16 08:15:37,E00486,1
TK000224,创建,工单创建,2025-05-26 20:59:02,E00411,1
TK000224,关闭,问题已解决,2025-05-27 08:59:02,E00411,1
TK000225,创建,工单创建,2025-05-09 12:05:29,E00231,1
TK000225,关闭,问题已解决,2025-05-12 08:05:29,E00231,1
TK000226,创建,工单创建,2025-06-04 13:50:18,E00587,1
TK000226,关闭,问题已解决,2025-06-04 23:50:18,E00587,1
TK000227,创建,工单创建,2025-06-23 19:13:13,E00198,1
TK000227,关闭,问题已解决,2025-06-24 08:13:13,E00198,1
TK000228,创建,工单创建,2025-05-06 10:38:47,E00258,1
TK000229,创建,工单创建,2025-03-27 08:14:31,E00238,1
