biz_date,loan_id,amount,is_test_data
2025-04-20,LN20250120000001,8.42,1
2025-05-20,LN20250120000001,7.61,1
2025-06-19,LN20250120000001,6.80,1
2025-03-05,LN20250203000001,605.79,1
2025-04-04,LN20250203000001,558.68,1
2025-05-04,LN20250203000001,510.99,1
2025-06-03,LN20250203000001,462.70,1
2025-04-03,LN20250304000003,419.23,1
2025-05-03,LN20250304000003,352.49,1
2025-06-02,LN20250304000003,284.53,1
2025-03-12,LN20250210000001,405.60,1
2025-04-11,LN20250210000001,272.63,1
2025-05-11,LN20250210000001,137.44,1
2025-06-25,LN20250526000002,141.67,1
2025-06-30,LN20250531000001,413.68,1
2025-03-31,LN20250301000001,28.33,1
2025-04-30,LN20250301000001,23.78,1
2025-05-30,LN20250301000001,19.15,1
2025-06-29,LN20250301000001,14.47,1
2025-03-01,LN20250130000001,166.67,1
2025-03-31,LN20250130000001,162.68,1
2025-04-30,LN20250130000001,158.66,1
2025-05-30,LN20250130000001,154.60,1
2025-06-29,LN20250130000001,150.51,1
2025-05-24,LN20250424000001,218.07,1
2025-06-23,LN20250424000001,206.88,1
2025-05-13,LN20250413000001,15.00,1
2025-06-12,LN20250413000001,10.07,1
2025-05-25,LN20250425000001,140.23,1
2025-06-24,LN20250425000001,117.96,1
2025-06-03,LN20250504000001,156.37,1
2025-05-17,LN20250417000002,149.99,1
2025-06-16,LN20250417000002,142.88,1
2025-05-30,LN20250430000001,126.67,1
2025-06-29,LN20250430000001,124.03,1
2025-03-11,LN20250209000001,287.22,1
2025-04-10,LN20250209000001,265.10,1
2025-05-10,LN20250209000001,242.65,1
2025-06-09,LN20250209000001,219.90,1
2025-03-18,LN20250216000001,91.67,1
2025-04-17,LN20250216000001,77.07,1
2025-05-17,LN20250216000001,62.21,1
2025-06-16,LN20250216000001,47.08,1
2025-03-29,LN20250227000001,76.39,1
2025-04-28,LN20250227000001,70.64,1
2025-05-28,LN20250227000001,64.78,1
2025-06-27,LN20250227000001,58.82,1
2025-03-23,LN20250221000001,876.99,1
2025-04-22,LN20250221000001,857.25,1
2025-05-22,LN20250221000001,837.28,1
2025-06-21,LN20250221000001,817.07,1
2025-03-29,LN20250227000002,452.79,1
2025-04-28,LN20250227000002,417.91,1
2025-05-28,LN20250227000002,382.53,1
2025-06-27,LN20250227000002,346.66,1
2025-06-10,LN20250511000001,31.67,1
2025-06-12,LN20250513000001,140.00,1
2025-06-06,LN20250507000001,79.17,1
2025-04-17,LN20250318000001,26.67,1
2025-05-17,LN20250318000001,26.08,1
2025-06-16,LN20250318000001,25.49,1
2025-04-26,LN20250327000001,21.67,1
2025-05-26,LN20250327000001,20.57,1
2025-06-25,LN20250327000001,19.46,1
2025-06-15,LN20250516000001,16.21,1
2025-04-03,LN20250304000004,74.26,1
2025-05-03,LN20250304000004,68.72,1
2025-06-02,LN20250304000004,63.07,1
2025-03-11,LN20250209000002,124.15,1
2025-04-10,LN20250209000002,121.69,1
2025-05-10,LN20250209000002,119.18,1
2025-06-09,LN20250209000002,116.62,1
2025-05-07,LN20250407000001,389.44,1
2025-06-06,LN20250407000001,381.33,1
2025-05-29,LN20250429000001,87.50,1
2025-06-28,LN20250429000001,58.84,1
2025-04-08,LN20250309000001,409.80,1
2025-05-08,LN20250309000001,378.96,1
2025-06-07,LN20250309000001,347.55,1
2025-04-26,LN20250327000002,100.00,1
2025-05-26,LN20250327000002,96.29,1
2025-06-25,LN20250327000002,92.55,1
2025-04-15,LN20250316000001,8.52,1
2025-05-15,LN20250316000001,7.17,1
2025-06-14,LN20250316000001,5.79,1
2025-03-25,LN20250223000001,300.00,1
2025-04-24,LN20250223000001,293.04,1
2025-05-24,LN20250223000001,286.00,1
2025-06-23,LN20250223000001,278.90,1
2025-05-02,LN20250402000001,47.87,1
2025-06-01,LN20250402000001,45.44,1
2025-03-24,LN20250222000001,500.00,1
2025-04-23,LN20250222000001,488.39,1
2025-05-23,LN20250222000001,476.67,1
2025-06-22,LN20250222000001,464.83,1
2025-02-24,LN20250125000001,11.67,1
2025-03-26,LN20250125000001,11.40,1
2025-04-25,LN20250125000001,11.14,1
2025-05-25,LN20250125000001,10.87,1
2025-06-24,LN20250125000001,10.60,1
2025-02-14,LN20250115000001,390.30,1
2025-03-16,LN20250115000001,262.45,1
2025-04-15,LN20250115000001,132.36,1
2025-02-27,LN20250128000002,486.33,1
2025-03-29,LN20250128000002,463.11,1
2025-04-28,LN20250128000002,439.48,1
2025-05-28,LN20250128000002,415.44,1
2025-06-27,LN20250128000002,390.98,1
2025-06-15,LN20250516000002,452.18,1
2025-04-10,LN20250311000001,250.00,1
2025-05-10,LN20250311000001,231.01,1
2025-06-09,LN20250311000001,211.70,1
2025-05-13,LN20250413000002,20.00,1
2025-06-12,LN20250413000002,19.07,1
2025-03-16,LN20250214000002,600.54,1
2025-04-15,LN20250214000002,553.84,1
2025-05-15,LN20250214000002,506.56,1
2025-06-14,LN20250214000002,458.69,1
2025-03-19,LN20250217000001,450.80,1
2025-04-18,LN20250217000001,378.88,1
2025-05-18,LN20250217000001,305.71,1
2025-06-17,LN20250217000001,231.26,1
2025-03-19,LN20250217000002,166.67,1
2025-04-18,LN20250217000002,140.02,1
2025-05-18,LN20250217000002,112.94,1
2025-06-17,LN20250217000002,85.40,1
2025-04-09,LN20250310000001,471.08,1
2025-05-09,LN20250310000001,448.59,1
2025-06-08,LN20250310000001,425.70,1
2025-04-22,LN20250323000001,582.38,1
2025-05-22,LN20250323000001,569.67,1
2025-06-21,LN20250323000001,556.79,1
2025-04-07,LN20250308000001,237.50,1
2025-05-07,LN20250308000001,159.57,1
2025-06-06,LN20250308000001,80.41,1
2025-03-26,LN20250224000001,39.85,1
2025-04-25,LN20250224000001,26.74,1
2025-05-25,LN20250224000001,13.46,1
2025-03-11,LN20250209000003,23.33,1
2025-04-10,LN20250209000003,22.49,1
2025-05-10,LN20250209000003,21.63,1
2025-06-09,LN20250209000003,20.76,1
2025-06-14,LN20250515000001,108.33,1
2025-06-04,LN20250505000001,761.87,1
2025-06-13,LN20250514000001,141.67,1
2025-05-11,LN20250411000002,384.86,1
2025-06-10,LN20250411000002,370.45,1
2025-04-12,LN20250313000001,212.50,1
2025-05-12,LN20250313000001,178.32,1
2025-06-11,LN20250313000001,143.65,1
2025-04-27,LN20250328000001,145.23,1
2025-05-27,LN20250328000001,142.35,1
2025-06-26,LN20250328000001,139.41,1
2025-04-10,LN20250311000002,79.17,1
2025-05-10,LN20250311000002,76.43,1
2025-06-09,LN20250311000002,73.65,1
2025-03-25,LN20250223000002,100.00,1
2025-04-24,LN20250223000002,83.75,1
2025-05-24,LN20250223000002,67.33,1
2025-06-23,LN20250223000002,50.75,1
2025-04-15,LN20250316000002,533.11,1
2025-05-15,LN20250316000002,507.09,1
2025-06-14,LN20250316000002,480.68,1
2025-04-11,LN20250312000001,266.67,1
2025-05-11,LN20250312000001,260.85,1
2025-06-10,LN20250312000001,254.95,1
2025-04-21,LN20250322000001,316.67,1
2025-05-21,LN20250322000001,292.50,1
2025-06-20,LN20250322000001,267.95,1
2025-04-25,LN20250326000001,160.00,1
2025-05-25,LN20250326000001,107.72,1
2025-06-24,LN20250326000001,54.39,1
2025-06-10,LN20250511000002,444.46,1
2025-06-02,LN20250503000001,38.33,1
2025-04-16,LN20250317000001,250.00,1
2025-05-16,LN20250317000001,231.01,1
2025-06-15,LN20250317000001,211.70,1
2025-03-03,LN20250201000001,14.17,1
2025-04-02,LN20250201000001,9.51,1
2025-05-02,LN20250201000001,4.79,1
2025-03-12,LN20250210000002,83.33,1
2025-04-11,LN20250210000002,77.00,1
2025-05-11,LN20250210000002,70.57,1
2025-06-10,LN20250210000002,64.02,1
2025-03-20,LN20250218000002,31.67,1
2025-04-19,LN20250218000002,31.01,1
2025-05-19,LN20250218000002,30.34,1
2025-06-18,LN20250218000002,29.66,1
2025-04-25,LN20250326000002,22.75,1
2025-05-25,LN20250326000002,21.89,1
2025-06-24,LN20250326000002,21.03,1
2025-05-06,LN20250406000001,150.00,1
2025-06-05,LN20250406000001,142.68,1
2025-05-12,LN20250412000001,35.00,1
2025-06-11,LN20250412000001,33.81,1
2025-02-17,LN20250118000001,24.72,1
2025-03-19,LN20250118000001,23.51,1
2025-04-18,LN20250118000001,22.29,1
2025-05-18,LN20250118000001,21.05,1
2025-06-17,LN20250118000001,19.78,1
2025-03-26,LN20250224000002,200.00,1
2025-04-25,LN20250224000002,167.76,1
2025-05-25,LN20250224000002,135.09,1
2025-06-24,LN20250224000002,101.99,1
2025-03-04,LN20250202000001,551.87,1
2025-04-03,LN20250202000001,509.16,1
2025-05-03,LN20250202000001,465.88,1
2025-06-02,LN20250202000001,422.02,1
2025-02-28,LN20250129000001,73.33,1
2025-03-30,LN20250129000001,61.39,1
2025-04-29,LN20250129000001,49.33,1
2025-05-29,LN20250129000001,37.17,1
2025-06-28,LN20250129000001,24.89,1
2025-02-23,LN20250124000002,374.49,1
2025-03-25,LN20250124000002,251.72,1
2025-04-24,LN20250124000002,126.90,1
2025-06-28,LN20250529000001,137.50,1
2025-03-18,LN20250216000002,12.10,1
2025-04-17,LN20250216000002,8.12,1
2025-05-17,LN20250216000002,4.09,1
2025-03-25,LN20250223000003,593.51,1
2025-04-24,LN20250223000003,547.36,1
2025-05-24,LN20250223000003,500.63,1
2025-06-23,LN20250223000003,453.32,1
2025-06-29,LN20250530000001,58.33,1
2025-02-20,LN20250121000001,416.67,1
2025-03-22,LN20250121000001,348.65,1
2025-04-21,LN20250121000001,280.08,1
2025-05-21,LN20250121000001,210.93,1
2025-06-20,LN20250121000001,141.20,1
2025-04-03,LN20250304000005,237.89,1
2025-05-03,LN20250304000005,226.61,1
2025-06-02,LN20250304000005,215.13,1
2025-03-17,LN20250215000002,113.51,1
2025-04-16,LN20250215000002,108.05,1
2025-05-16,LN20250215000002,102.50,1
2025-06-15,LN20250215000002,96.86,1
2025-03-27,LN20250225000001,192.62,1
2025-04-26,LN20250225000001,162.09,1
2025-05-26,LN20250225000001,130.94,1
2025-06-25,LN20250225000001,99.17,1
2025-05-09,LN20250409000001,15.00,1
2025-06-08,LN20250409000001,13.85,1
2025-06-11,LN20250512000001,163.44,1
2025-06-25,LN20250526000003,112.83,1
2025-03-30,LN20250228000001,391.52,1
2025-04-29,LN20250228000001,360.50,1
2025-05-29,LN20250228000001,329.20,1
2025-06-28,LN20250228000001,297.62,1
2025-03-23,LN20250221000002,300.00,1
2025-04-22,LN20250221000002,293.65,1
2025-05-22,LN20250221000002,287.21,1
2025-06-21,LN20250221000002,280.68,1
2025-03-05,LN20250203000002,273.32,1
2025-04-04,LN20250203000002,267.36,1
2025-05-04,LN20250203000002,261.31,1
2025-06-03,LN20250203000002,255.19,1
2025-03-15,LN20250213000002,458.33,1
2025-04-14,LN20250213000002,434.80,1
2025-05-14,LN20250213000002,411.05,1
2025-06-13,LN20250213000002,387.08,1
2025-06-26,LN20250527000001,41.67,1
2025-03-17,LN20250215000003,66.67,1
2025-04-16,LN20250215000003,63.37,1
2025-05-16,LN20250215000003,60.02,1
2025-06-15,LN20250215000003,56.63,1
2025-04-20,LN20250321000001,83.70,1
2025-05-20,LN20250321000001,82.07,1
2025-06-19,LN20250321000001,80.40,1
2025-05-31,LN20250501000001,183.33,1
2025-06-30,LN20250501000001,169.54,1
2025-05-25,LN20250425000002,25.63,1
2025-06-24,LN20250425000002,23.71,1
2025-04-27,LN20250328000002,183.33,1
2025-05-27,LN20250328000002,174.64,1
2025-06-26,LN20250328000002,165.80,1
2025-04-05,LN20250306000001,625.02,1
2025-05-05,LN20250306000001,524.48,1
2025-06-04,LN20250306000001,422.51,1
2025-04-05,LN20250306000002,153.33,1
2025-05-05,LN20250306000002,103.19,1
2025-06-04,LN20250306000002,52.08,1
2025-03-14,LN20250212000002,174.35,1
2025-04-13,LN20250212000002,117.33,1
2025-05-13,LN20250212000002,59.22,1
2025-05-04,LN20250404000001,91.67,1
2025-06-03,LN20250404000001,87.32,1
2025-04-16,LN20250317000002,83.33,1
2025-05-16,LN20250317000002,70.01,1
2025-06-15,LN20250317000002,56.47,1
2025-04-01,LN20250302000001,26.67,1
2025-05-01,LN20250302000001,26.08,1
2025-05-31,LN20250302000001,25.49,1
2025-06-30,LN20250302000001,24.90,1
2025-05-22,LN20250422000001,19.17,1
2025-06-21,LN20250422000001,16.12,1
2025-05-09,LN20250409000002,86.67,1
2025-06-08,LN20250409000002,72.61,1
2025-05-05,LN20250405000001,100.00,1
2025-06-04,LN20250405000001,83.85,1
2025-04-19,LN20250320000001,400.00,1
2025-05-19,LN20250320000001,391.27,1
2025-06-18,LN20250320000001,382.42,1
2025-06-22,LN20250523000001,376.15,1
2025-06-27,LN20250528000001,13.33,1
2025-05-27,LN20250427000001,279.06,1
2025-06-26,LN20250427000001,257.06,1
2025-06-15,LN20250516000003,137.50,1
2025-04-23,LN20250324000001,356.93,1
2025-05-23,LN20250324000001,339.38,1
2025-06-22,LN20250324000001,321.58,1
2025-05-22,LN20250422000002,108.33,1
2025-06-21,LN20250422000002,99.83,1
2025-05-28,LN20250428000001,45.31,1
2025-06-27,LN20250428000001,43.07,1
2025-06-05,LN20250506000001,95.83,1
2025-06-12,LN20250513000002,13.33,1
2025-06-23,LN20250524000001,385.38,1
2025-03-06,LN20250204000002,316.67,1
2025-04-05,LN20250204000002,265.94,1
2025-05-05,LN20250204000002,214.41,1
2025-06-04,LN20250204000002,162.06,1
2025-03-20,LN20250218000003,166.67,1
2025-04-19,LN20250218000003,163.25,1
2025-05-19,LN20250218000003,159.78,1
2025-06-18,LN20250218000003,156.25,1
2025-02-17,LN20250118000002,262.50,1
2025-03-19,LN20250118000002,249.97,1
2025-04-18,LN20250118000002,237.21,1
2025-05-18,LN20250118000002,224.24,1
2025-06-17,LN20250118000002,211.04,1
2025-04-16,LN20250317000003,159.02,1
2025-05-16,LN20250317000003,147.11,1
2025-06-15,LN20250317000003,134.97,1
2025-03-16,LN20250214000003,545.75,1
2025-04-15,LN20250214000003,365.49,1
2025-05-15,LN20250214000003,183.58,1
2025-03-15,LN20250213000003,120.00,1
2025-04-14,LN20250213000003,115.81,1
2025-05-14,LN20250213000003,111.56,1
2025-06-13,LN20250213000003,107.24,1
2025-03-20,LN20250218000004,350.00,1
2025-04-19,LN20250218000004,338.14,1
2025-05-19,LN20250218000004,326.07,1
2025-06-18,LN20250218000004,313.79,1
2025-06-13,LN20250514000002,200.00,1
2025-05-11,LN20250411000003,492.65,1
2025-06-10,LN20250411000003,469.13,1
2025-04-09,LN20250310000002,41.67,1
2025-05-09,LN20250310000002,27.89,1
2025-06-08,LN20250310000002,14.00,1
2025-03-30,LN20250228000002,164.19,1
2025-04-29,LN20250228000002,110.49,1
2025-05-29,LN20250228000002,55.77,1
2025-03-18,LN20250216000003,126.67,1
2025-04-17,LN20250216000003,120.53,1
2025-05-17,LN20250216000003,114.30,1
2025-06-16,LN20250216000003,107.96,1
2025-04-27,LN20250328000003,21.67,1
2025-05-27,LN20250328000003,21.17,1
2025-06-26,LN20250328000003,20.67,1
2025-05-05,LN20250405000002,625.00,1
2025-06-04,LN20250405000002,419.25,1
2025-05-01,LN20250401000001,135.22,1
2025-05-31,LN20250401000001,113.69,1
2025-06-30,LN20250401000001,91.77,1
2025-04-08,LN20250309000002,63.08,1
2025-05-08,LN20250309000002,61.60,1
2025-06-07,LN20250309000002,60.09,1
2025-06-25,LN20250526000004,262.50,1
2025-06-28,LN20250529000002,100.00,1
2025-04-05,LN20250306000003,23.33,1
2025-05-05,LN20250306000003,22.16,1
2025-06-04,LN20250306000003,20.97,1
2025-05-18,LN20250418000001,445.63,1
2025-06-17,LN20250418000001,436.20,1
2025-04-25,LN20250326000003,333.33,1
2025-05-25,LN20250326000003,326.50,1
2025-06-24,LN20250326000003,319.55,1
2025-04-16,LN20250317000004,14.17,1
2025-05-16,LN20250317000004,11.89,1
2025-06-15,LN20250317000004,9.58,1
2025-04-28,LN20250329000001,18.33,1
2025-05-28,LN20250329000001,16.95,1
2025-06-27,LN20250329000001,15.55,1
2025-04-03,LN20250304000006,33.33,1
2025-05-03,LN20250304000006,30.80,1
2025-06-02,LN20250304000006,28.23,1
2025-04-08,LN20250309000003,698.91,1
2025-05-08,LN20250309000003,673.76,1
2025-06-07,LN20250309000003,648.29,1
2025-04-04,LN20250305000001,333.33,1
2025-05-04,LN20250305000001,326.50,1
2025-06-03,LN20250305000001,319.55,1
2025-05-03,LN20250403000001,23.99,1
2025-06-02,LN20250403000001,16.11,1
2025-04-23,LN20250324000002,141.67,1
2025-05-23,LN20250324000002,95.11,1
2025-06-22,LN20250324000002,47.89,1
2025-04-22,LN20250323000002,108.33,1
2025-05-22,LN20250323000002,99.83,1
2025-06-21,LN20250323000002,91.24,1
2025-05-18,LN20250418000002,12.50,1
2025-06-17,LN20250418000002,8.38,1
2025-05-11,LN20250411000004,270.56,1
2025-06-10,LN20250411000004,256.67,1
2025-04-27,LN20250328000004,64.99,1
2025-05-27,LN20250328000004,54.45,1
2025-06-26,LN20250328000004,43.79,1
2025-04-14,LN20250315000001,168.46,1
2025-05-14,LN20250315000001,113.19,1
2025-06-13,LN20250315000001,57.04,1
2025-03-25,LN20250223000004,583.33,1
2025-04-24,LN20250223000004,488.91,1
2025-05-24,LN20250223000004,393.38,1
2025-06-23,LN20250223000004,296.74,1
2025-04-16,LN20250317000005,426.28,1
2025-05-16,LN20250317000005,411.83,1
2025-06-15,LN20250317000005,397.14,1
2025-03-09,LN20250207000002,96.12,1
2025-04-08,LN20250207000002,92.96,1
2025-05-08,LN20250207000002,89.74,1
2025-06-07,LN20250207000002,86.45,1
2025-03-27,LN20250225000002,350.56,1
2025-04-26,LN20250225000002,235.54,1
2025-05-26,LN20250225000002,118.69,1
2025-04-26,LN20250327000003,23.33,1
2025-05-26,LN20250327000003,21.51,1
2025-06-25,LN20250327000003,19.67,1
2025-04-24,LN20250325000001,396.55,1
2025-05-24,LN20250325000001,266.33,1
2025-06-23,LN20250325000001,134.16,1
2025-03-26,LN20250224000003,187.50,1
2025-04-25,LN20250224000003,157.21,1
2025-05-25,LN20250224000003,126.55,1
2025-06-24,LN20250224000003,95.50,1
2025-03-22,LN20250220000001,66.67,1
2025-04-21,LN20250220000001,55.92,1
2025-05-21,LN20250220000001,45.03,1
2025-06-20,LN20250220000001,34.00,1
2025-03-24,LN20250222000002,50.00,1
2025-04-23,LN20250222000002,47.45,1
2025-05-23,LN20250222000002,44.88,1
2025-06-22,LN20250222000002,42.28,1
2025-04-26,LN20250327000004,493.15,1
2025-05-26,LN20250327000004,469.43,1
2025-06-25,LN20250327000004,445.31,1
2025-03-17,LN20250215000004,200.00,1
2025-04-16,LN20250215000004,195.64,1
2025-05-16,LN20250215000004,191.21,1
2025-06-15,LN20250215000004,186.73,1
2025-04-08,LN20250309000004,7.41,1
2025-05-08,LN20250309000004,7.25,1
2025-06-07,LN20250309000004,7.09,1
2025-04-27,LN20250328000005,283.33,1
2025-05-27,LN20250328000005,190.21,1
2025-06-26,LN20250328000005,95.78,1
2025-03-07,LN20250205000001,135.03,1
2025-04-06,LN20250205000001,130.37,1
2025-05-06,LN20250205000001,125.62,1
2025-06-05,LN20250205000001,120.80,1
2025-06-05,LN20250506000002,402.45,1
2025-06-19,LN20250520000001,150.00,1
2025-05-12,LN20250412000002,33.33,1
2025-06-11,LN20250412000002,31.73,1
2025-05-19,LN20250419000001,75.07,1
2025-06-18,LN20250419000001,73.58,1
2025-05-07,LN20250407000002,146.51,1
2025-06-06,LN20250407000002,135.54,1
2025-04-28,LN20250329000002,191.64,1
2025-05-28,LN20250329000002,129.02,1
2025-06-27,LN20250329000002,65.15,1
2025-04-21,LN20250322000002,400.00,1
2025-05-21,LN20250322000002,268.43,1
2025-06-20,LN20250322000002,135.10,1
2025-04-09,LN20250310000003,316.67,1
2025-05-09,LN20250310000003,310.07,1
2025-06-08,LN20250310000003,303.37,1
2025-04-12,LN20250313000002,746.01,1
2025-05-12,LN20250313000002,500.62,1
2025-06-11,LN20250313000002,251.97,1
2025-03-03,LN20250201000002,353.14,1
2025-04-02,LN20250201000002,346.13,1
2025-05-02,LN20250201000002,338.99,1
2025-06-01,LN20250201000002,331.72,1
2025-03-31,LN20250301000002,379.30,1
2025-04-30,LN20250301000002,350.35,1
2025-05-30,LN20250301000002,320.95,1
2025-06-29,LN20250301000002,291.07,1
2025-03-14,LN20250212000003,324.41,1
2025-04-13,LN20250212000003,299.99,1
2025-05-13,LN20250212000003,275.13,1
2025-06-12,LN20250212000003,249.81,1
2025-03-09,LN20250207000003,86.51,1
2025-04-08,LN20250207000003,72.51,1
2025-05-08,LN20250207000003,58.34,1
2025-06-07,LN20250207000003,44.01,1
2025-04-23,LN20250324000003,275.00,1
2025-05-23,LN20250324000003,230.21,1
2025-06-22,LN20250324000003,185.00,1
2025-06-02,LN20250503000002,443.49,1
2025-04-01,LN20250302000002,233.33,1
2025-05-01,LN20250302000002,215.11,1
2025-05-31,LN20250302000002,196.66,1
2025-06-30,LN20250302000002,178.01,1
2025-04-11,LN20250312000002,95.83,1
2025-05-11,LN20250312000002,80.61,1
2025-06-10,LN20250312000002,65.09,1
2025-03-24,LN20250222000003,149.11,1
2025-04-23,LN20250222000003,142.15,1
2025-05-23,LN20250222000003,135.05,1
2025-06-22,LN20250222000003,127.80,1
2025-04-02,LN20250303000001,25.00,1
2025-05-02,LN20250303000001,16.77,1
2025-06-01,LN20250303000001,8.44,1
2025-03-21,LN20250219000001,133.33,1
2025-04-20,LN20250219000001,123.20,1
2025-05-20,LN20250219000001,112.91,1
2025-06-19,LN20250219000001,102.44,1
2025-03-17,LN20250215000005,331.48,1
2025-04-16,LN20250215000005,278.38,1
2025-05-16,LN20250215000005,224.44,1
2025-06-15,LN20250215000005,169.65,1
2025-06-25,LN20250526000005,533.29,1
2025-06-16,LN20250517000001,602.22,1
2025-03-30,LN20250228000003,445.79,1
2025-04-29,LN20250228000003,299.52,1
2025-05-29,LN20250228000003,150.94,1
2025-03-29,LN20250227000003,195.84,1
2025-04-28,LN20250227000003,185.71,1
2025-05-28,LN20250227000003,175.50,1
2025-06-27,LN20250227000003,165.20,1
2025-03-30,LN20250228000004,91.67,1
2025-04-29,LN20250228000004,89.51,1
2025-05-29,LN20250228000004,87.33,1
2025-06-28,LN20250228000004,85.12,1
2025-04-02,LN20250303000002,266.67,1
2025-05-02,LN20250303000002,253.46,1
2025-06-01,LN20250303000002,240.08,1
2025-02-24,LN20250125000002,528.31,1
2025-03-26,LN20250125000002,354.39,1
2025-04-25,LN20250125000002,178.30,1
2025-03-25,LN20250223000005,83.33,1
2025-04-24,LN20250223000005,70.01,1
2025-05-24,LN20250223000005,56.47,1
2025-06-23,LN20250223000005,42.70,1
2025-03-06,LN20250204000003,275.00,1
2025-04-05,LN20250204000003,184.99,1
2025-05-05,LN20250204000003,93.34,1
2025-03-10,LN20250208000001,333.33,1
2025-04-09,LN20250208000001,308.01,1
2025-05-09,LN20250208000001,282.27,1
2025-06-08,LN20250208000001,256.09,1
2025-04-17,LN20250318000002,150.00,1
2025-05-17,LN20250318000002,138.50,1
2025-06-16,LN20250318000002,126.82,1
2025-03-03,LN20250201000003,36.67,1
2025-04-02,LN20250201000003,24.67,1
2025-05-02,LN20250201000003,12.44,1
2025-03-20,LN20250218000005,175.00,1
2025-04-19,LN20250218000005,166.64,1
2025-05-19,LN20250218000005,158.14,1
2025-06-18,LN20250218000005,149.49,1
2025-04-06,LN20250307000001,316.67,1
2025-05-06,LN20250307000001,310.07,1
2025-06-05,LN20250307000001,303.37,1
2025-05-09,LN20250409000003,171.58,1
2025-06-08,LN20250409000003,115.47,1
2025-03-30,LN20250228000005,9.17,1
2025-04-29,LN20250228000005,8.82,1
2025-05-29,LN20250228000005,8.48,1
2025-06-28,LN20250228000005,8.13,1
2025-03-25,LN20250223000006,250.00,1
2025-04-24,LN20250223000006,244.88,1
2025-05-24,LN20250223000006,239.67,1
2025-06-23,LN20250223000006,234.37,1
2025-06-09,LN20250510000001,146.17,1
2025-06-24,LN20250525000001,91.78,1
2025-06-12,LN20250513000003,133.33,1
2025-06-24,LN20250525000002,514.42,1
2025-05-08,LN20250408000001,183.33,1
2025-06-07,LN20250408000001,179.01,1
2025-05-11,LN20250411000005,91.67,1
2025-06-10,LN20250411000005,88.23,1
2025-04-25,LN20250326000004,462.54,1
2025-05-25,LN20250326000004,445.89,1
2025-06-24,LN20250326000004,429.04,1
2025-03-22,LN20250220000002,79.14,1
2025-04-21,LN20250220000002,72.87,1
2025-05-21,LN20250220000002,66.54,1
2025-06-20,LN20250220000002,60.16,1
2025-04-22,LN20250323000003,565.28,1
2025-05-22,LN20250323000003,521.53,1
2025-06-21,LN20250323000003,477.20,1
2025-03-13,LN20250211000001,15.83,1
2025-04-12,LN20250211000001,13.30,1
2025-05-12,LN20250211000001,10.72,1
2025-06-11,LN20250211000001,8.10,1
2025-02-21,LN20250122000001,69.90,1
2025-03-23,LN20250122000001,67.60,1
2025-04-22,LN20250122000001,65.26,1
2025-05-22,LN20250122000001,62.87,1
2025-06-21,LN20250122000001,60.43,1
2025-03-22,LN20250220000003,83.33,1
2025-04-21,LN20250220000003,81.34,1
2025-05-21,LN20250220000003,79.33,1
2025-06-20,LN20250220000003,77.30,1
2025-03-28,LN20250226000001,601.86,1
2025-04-27,LN20250226000001,404.06,1
2025-05-27,LN20250226000001,203.45,1
2025-03-22,LN20250220000004,75.00,1
2025-04-21,LN20250220000004,50.37,1
