biz_date,account_code,direction,amount,biz_ref_type,biz_ref_id,remark,posted_at,is_test_data
2025-02-18,1002,CR,30000.00,LOAN,LN20250218000001,放款-银行存款,2025-02-18 21:10:34,1
2025-03-04,1301,DR,22851.37,LOAN,LN20250304000001,放款-应收贷款,2025-03-04 22:30:40,1
2025-03-04,1002,CR,22851.37,LOAN,LN20250304000001,放款-银行存款,2025-03-04 22:30:40,1
2025-03-31,1301,DR,6413.93,LOAN,LN20250331000001,放款-应收贷款,2025-03-31 20:01:53,1
2025-03-31,1002,CR,6413.93,LOAN,LN20250331000001,放款-银行存款,2025-03-31 20:01:53,1
2025-04-17,1301,DR,30000.00,LOAN,LN20250417000001,放款-应收贷款,2025-04-17 13:49:00,1
2025-04-17,1002,CR,30000.00,LOAN,LN20250417000001,放款-银行存款,2025-04-17 13:49:00,1
2025-04-11,1301,DR,30000.00,LOAN,LN20250411000001,放款-应收贷款,2025-04-11 21:40:39,1
2025-04-11,1002,CR,30000.00,LOAN,LN20250411000001,放款-银行存款,2025-04-11 21:40:39,1
2025-06-25,1301,DR,30000.00,LOAN,LN20250625000001,放款-应收贷款,2025-06-25 13:27:51,1
2025-06-25,1002,CR,30000.00,LOAN,LN20250625000001,放款-银行存款,2025-06-25 13:27:51,1
2025-02-12,1301,DR,2000.00,LOAN,LN20250212000001,放款-应收贷款,2025-02-12 12:44:44,1
2025-02-12,1002,CR,2000.00,LOAN,LN20250212000001,放款-银行存款,2025-02-12 12:44:44,1
2025-01-28,1301,DR,15000.00,LOAN,LN20250128000001,放款-应收贷款,2025-01-28 12:20:49,1
2025-01-28,1002,CR,15000.00,LOAN,LN20250128000001,放款-银行存款,2025-01-28 12:20:49,1
2025-02-14,1301,DR,24025.76,LOAN,LN20250214000001,放款-应收贷款,2025-02-14 22:41:42,1
2025-02-14,1002,CR,24025.76,LOAN,LN20250214000001,放款-银行存款,2025-02-14 22:41:42,1
2025-02-13,1301,DR,2000.00,LOAN,LN20250213000001,放款-应收贷款,2025-02-13 11:19:40,1
2025-02-13,1002,CR,2000.00,LOAN,LN20250213000001,放款-银行存款,2025-02-13 11:19:40,1
2025-02-07,1301,DR,4000.53,LOAN,LN20250207000001,放款-应收贷款,2025-02-07 20:39:52,1
2025-02-07,1002,CR,4000.53,LOAN,LN20250207000001,放款-银行存款,2025-02-07 20:39:52,1
2025-03-04,1301,DR,20000.00,LOAN,LN20250304000002,放款-应收贷款,2025-03-04 13:44:04,1
2025-03-04,1002,CR,20000.00,LOAN,LN20250304000002,放款-银行存款,2025-03-04 13:44:04,1
2025-01-20,1301,DR,1000.00,LOAN,LN20250120000001,放款-应收贷款,2025-01-20 22:58:15,1
2025-01-20,1002,CR,1000.00,LOAN,LN20250120000001,放款-银行存款,2025-01-20 22:58:15,1
2025-02-03,1301,DR,48462.90,LOAN,LN20250203000001,放款-应收贷款,2025-02-03 12:42:17,1
2025-02-03,1002,CR,48462.90,LOAN,LN20250203000001,放款-银行存款,2025-02-03 12:42:17,1
2025-03-04,1301,DR,22866.95,LOAN,LN20250304000003,放款-应收贷款,2025-03-04 20:42:40,1
2025-03-04,1002,CR,22866.95,LOAN,LN20250304000003,放款-银行存款,2025-03-04 20:42:40,1
2025-02-10,1301,DR,24335.92,LOAN,LN20250210000001,放款-应收贷款,2025-02-10 12:50:46,1
2025-02-10,1002,CR,24335.92,LOAN,LN20250210000001,放款-银行存款,2025-02-10 12:50:46,1
2025-06-08,1301,DR,6582.82,LOAN,LN20250608000001,放款-应收贷款,2025-06-08 06:36:59,1
2025-06-08,1002,CR,6582.82,LOAN,LN20250608000001,放款-银行存款,2025-06-08 06:36:59,1
2025-05-26,1301,DR,10000.00,LOAN,LN20250526000002,放款-应收贷款,2025-05-26 13:52:46,1
2025-05-26,1002,CR,10000.00,LOAN,LN20250526000002,放款-银行存款,2025-05-26 13:52:46,1
2025-05-31,1301,DR,31025.72,LOAN,LN20250531000001,放款-应收贷款,2025-05-31 18:13:12,1
2025-05-31,1002,CR,31025.72,LOAN,LN20250531000001,放款-银行存款,2025-05-31 18:13:12,1
2025-03-01,1301,DR,2000.00,LOAN,LN20250301000001,放款-应收贷款,2025-03-01 11:25:37,1
2025-03-01,1002,CR,2000.00,LOAN,LN20250301000001,放款-银行存款,2025-03-01 11:25:37,1
2025-01-30,1301,DR,20000.00,LOAN,LN20250130000001,放款-应收贷款,2025-01-30 15:52:15,1
2025-01-30,1002,CR,20000.00,LOAN,LN20250130000001,放款-银行存款,2025-01-30 15:52:15,1
2025-04-24,1301,DR,23789.98,LOAN,LN20250424000001,放款-应收贷款,2025-04-24 21:08:37,1
2025-04-24,1002,CR,23789.98,LOAN,LN20250424000001,放款-银行存款,2025-04-24 21:08:37,1
2025-04-13,1301,DR,1000.00,LOAN,LN20250413000001,放款-应收贷款,2025-04-13 13:07:15,1
2025-04-13,1002,CR,1000.00,LOAN,LN20250413000001,放款-银行存款,2025-04-13 13:07:15,1
2025-04-25,1301,DR,7316.51,LOAN,LN20250425000001,放款-应收贷款,2025-04-25 13:52:49,1
2025-04-25,1002,CR,7316.51,LOAN,LN20250425000001,放款-银行存款,2025-04-25 13:52:49,1
2025-05-04,1301,DR,8158.50,LOAN,LN20250504000001,放款-应收贷款,2025-05-04 20:05:09,1
2025-05-04,1002,CR,8158.50,LOAN,LN20250504000001,放款-银行存款,2025-05-04 20:05:09,1
2025-04-17,1301,DR,8181.01,LOAN,LN20250417000002,放款-应收贷款,2025-04-17 13:44:52,1
2025-04-17,1002,CR,8181.01,LOAN,LN20250417000002,放款-银行存款,2025-04-17 13:44:52,1
2025-04-30,1301,DR,8000.00,LOAN,LN20250430000001,放款-应收贷款,2025-04-30 18:26:14,1
2025-04-30,1002,CR,8000.00,LOAN,LN20250430000001,放款-银行存款,2025-04-30 18:26:14,1
2025-06-12,1301,DR,10000.00,LOAN,LN20250612000001,放款-应收贷款,2025-06-12 12:26:42,1
2025-06-12,1002,CR,10000.00,LOAN,LN20250612000001,放款-银行存款,2025-06-12 12:26:42,1
2025-02-09,1301,DR,20274.51,LOAN,LN20250209000001,放款-应收贷款,2025-02-09 13:08:43,1
2025-02-09,1002,CR,20274.51,LOAN,LN20250209000001,放款-银行存款,2025-02-09 13:08:43,1
2025-02-16,1301,DR,5000.00,LOAN,LN20250216000001,放款-应收贷款,2025-02-16 08:17:31,1
2025-02-16,1002,CR,5000.00,LOAN,LN20250216000001,放款-银行存款,2025-02-16 08:17:31,1
2025-02-27,1301,DR,4166.48,LOAN,LN20250227000001,放款-应收贷款,2025-02-27 21:47:46,1
2025-02-27,1002,CR,4166.48,LOAN,LN20250227000001,放款-银行存款,2025-02-27 21:47:46,1
2025-02-21,1301,DR,75170.72,LOAN,LN20250221000001,放款-应收贷款,2025-02-21 21:06:13,1
2025-02-21,1002,CR,75170.72,LOAN,LN20250221000001,放款-银行存款,2025-02-21 21:06:13,1
2025-02-27,1301,DR,31961.92,LOAN,LN20250227000002,放款-应收贷款,2025-02-27 22:49:49,1
2025-02-27,1002,CR,31961.92,LOAN,LN20250227000002,放款-银行存款,2025-02-27 22:49:49,1
2025-06-14,1301,DR,2494.90,LOAN,LN20250614000001,放款-应收贷款,2025-06-14 11:36:51,1
2025-06-14,1002,CR,2494.90,LOAN,LN20250614000001,放款-银行存款,2025-06-14 11:36:51,1
2025-05-11,1301,DR,2000.00,LOAN,LN20250511000001,放款-应收贷款,2025-05-11 16:05:49,1
2025-05-11,1002,CR,2000.00,LOAN,LN20250511000001,放款-银行存款,2025-05-11 16:05:49,1
2025-05-13,1301,DR,8000.00,LOAN,LN20250513000001,放款-应收贷款,2025-05-13 23:29:35,1
2025-05-13,1002,CR,8000.00,LOAN,LN20250513000001,放款-银行存款,2025-05-13 23:29:35,1
2025-05-07,1301,DR,5000.00,LOAN,LN20250507000001,放款-应收贷款,2025-05-07 19:24:53,1
2025-05-07,1002,CR,5000.00,LOAN,LN20250507000001,放款-银行存款,2025-05-07 19:24:53,1
2025-03-18,1301,DR,2000.00,LOAN,LN20250318000001,放款-应收贷款,2025-03-18 20:35:04,1
2025-03-18,1002,CR,2000.00,LOAN,LN20250318000001,放款-银行存款,2025-03-18 20:35:04,1
2025-03-27,1301,DR,2000.00,LOAN,LN20250327000001,放款-应收贷款,2025-03-27 20:20:00,1
2025-03-27,1002,CR,2000.00,LOAN,LN20250327000001,放款-银行存款,2025-03-27 20:20:00,1
2025-06-04,1301,DR,45265.65,LOAN,LN20250604000002,放款-应收贷款,2025-06-04 10:11:56,1
2025-06-04,1002,CR,45265.65,LOAN,LN20250604000002,放款-银行存款,2025-06-04 10:11:56,1
2025-05-16,1301,DR,884.30,LOAN,LN20250516000001,放款-应收贷款,2025-05-16 12:15:37,1
2025-05-16,1002,CR,884.30,LOAN,LN20250516000001,放款-银行存款,2025-05-16 12:15:37,1
2025-03-04,1301,DR,3712.77,LOAN,LN20250304000004,放款-应收贷款,2025-03-04 22:35:58,1
2025-03-04,1002,CR,3712.77,LOAN,LN20250304000004,放款-银行存款,2025-03-04 22:35:58,1
2025-02-09,1301,DR,6772.06,LOAN,LN20250209000002,放款-应收贷款,2025-02-09 21:43:10,1
2025-02-09,1002,CR,6772.06,LOAN,LN20250209000002,放款-银行存款,2025-02-09 21:43:10,1
2025-04-07,1301,DR,24596.34,LOAN,LN20250407000001,放款-应收贷款,2025-04-07 20:24:49,1
2025-04-07,1002,CR,24596.34,LOAN,LN20250407000001,放款-银行存款,2025-04-07 20:24:49,1
2025-06-12,1301,DR,15000.00,LOAN,LN20250612000002,放款-应收贷款,2025-06-12 19:28:11,1
2025-06-12,1002,CR,15000.00,LOAN,LN20250612000002,放款-银行存款,2025-06-12 19:28:11,1
2025-04-29,1301,DR,5000.00,LOAN,LN20250429000001,放款-应收贷款,2025-04-29 21:01:40,1
2025-04-29,1002,CR,5000.00,LOAN,LN20250429000001,放款-银行存款,2025-04-29 21:01:40,1
2025-03-09,1301,DR,22352.61,LOAN,LN20250309000001,放款-应收贷款,2025-03-09 12:20:38,1
2025-03-09,1002,CR,22352.61,LOAN,LN20250309000001,放款-银行存款,2025-03-09 12:20:38,1
2025-03-27,1301,DR,10000.00,LOAN,LN20250327000002,放款-应收贷款,2025-03-27 13:55:13,1
2025-03-27,1002,CR,10000.00,LOAN,LN20250327000002,放款-银行存款,2025-03-27 13:55:13,1
2025-03-16,1301,DR,426.16,LOAN,LN20250316000001,放款-应收贷款,2025-03-16 12:25:46,1
2025-03-16,1002,CR,426.16,LOAN,LN20250316000001,放款-银行存款,2025-03-16 12:25:46,1
2025-02-23,1301,DR,30000.00,LOAN,LN20250223000001,放款-应收贷款,2025-02-23 18:13:01,1
2025-02-23,1002,CR,30000.00,LOAN,LN20250223000001,放款-银行存款,2025-02-23 18:13:01,1
2025-04-02,1301,DR,4418.52,LOAN,LN20250402000001,放款-应收贷款,2025-04-02 17:15:28,1
2025-04-02,1002,CR,4418.52,LOAN,LN20250402000001,放款-银行存款,2025-04-02 17:15:28,1
2025-02-22,1301,DR,50000.00,LOAN,LN20250222000001,放款-应收贷款,2025-02-22 12:57:54,1
2025-02-22,1002,CR,50000.00,LOAN,LN20250222000001,放款-银行存款,2025-02-22 12:57:54,1
2025-01-25,1301,DR,1000.00,LOAN,LN20250125000001,放款-应收贷款,2025-01-25 20:41:45,1
2025-01-25,1002,CR,1000.00,LOAN,LN20250125000001,放款-银行存款,2025-01-25 20:41:45,1
2025-01-15,1301,DR,22302.58,LOAN,LN20250115000001,放款-应收贷款,2025-01-15 13:05:38,1
2025-01-15,1002,CR,22302.58,LOAN,LN20250115000001,放款-银行存款,2025-01-15 13:05:38,1
2025-01-28,1301,DR,27790.28,LOAN,LN20250128000002,放款-应收贷款,2025-01-28 13:46:58,1
2025-01-28,1002,CR,27790.28,LOAN,LN20250128000002,放款-银行存款,2025-01-28 13:46:58,1
2025-06-12,1301,DR,8000.00,LOAN,LN20250612000003,放款-应收贷款,2025-06-12 21:41:58,1
2025-06-12,1002,CR,8000.00,LOAN,LN20250612000003,放款-银行存款,2025-06-12 21:41:58,1
2025-05-16,1301,DR,25838.90,LOAN,LN20250516000002,放款-应收贷款,2025-05-16 20:23:37,1
2025-05-16,1002,CR,25838.90,LOAN,LN20250516000002,放款-银行存款,2025-05-16 20:23:37,1
2025-03-11,1301,DR,15000.00,LOAN,LN20250311000001,放款-应收贷款,2025-03-11 20:47:51,1
2025-03-11,1002,CR,15000.00,LOAN,LN20250311000001,放款-银行存款,2025-03-11 20:47:51,1
2025-04-13,1301,DR,1000.00,LOAN,LN20250413000002,放款-应收贷款,2025-04-13 02:03:58,1
2025-04-13,1002,CR,1000.00,LOAN,LN20250413000002,放款-银行存款,2025-04-13 02:03:58,1
2025-02-14,1301,DR,48042.98,LOAN,LN20250214000002,放款-应收贷款,2025-02-14 21:51:28,1
2025-02-14,1002,CR,48042.98,LOAN,LN20250214000002,放款-银行存款,2025-02-14 21:51:28,1
2025-02-17,1301,DR,25759.83,LOAN,LN20250217000001,放款-应收贷款,2025-02-17 20:28:15,1
2025-02-17,1002,CR,25759.83,LOAN,LN20250217000001,放款-银行存款,2025-02-17 20:28:15,1
2025-02-17,1301,DR,10000.00,LOAN,LN20250217000002,放款-应收贷款,2025-02-17 22:29:03,1
2025-02-17,1002,CR,10000.00,LOAN,LN20250217000002,放款-银行存款,2025-02-17 22:29:03,1
2025-03-10,1301,DR,26918.81,LOAN,LN20250310000001,放款-应收贷款,2025-03-10 18:26:48,1
2025-03-10,1002,CR,26918.81,LOAN,LN20250310000001,放款-银行存款,2025-03-10 18:26:48,1
2025-03-23,1301,DR,43678.35,LOAN,LN20250323000001,放款-应收贷款,2025-03-23 17:17:45,1
2025-03-23,1002,CR,43678.35,LOAN,LN20250323000001,放款-银行存款,2025-03-23 17:17:45,1
2025-03-08,1301,DR,15000.00,LOAN,LN20250308000001,放款-应收贷款,2025-03-08 16:49:55,1
2025-03-08,1002,CR,15000.00,LOAN,LN20250308000001,放款-银行存款,2025-03-08 16:49:55,1
2025-02-24,1301,DR,2988.59,LOAN,LN20250224000001,放款-应收贷款,2025-02-24 14:06:36,1
2025-02-24,1002,CR,2988.59,LOAN,LN20250224000001,放款-银行存款,2025-02-24 14:06:36,1
2025-02-09,1301,DR,2000.00,LOAN,LN20250209000003,放款-应收贷款,2025-02-09 10:28:37,1
2025-02-09,1002,CR,2000.00,LOAN,LN20250209000003,放款-银行存款,2025-02-09 10:28:37,1
2025-05-15,1301,DR,10000.00,LOAN,LN20250515000001,放款-应收贷款,2025-05-15 12:54:07,1
2025-05-15,1002,CR,10000.00,LOAN,LN20250515000001,放款-银行存款,2025-05-15 12:54:07,1
2025-05-05,1301,DR,57139.94,LOAN,LN20250505000001,放款-应收贷款,2025-05-05 22:56:06,1
2025-05-05,1002,CR,57139.94,LOAN,LN20250505000001,放款-银行存款,2025-05-05 22:56:06,1
2025-05-14,1301,DR,10000.00,LOAN,LN20250514000001,放款-应收贷款,2025-05-14 17:43:01,1
2025-05-14,1002,CR,10000.00,LOAN,LN20250514000001,放款-银行存款,2025-05-14 17:43:01,1
2025-04-11,1301,DR,41984.58,LOAN,LN20250411000002,放款-应收贷款,2025-04-11 13:28:22,1
2025-04-11,1002,CR,41984.58,LOAN,LN20250411000002,放款-银行存款,2025-04-11 13:28:22,1
2025-06-19,1301,DR,20000.00,LOAN,LN20250619000001,放款-应收贷款,2025-06-19 01:55:48,1
2025-06-19,1002,CR,20000.00,LOAN,LN20250619000001,放款-银行存款,2025-06-19 01:55:48,1
2025-03-13,1301,DR,15000.00,LOAN,LN20250313000001,放款-应收贷款,2025-03-13 17:20:28,1
2025-03-13,1002,CR,15000.00,LOAN,LN20250313000001,放款-银行存款,2025-03-13 17:20:28,1
2025-03-28,1301,DR,7921.63,LOAN,LN20250328000001,放款-应收贷款,2025-03-28 21:05:50,1
2025-03-28,1002,CR,7921.63,LOAN,LN20250328000001,放款-银行存款,2025-03-28 21:05:50,1
2025-03-11,1301,DR,5000.00,LOAN,LN20250311000002,放款-应收贷款,2025-03-11 13:47:37,1
2025-03-11,1002,CR,5000.00,LOAN,LN20250311000002,放款-银行存款,2025-03-11 13:47:37,1
2025-02-23,1301,DR,10000.00,LOAN,LN20250223000002,放款-应收贷款,2025-02-23 10:21:14,1
2025-02-23,1002,CR,10000.00,LOAN,LN20250223000002,放款-银行存款,2025-02-23 10:21:14,1
2025-03-16,1301,DR,35540.45,LOAN,LN20250316000002,放款-应收贷款,2025-03-16 13:32:58,1
2025-03-16,1002,CR,35540.45,LOAN,LN20250316000002,放款-银行存款,2025-03-16 13:32:58,1
2025-03-12,1301,DR,20000.00,LOAN,LN20250312000001,放款-应收贷款,2025-03-12 21:02:41,1
2025-03-12,1002,CR,20000.00,LOAN,LN20250312000001,放款-银行存款,2025-03-12 21:02:41,1
2025-03-22,1301,DR,20000.00,LOAN,LN20250322000001,放款-应收贷款,2025-03-22 09:45:56,1
2025-03-22,1002,CR,20000.00,LOAN,LN20250322000001,放款-银行存款,2025-03-22 09:45:56,1
2025-03-26,1301,DR,8000.00,LOAN,LN20250326000001,放款-应收贷款,2025-03-26 11:39:34,1
2025-03-26,1002,CR,8000.00,LOAN,LN20250326000001,放款-银行存款,2025-03-26 11:39:34,1
2025-05-11,1301,DR,29630.70,LOAN,LN20250511000002,放款-应收贷款,2025-05-11 20:15:32,1
2025-05-11,1002,CR,29630.70,LOAN,LN20250511000002,放款-银行存款,2025-05-11 20:15:32,1
2025-05-03,1301,DR,2000.00,LOAN,LN20250503000001,放款-应收贷款,2025-05-03 19:51:05,1
2025-05-03,1002,CR,2000.00,LOAN,LN20250503000001,放款-银行存款,2025-05-03 19:51:05,1
2025-03-17,1301,DR,15000.00,LOAN,LN20250317000001,放款-应收贷款,2025-03-17 16:19:29,1
2025-03-17,1002,CR,15000.00,LOAN,LN20250317000001,放款-银行存款,2025-03-17 16:19:29,1
2025-02-01,1301,DR,1000.00,LOAN,LN20250201000001,放款-应收贷款,2025-02-01 22:15:30,1
2025-02-01,1002,CR,1000.00,LOAN,LN20250201000001,放款-银行存款,2025-02-01 22:15:30,1
2025-02-10,1301,DR,5000.00,LOAN,LN20250210000002,放款-应收贷款,2025-02-10 11:14:52,1
2025-02-10,1002,CR,5000.00,LOAN,LN20250210000002,放款-银行存款,2025-02-10 11:14:52,1
2025-02-18,1301,DR,2000.00,LOAN,LN20250218000002,放款-应收贷款,2025-02-18 08:55:47,1
2025-02-18,1002,CR,2000.00,LOAN,LN20250218000002,放款-银行存款,2025-02-18 08:55:47,1
2025-03-26,1301,DR,2481.31,LOAN,LN20250326000002,放款-应收贷款,2025-03-26 20:05:17,1
2025-03-26,1002,CR,2481.31,LOAN,LN20250326000002,放款-银行存款,2025-03-26 20:05:17,1
2025-04-06,1301,DR,10000.00,LOAN,LN20250406000001,放款-应收贷款,2025-04-06 21:58:30,1
2025-04-06,1002,CR,10000.00,LOAN,LN20250406000001,放款-银行存款,2025-04-06 21:58:30,1
2025-04-12,1301,DR,2000.00,LOAN,LN20250412000001,放款-应收贷款,2025-04-12 11:45:43,1
2025-04-12,1002,CR,2000.00,LOAN,LN20250412000001,放款-银行存款,2025-04-12 11:45:43,1
2025-01-18,1301,DR,1647.93,LOAN,LN20250118000001,放款-应收贷款,2025-01-18 12:48:05,1
2025-01-18,1002,CR,1647.93,LOAN,LN20250118000001,放款-银行存款,2025-01-18 12:48:05,1
2025-02-24,1301,DR,15000.00,LOAN,LN20250224000002,放款-应收贷款,2025-02-24 22:38:08,1
2025-02-24,1002,CR,15000.00,LOAN,LN20250224000002,放款-银行存款,2025-02-24 22:38:08,1
2025-02-02,1301,DR,41390.42,LOAN,LN20250202000001,放款-应收贷款,2025-02-02 13:03:19,1
2025-02-02,1002,CR,41390.42,LOAN,LN20250202000001,放款-银行存款,2025-02-02 13:03:19,1
2025-01-29,1301,DR,8000.00,LOAN,LN20250129000001,放款-应收贷款,2025-01-29 20:54:58,1
2025-01-29,1002,CR,8000.00,LOAN,LN20250129000001,放款-银行存款,2025-01-29 20:54:58,1
2025-01-24,1301,DR,22469.42,LOAN,LN20250124000002,放款-应收贷款,2025-01-24 13:28:06,1
2025-01-24,1002,CR,22469.42,LOAN,LN20250124000002,放款-银行存款,2025-01-24 13:28:06,1
2025-06-08,1301,DR,24150.31,LOAN,LN20250608000002,放款-应收贷款,2025-06-08 20:14:26,1
2025-06-08,1002,CR,24150.31,LOAN,LN20250608000002,放款-银行存款,2025-06-08 20:14:26,1
2025-06-30,1301,DR,20000.00,LOAN,LN20250630000001,放款-应收贷款,2025-06-30 07:22:21,1
2025-06-30,1002,CR,20000.00,LOAN,LN20250630000001,放款-银行存款,2025-06-30 07:22:21,1
2025-06-15,1301,DR,12773.49,LOAN,LN20250615000001,放款-应收贷款,2025-06-15 22:47:47,1
2025-06-15,1002,CR,12773.49,LOAN,LN20250615000001,放款-银行存款,2025-06-15 22:47:47,1
2025-05-29,1301,DR,15000.00,LOAN,LN20250529000001,放款-应收贷款,2025-05-29 12:37:59,1
2025-05-29,1002,CR,15000.00,LOAN,LN20250529000001,放款-银行存款,2025-05-29 12:37:59,1
2025-02-16,1301,DR,907.31,LOAN,LN20250216000002,放款-应收贷款,2025-02-16 12:41:50,1
2025-02-16,1002,CR,907.31,LOAN,LN20250216000002,放款-银行存款,2025-02-16 12:41:50,1
2025-02-23,1301,DR,47480.49,LOAN,LN20250223000003,放款-应收贷款,2025-02-23 10:27:51,1
2025-02-23,1002,CR,47480.49,LOAN,LN20250223000003,放款-银行存款,2025-02-23 10:27:51,1
2025-05-30,1301,DR,5000.00,LOAN,LN20250530000001,放款-应收贷款,2025-05-30 21:54:53,1
2025-05-30,1002,CR,5000.00,LOAN,LN20250530000001,放款-银行存款,2025-05-30 21:54:53,1
2025-06-04,1301,DR,20000.00,LOAN,LN20250604000003,放款-应收贷款,2025-06-04 16:18:01,1
2025-06-04,1002,CR,20000.00,LOAN,LN20250604000003,放款-银行存款,2025-06-04 16:18:01,1
2025-01-21,1301,DR,50000.00,LOAN,LN20250121000001,放款-应收贷款,2025-01-21 21:23:08,1
2025-01-21,1002,CR,50000.00,LOAN,LN20250121000001,放款-银行存款,2025-01-21 21:23:08,1
2025-03-04,1301,DR,12975.59,LOAN,LN20250304000005,放款-应收贷款,2025-03-04 21:55:10,1
2025-03-04,1002,CR,12975.59,LOAN,LN20250304000005,放款-银行存款,2025-03-04 21:55:10,1
2025-02-15,1301,DR,6810.82,LOAN,LN20250215000002,放款-应收贷款,2025-02-15 21:34:48,1
2025-02-15,1002,CR,6810.82,LOAN,LN20250215000002,放款-银行存款,2025-02-15 21:34:48,1
2025-02-25,1301,DR,9631.18,LOAN,LN20250225000001,放款-应收贷款,2025-02-25 10:53:06,1
2025-02-25,1002,CR,9631.18,LOAN,LN20250225000001,放款-银行存款,2025-02-25 10:53:06,1
2025-04-09,1301,DR,1000.00,LOAN,LN20250409000001,放款-应收贷款,2025-04-09 11:39:18,1
2025-04-09,1002,CR,1000.00,LOAN,LN20250409000001,放款-银行存款,2025-04-09 11:39:18,1
2025-06-26,1301,DR,1000.00,LOAN,LN20250626000001,放款-应收贷款,2025-06-26 12:06:52,1
2025-06-26,1002,CR,1000.00,LOAN,LN20250626000001,放款-银行存款,2025-06-26 12:06:52,1
2025-05-12,1301,DR,8527.31,LOAN,LN20250512000001,放款-应收贷款,2025-05-12 17:45:49,1
2025-05-12,1002,CR,8527.31,LOAN,LN20250512000001,放款-银行存款,2025-05-12 17:45:49,1
2025-05-26,1301,DR,5641.52,LOAN,LN20250526000003,放款-应收贷款,2025-05-26 14:15:05,1
2025-05-26,1002,CR,5641.52,LOAN,LN20250526000003,放款-银行存款,2025-05-26 14:15:05,1
2025-02-28,1301,DR,42710.86,LOAN,LN20250228000001,放款-应收贷款,2025-02-28 14:13:32,1
2025-02-28,1002,CR,42710.86,LOAN,LN20250228000001,放款-银行存款,2025-02-28 14:13:32,1
2025-02-21,1301,DR,20000.00,LOAN,LN20250221000002,放款-应收贷款,2025-02-21 02:16:05,1
2025-02-21,1002,CR,20000.00,LOAN,LN20250221000002,放款-银行存款,2025-02-21 02:16:05,1
2025-02-03,1301,DR,20499.24,LOAN,LN20250203000002,放款-应收贷款,2025-02-03 12:15:12,1
2025-02-03,1002,CR,20499.24,LOAN,LN20250203000002,放款-银行存款,2025-02-03 12:15:12,1
2025-02-13,1301,DR,50000.00,LOAN,LN20250213000002,放款-应收贷款,2025-02-13 20:30:57,1
2025-02-13,1002,CR,50000.00,LOAN,LN20250213000002,放款-银行存款,2025-02-13 20:30:57,1
2025-05-27,1301,DR,5000.00,LOAN,LN20250527000001,放款-应收贷款,2025-05-27 12:04:49,1
2025-05-27,1002,CR,5000.00,LOAN,LN20250527000001,放款-银行存款,2025-05-27 12:04:49,1
2025-06-18,1301,DR,1000.00,LOAN,LN20250618000001,放款-应收贷款,2025-06-18 22:24:29,1
2025-06-18,1002,CR,1000.00,LOAN,LN20250618000001,放款-银行存款,2025-06-18 22:24:29,1
2025-02-15,1301,DR,5000.00,LOAN,LN20250215000003,放款-应收贷款,2025-02-15 21:35:17,1
2025-02-15,1002,CR,5000.00,LOAN,LN20250215000003,放款-银行存款,2025-02-15 21:35:17,1
2025-03-21,1301,DR,4367.14,LOAN,LN20250321000001,放款-应收贷款,2025-03-21 21:35:11,1
