application_id,customer_id,model_code,score,grade,computed_at,is_test_data
AP20250429000001,C00001346,FRAUD_SCORE,279,N/A,2025-04-29 21:27:34,1
AP20250507000001,C00006202,A_SCORE,547,D,2025-05-07 13:15:29,1
AP20250507000001,C00006202,B_SCORE,577,D,2025-05-07 13:15:29,1
AP20250507000001,C00006202,FRAUD_SCORE,262,N/A,2025-05-07 13:15:29,1
AP20250618000001,C00004530,A_SCORE,733,A,2025-06-18 21:16:39,1
AP20250618000001,C00004530,B_SCORE,729,A,2025-06-18 21:16:39,1
AP20250618000001,C00004530,FRAUD_SCORE,179,N/A,2025-06-18 21:16:39,1
AP20250128000001,C00000991,A_SCORE,642,C,2025-01-28 13:13:29,1
AP20250128000001,C00000991,B_SCORE,688,B,2025-01-28 13:13:29,1
AP20250128000001,C00000991,FRAUD_SCORE,418,N/A,2025-01-28 13:13:29,1
AP20250302000001,C00002774,A_SCORE,698,B,2025-03-02 20:42:56,1
AP20250302000001,C00002774,B_SCORE,763,A,2025-03-02 20:42:56,1
AP20250302000001,C00002774,FRAUD_SCORE,0,N/A,2025-03-02 20:42:56,1
AP20250202000001,C00006917,A_SCORE,612,C,2025-02-02 12:26:48,1
AP20250202000001,C00006917,B_SCORE,536,E,2025-02-02 12:26:48,1
AP20250202000001,C00006917,FRAUD_SCORE,225,N/A,2025-02-02 12:26:48,1
AP20250208000001,C00004906,A_SCORE,687,B,2025-02-08 22:23:26,1
AP20250208000001,C00004906,B_SCORE,561,D,2025-02-08 22:23:26,1
AP20250208000001,C00004906,FRAUD_SCORE,0,N/A,2025-02-08 22:23:26,1
AP20250127000001,C00008598,A_SCORE,651,C,2025-01-27 11:43:33,1
AP20250127000001,C00008598,B_SCORE,629,C,2025-01-27 11:43:33,1
AP20250127000001,C00008598,FRAUD_SCORE,91,N/A,2025-01-27 11:43:33,1
AP20250202000002,C00001867,A_SCORE,701,B,2025-02-02 07:27:29,1
AP20250202000002,C00001867,B_SCORE,505,E,2025-02-02 07:27:29,1
AP20250202000002,C00001867,FRAUD_SCORE,13,N/A,2025-02-02 07:27:29,1
AP20250602000001,C00003613,A_SCORE,662,B,2025-06-02 13:43:18,1
AP20250602000001,C00003613,B_SCORE,686,B,2025-06-02 13:43:18,1
AP20250602000001,C00003613,FRAUD_SCORE,0,N/A,2025-06-02 13:43:18,1
AP20250201000001,C00001568,A_SCORE,718,B,2025-02-01 01:20:18,1
AP20250201000001,C00001568,B_SCORE,718,B,2025-02-01 01:20:18,1
AP20250201000001,C00001568,FRAUD_SCORE,440,N/A,2025-02-01 01:20:18,1
AP20250614000002,C00005806,A_SCORE,581,D,2025-06-14 12:22:07,1
AP20250614000002,C00005806,B_SCORE,586,D,2025-06-14 12:22:07,1
AP20250614000002,C00005806,FRAUD_SCORE,237,N/A,2025-06-14 12:22:07,1
AP20250521000001,C00001414,A_SCORE,676,B,2025-05-21 19:22:59,1
AP20250521000001,C00001414,B_SCORE,708,B,2025-05-21 19:22:59,1
AP20250521000001,C00001414,FRAUD_SCORE,322,N/A,2025-05-21 19:22:59,1
AP20250609000001,C00009393,A_SCORE,671,B,2025-06-09 21:09:27,1
AP20250609000001,C00009393,B_SCORE,749,A,2025-06-09 21:09:27,1
AP20250609000001,C00009393,FRAUD_SCORE,324,N/A,2025-06-09 21:09:27,1
AP20250210000001,C00002984,A_SCORE,681,B,2025-02-10 22:19:01,1
AP20250210000001,C00002984,B_SCORE,689,B,2025-02-10 22:19:01,1
AP20250210000001,C00002984,FRAUD_SCORE,226,N/A,2025-02-10 22:19:01,1
AP20250127000002,C00004974,A_SCORE,679,B,2025-01-27 22:33:27,1
AP20250127000002,C00004974,B_SCORE,698,B,2025-01-27 22:33:27,1
AP20250127000002,C00004974,FRAUD_SCORE,134,N/A,2025-01-27 22:33:27,1
AP20250123000001,C00006269,A_SCORE,678,B,2025-01-23 20:54:49,1
AP20250123000001,C00006269,B_SCORE,717,B,2025-01-23 20:54:49,1
AP20250123000001,C00006269,FRAUD_SCORE,219,N/A,2025-01-23 20:54:49,1
AP20250421000001,C00008922,A_SCORE,712,B,2025-04-21 10:46:48,1
AP20250421000001,C00008922,B_SCORE,759,A,2025-04-21 10:46:48,1
AP20250421000001,C00008922,FRAUD_SCORE,51,N/A,2025-04-21 10:46:48,1
AP20250401000001,C00002523,A_SCORE,642,C,2025-04-01 13:41:34,1
AP20250401000001,C00002523,B_SCORE,612,C,2025-04-01 13:41:34,1
AP20250401000001,C00002523,FRAUD_SCORE,0,N/A,2025-04-01 13:41:34,1
AP20250303000001,C00002935,A_SCORE,410,E,2025-03-03 12:30:38,1
AP20250303000001,C00002935,B_SCORE,663,B,2025-03-03 12:30:38,1
AP20250303000001,C00002935,FRAUD_SCORE,302,N/A,2025-03-03 12:30:38,1
AP20250602000002,C00003713,A_SCORE,709,B,2025-06-02 23:00:25,1
AP20250602000002,C00003713,B_SCORE,718,B,2025-06-02 23:00:25,1
AP20250602000002,C00003713,FRAUD_SCORE,239,N/A,2025-06-02 23:00:25,1
AP20250130000001,C00000504,A_SCORE,634,C,2025-01-30 22:28:29,1
AP20250130000001,C00000504,B_SCORE,680,B,2025-01-30 22:28:29,1
AP20250130000001,C00000504,FRAUD_SCORE,340,N/A,2025-01-30 22:28:29,1
AP20250201000002,C00003118,A_SCORE,634,C,2025-02-01 19:39:28,1
AP20250201000002,C00003118,B_SCORE,577,D,2025-02-01 19:39:28,1
AP20250201000002,C00003118,FRAUD_SCORE,46,N/A,2025-02-01 19:39:28,1
AP20250215000001,C00003976,A_SCORE,575,D,2025-02-15 22:06:59,1
AP20250215000001,C00003976,B_SCORE,591,D,2025-02-15 22:06:59,1
AP20250215000001,C00003976,FRAUD_SCORE,320,N/A,2025-02-15 22:06:59,1
AP20250303000002,C00005521,A_SCORE,576,D,2025-03-03 22:14:51,1
AP20250303000002,C00005521,B_SCORE,572,D,2025-03-03 22:14:51,1
AP20250303000002,C00005521,FRAUD_SCORE,250,N/A,2025-03-03 22:14:51,1
AP20250223000002,C00001790,A_SCORE,491,E,2025-02-23 20:40:15,1
AP20250223000002,C00001790,B_SCORE,635,C,2025-02-23 20:40:15,1
AP20250223000002,C00001790,FRAUD_SCORE,435,N/A,2025-02-23 20:40:15,1
AP20250401000002,C00004970,A_SCORE,652,C,2025-04-01 23:24:37,1
AP20250401000002,C00004970,B_SCORE,654,C,2025-04-01 23:24:37,1
AP20250401000002,C00004970,FRAUD_SCORE,104,N/A,2025-04-01 23:24:37,1
AP20250216000001,C00008409,A_SCORE,757,A,2025-02-16 16:27:03,1
AP20250216000001,C00008409,B_SCORE,816,A,2025-02-16 16:27:03,1
AP20250216000001,C00008409,FRAUD_SCORE,331,N/A,2025-02-16 16:27:03,1
AP20250331000001,C00006382,A_SCORE,752,A,2025-03-31 22:28:18,1
AP20250331000001,C00006382,B_SCORE,629,C,2025-03-31 22:28:18,1
AP20250331000001,C00006382,FRAUD_SCORE,428,N/A,2025-03-31 22:28:18,1
AP20250522000001,C00003075,A_SCORE,557,D,2025-05-22 11:09:33,1
AP20250522000001,C00003075,B_SCORE,518,E,2025-05-22 11:09:33,1
AP20250522000001,C00003075,FRAUD_SCORE,489,N/A,2025-05-22 11:09:33,1
AP20250626000001,C00001606,A_SCORE,738,A,2025-06-26 18:09:12,1
AP20250626000001,C00001606,B_SCORE,675,B,2025-06-26 18:09:12,1
AP20250626000001,C00001606,FRAUD_SCORE,100,N/A,2025-06-26 18:09:12,1
AP20250202000003,C00005270,A_SCORE,655,C,2025-02-02 21:14:14,1
AP20250202000003,C00005270,B_SCORE,592,D,2025-02-02 21:14:14,1
AP20250202000003,C00005270,FRAUD_SCORE,0,N/A,2025-02-02 21:14:14,1
AP20250308000001,C00003108,A_SCORE,705,B,2025-03-08 20:25:32,1
AP20250308000001,C00003108,B_SCORE,706,B,2025-03-08 20:25:32,1
AP20250308000001,C00003108,FRAUD_SCORE,185,N/A,2025-03-08 20:25:32,1
AP20250609000002,C00000590,A_SCORE,682,B,2025-06-09 19:09:05,1
AP20250609000002,C00000590,B_SCORE,591,D,2025-06-09 19:09:05,1
AP20250609000002,C00000590,FRAUD_SCORE,250,N/A,2025-06-09 19:09:05,1
AP20250527000001,C00001135,A_SCORE,688,B,2025-05-27 20:44:39,1
AP20250527000001,C00001135,B_SCORE,697,B,2025-05-27 20:44:39,1
AP20250527000001,C00001135,FRAUD_SCORE,152,N/A,2025-05-27 20:44:39,1
AP20250224000001,C00005471,A_SCORE,730,A,2025-02-24 10:06:40,1
AP20250224000001,C00005471,B_SCORE,482,E,2025-02-24 10:06:40,1
AP20250224000001,C00005471,FRAUD_SCORE,151,N/A,2025-02-24 10:06:40,1
AP20250319000001,C00008078,A_SCORE,623,C,2025-03-19 22:15:35,1
AP20250319000001,C00008078,B_SCORE,634,C,2025-03-19 22:15:35,1
AP20250319000001,C00008078,FRAUD_SCORE,507,N/A,2025-03-19 22:15:35,1
AP20250525000001,C00005848,A_SCORE,528,E,2025-05-25 12:40:47,1
AP20250525000001,C00005848,B_SCORE,622,C,2025-05-25 12:40:47,1
AP20250525000001,C00005848,FRAUD_SCORE,246,N/A,2025-05-25 12:40:47,1
AP20250616000001,C00002963,A_SCORE,547,D,2025-06-16 20:44:23,1
AP20250616000001,C00002963,B_SCORE,701,B,2025-06-16 20:44:23,1
AP20250616000001,C00002963,FRAUD_SCORE,120,N/A,2025-06-16 20:44:23,1
AP20250607000001,C00007844,A_SCORE,708,B,2025-06-07 13:51:29,1
AP20250607000001,C00007844,B_SCORE,609,C,2025-06-07 13:51:29,1
AP20250607000001,C00007844,FRAUD_SCORE,183,N/A,2025-06-07 13:51:29,1
AP20250321000001,C00006375,A_SCORE,615,C,2025-03-21 11:27:19,1
AP20250321000001,C00006375,B_SCORE,737,A,2025-03-21 11:27:19,1
AP20250321000001,C00006375,FRAUD_SCORE,162,N/A,2025-03-21 11:27:19,1
AP20250219000001,C00000982,A_SCORE,578,D,2025-02-19 13:09:55,1
AP20250219000001,C00000982,B_SCORE,617,C,2025-02-19 13:09:55,1
AP20250219000001,C00000982,FRAUD_SCORE,380,N/A,2025-02-19 13:09:55,1
AP20250222000001,C00000925,A_SCORE,600,C,2025-02-22 16:57:49,1
AP20250222000001,C00000925,B_SCORE,626,C,2025-02-22 16:57:49,1
AP20250222000001,C00000925,FRAUD_SCORE,108,N/A,2025-02-22 16:57:49,1
AP20250331000002,C00008190,A_SCORE,580,D,2025-03-31 10:17:38,1
AP20250331000002,C00008190,B_SCORE,535,E,2025-03-31 10:17:38,1
AP20250331000002,C00008190,FRAUD_SCORE,308,N/A,2025-03-31 10:17:38,1
AP20250309000001,C00000852,A_SCORE,579,D,2025-03-09 22:30:18,1
AP20250309000001,C00000852,B_SCORE,515,E,2025-03-09 22:30:18,1
AP20250309000001,C00000852,FRAUD_SCORE,214,N/A,2025-03-09 22:30:18,1
AP20250226000001,C00008099,A_SCORE,676,B,2025-02-26 14:00:28,1
AP20250226000001,C00008099,B_SCORE,507,E,2025-02-26 14:00:28,1
AP20250226000001,C00008099,FRAUD_SCORE,285,N/A,2025-02-26 14:00:28,1
AP20250422000001,C00002485,A_SCORE,654,C,2025-04-22 12:34:02,1
AP20250422000001,C00002485,B_SCORE,625,C,2025-04-22 12:34:02,1
AP20250422000001,C00002485,FRAUD_SCORE,108,N/A,2025-04-22 12:34:02,1
AP20250223000003,C00007599,A_SCORE,543,D,2025-02-23 14:04:52,1
AP20250223000003,C00007599,B_SCORE,526,E,2025-02-23 14:04:52,1
AP20250223000003,C00007599,FRAUD_SCORE,0,N/A,2025-02-23 14:04:52,1
AP20250128000002,C00002994,A_SCORE,766,A,2025-01-28 12:38:23,1
AP20250128000002,C00002994,B_SCORE,716,B,2025-01-28 12:38:23,1
AP20250128000002,C00002994,FRAUD_SCORE,109,N/A,2025-01-28 12:38:23,1
AP20250526000001,C00007595,A_SCORE,571,D,2025-05-26 20:16:36,1
AP20250526000001,C00007595,B_SCORE,569,D,2025-05-26 20:16:36,1
AP20250526000001,C00007595,FRAUD_SCORE,270,N/A,2025-05-26 20:16:36,1
AP20250215000002,C00005290,A_SCORE,809,A,2025-02-15 18:00:16,1
AP20250215000002,C00005290,B_SCORE,665,B,2025-02-15 18:00:16,1
AP20250215000002,C00005290,FRAUD_SCORE,324,N/A,2025-02-15 18:00:16,1
AP20250223000004,C00006108,A_SCORE,749,A,2025-02-23 17:21:34,1
AP20250223000004,C00006108,B_SCORE,817,A,2025-02-23 17:21:34,1
AP20250223000004,C00006108,FRAUD_SCORE,253,N/A,2025-02-23 17:21:34,1
AP20250424000001,C00006856,A_SCORE,701,B,2025-04-24 12:53:10,1
AP20250424000001,C00006856,B_SCORE,632,C,2025-04-24 12:53:10,1
AP20250424000001,C00006856,FRAUD_SCORE,0,N/A,2025-04-24 12:53:10,1
AP20250124000001,C00002906,A_SCORE,756,A,2025-01-24 18:29:03,1
AP20250124000001,C00002906,B_SCORE,703,B,2025-01-24 18:29:03,1
AP20250124000001,C00002906,FRAUD_SCORE,320,N/A,2025-01-24 18:29:03,1
AP20250518000001,C00000187,A_SCORE,741,A,2025-05-18 12:52:38,1
AP20250518000001,C00000187,B_SCORE,637,C,2025-05-18 12:52:38,1
AP20250518000001,C00000187,FRAUD_SCORE,222,N/A,2025-05-18 12:52:38,1
AP20250221000001,C00009060,A_SCORE,651,C,2025-02-21 16:26:20,1
AP20250221000001,C00009060,B_SCORE,646,C,2025-02-21 16:26:20,1
AP20250221000001,C00009060,FRAUD_SCORE,64,N/A,2025-02-21 16:26:20,1
AP20250221000002,C00001580,A_SCORE,604,C,2025-02-21 12:12:23,1
AP20250221000002,C00001580,B_SCORE,646,C,2025-02-21 12:12:23,1
AP20250221000002,C00001580,FRAUD_SCORE,0,N/A,2025-02-21 12:12:23,1
AP20250301000001,C00000675,A_SCORE,625,C,2025-03-01 21:37:50,1
AP20250301000001,C00000675,B_SCORE,676,B,2025-03-01 21:37:50,1
AP20250301000001,C00000675,FRAUD_SCORE,63,N/A,2025-03-01 21:37:50,1
AP20250125000001,C00006543,A_SCORE,654,C,2025-01-25 21:26:14,1
AP20250125000001,C00006543,B_SCORE,647,C,2025-01-25 21:26:14,1
AP20250125000001,C00006543,FRAUD_SCORE,230,N/A,2025-01-25 21:26:14,1
AP20250328000001,C00008484,A_SCORE,542,D,2025-03-29 00:09:48,1
AP20250328000001,C00008484,B_SCORE,656,C,2025-03-29 00:09:48,1
AP20250328000001,C00008484,FRAUD_SCORE,204,N/A,2025-03-29 00:09:48,1
AP20250202000004,C00004105,A_SCORE,590,D,2025-02-02 08:29:08,1
AP20250202000004,C00004105,B_SCORE,677,B,2025-02-02 08:29:08,1
AP20250202000004,C00004105,FRAUD_SCORE,0,N/A,2025-02-02 08:29:08,1
AP20250202000005,C00008316,A_SCORE,722,A,2025-02-02 23:47:49,1
AP20250202000005,C00008316,B_SCORE,755,A,2025-02-02 23:47:49,1
AP20250202000005,C00008316,FRAUD_SCORE,168,N/A,2025-02-02 23:47:49,1
AP20250422000002,C00007025,A_SCORE,625,C,2025-04-22 13:42:44,1
AP20250422000002,C00007025,B_SCORE,749,A,2025-04-22 13:42:44,1
AP20250422000002,C00007025,FRAUD_SCORE,171,N/A,2025-04-22 13:42:44,1
AP20250502000001,C00002173,A_SCORE,610,C,2025-05-02 12:38:14,1
AP20250502000001,C00002173,B_SCORE,706,B,2025-05-02 12:38:14,1
AP20250502000001,C00002173,FRAUD_SCORE,408,N/A,2025-05-02 12:38:14,1
AP20250510000001,C00007593,A_SCORE,630,C,2025-05-10 21:56:38,1
AP20250510000001,C00007593,B_SCORE,687,B,2025-05-10 21:56:38,1
AP20250510000001,C00007593,FRAUD_SCORE,375,N/A,2025-05-10 21:56:38,1
AP20250611000001,C00006697,A_SCORE,751,A,2025-06-11 12:53:57,1
AP20250611000001,C00006697,B_SCORE,552,D,2025-06-11 12:53:57,1
AP20250611000001,C00006697,FRAUD_SCORE,291,N/A,2025-06-11 12:53:57,1
AP20250126000001,C00001231,A_SCORE,769,A,2025-01-26 20:39:49,1
AP20250126000001,C00001231,B_SCORE,733,A,2025-01-26 20:39:49,1
AP20250126000001,C00001231,FRAUD_SCORE,198,N/A,2025-01-26 20:39:49,1
AP20250318000001,C00008234,A_SCORE,706,B,2025-03-18 12:50:23,1
AP20250318000001,C00008234,B_SCORE,749,A,2025-03-18 12:50:23,1
AP20250318000001,C00008234,FRAUD_SCORE,326,N/A,2025-03-18 12:50:23,1
AP20250413000001,C00004252,A_SCORE,660,B,2025-04-13 22:33:17,1
AP20250413000001,C00004252,B_SCORE,678,B,2025-04-13 22:33:17,1
AP20250413000001,C00004252,FRAUD_SCORE,339,N/A,2025-04-13 22:33:17,1
AP20250201000003,C00001344,A_SCORE,743,A,2025-02-01 23:02:46,1
AP20250201000003,C00001344,B_SCORE,630,C,2025-02-01 23:02:46,1
AP20250201000003,C00001344,FRAUD_SCORE,49,N/A,2025-02-01 23:02:46,1
AP20250211000001,C00000217,A_SCORE,674,B,2025-02-11 10:21:02,1
AP20250211000001,C00000217,B_SCORE,600,C,2025-02-11 10:21:02,1
AP20250211000001,C00000217,FRAUD_SCORE,313,N/A,2025-02-11 10:21:02,1
AP20250203000001,C00000359,A_SCORE,547,D,2025-02-03 12:14:07,1
AP20250203000001,C00000359,B_SCORE,547,D,2025-02-03 12:14:07,1
AP20250203000001,C00000359,FRAUD_SCORE,246,N/A,2025-02-03 12:14:07,1
AP20250531000001,C00006028,A_SCORE,670,B,2025-05-31 19:21:59,1
AP20250531000001,C00006028,B_SCORE,706,B,2025-05-31 19:21:59,1
AP20250531000001,C00006028,FRAUD_SCORE,463,N/A,2025-05-31 19:21:59,1
AP20250309000002,C00000962,A_SCORE,691,B,2025-03-09 10:08:45,1
AP20250309000002,C00000962,B_SCORE,672,B,2025-03-09 10:08:45,1
AP20250309000002,C00000962,FRAUD_SCORE,380,N/A,2025-03-09 10:08:45,1
AP20250310000001,C00002438,A_SCORE,627,C,2025-03-10 23:02:29,1
AP20250310000001,C00002438,B_SCORE,600,C,2025-03-10 23:02:29,1
AP20250310000001,C00002438,FRAUD_SCORE,202,N/A,2025-03-10 23:02:29,1
AP20250312000001,C00002823,A_SCORE,701,B,2025-03-12 20:44:07,1
AP20250312000001,C00002823,B_SCORE,632,C,2025-03-12 20:44:07,1
AP20250312000001,C00002823,FRAUD_SCORE,469,N/A,2025-03-12 20:44:07,1
AP20250423000001,C00002677,A_SCORE,597,D,2025-04-23 21:56:56,1
AP20250423000001,C00002677,B_SCORE,619,C,2025-04-23 21:56:56,1
AP20250423000001,C00002677,FRAUD_SCORE,0,N/A,2025-04-23 21:56:56,1
AP20250309000003,C00002232,A_SCORE,653,C,2025-03-09 12:08:37,1
AP20250309000003,C00002232,B_SCORE,635,C,2025-03-09 12:08:37,1
AP20250309000003,C00002232,FRAUD_SCORE,249,N/A,2025-03-09 12:08:37,1
AP20250226000002,C00004454,A_SCORE,738,A,2025-02-26 20:26:20,1
AP20250226000002,C00004454,B_SCORE,659,C,2025-02-26 20:26:20,1
AP20250226000002,C00004454,FRAUD_SCORE,21,N/A,2025-02-26 20:26:20,1
AP20250202000006,C00006958,A_SCORE,671,B,2025-02-02 13:02:11,1
AP20250202000006,C00006958,B_SCORE,579,D,2025-02-02 13:02:11,1
AP20250202000006,C00006958,FRAUD_SCORE,511,N/A,2025-02-02 13:02:11,1
AP20250522000002,C00008224,A_SCORE,526,E,2025-05-22 13:53:18,1
AP20250522000002,C00008224,B_SCORE,575,D,2025-05-22 13:53:18,1
AP20250522000002,C00008224,FRAUD_SCORE,40,N/A,2025-05-22 13:53:18,1
AP20250429000002,C00004548,A_SCORE,786,A,2025-04-29 22:46:23,1
AP20250429000002,C00004548,B_SCORE,598,D,2025-04-29 22:46:23,1
AP20250429000002,C00004548,FRAUD_SCORE,204,N/A,2025-04-29 22:46:23,1
AP20250317000001,C00008332,A_SCORE,626,C,2025-03-17 18:36:33,1
AP20250317000001,C00008332,B_SCORE,756,A,2025-03-17 18:36:33,1
AP20250317000001,C00008332,FRAUD_SCORE,339,N/A,2025-03-17 18:36:33,1
AP20250117000001,C00006144,A_SCORE,715,B,2025-01-17 20:09:19,1
AP20250117000001,C00006144,B_SCORE,685,B,2025-01-17 20:09:19,1
AP20250117000001,C00006144,FRAUD_SCORE,622,N/A,2025-01-17 20:09:19,1
AP20250211000002,C00004766,A_SCORE,632,C,2025-02-11 14:04:16,1
AP20250211000002,C00004766,B_SCORE,576,D,2025-02-11 14:04:16,1
AP20250211000002,C00004766,FRAUD_SCORE,129,N/A,2025-02-11 14:04:16,1
AP20250309000004,C00004493,A_SCORE,703,B,2025-03-09 12:45:34,1
AP20250309000004,C00004493,B_SCORE,781,A,2025-03-09 12:45:34,1
AP20250309000004,C00004493,FRAUD_SCORE,256,N/A,2025-03-09 12:45:34,1
AP20250211000003,C00001139,A_SCORE,844,A,2025-02-11 08:47:43,1
AP20250211000003,C00001139,B_SCORE,704,B,2025-02-11 08:47:43,1
AP20250211000003,C00001139,FRAUD_SCORE,231,N/A,2025-02-11 08:47:43,1
AP20250524000001,C00003009,A_SCORE,651,C,2025-05-24 09:58:42,1
AP20250524000001,C00003009,B_SCORE,606,C,2025-05-24 09:58:42,1
AP20250524000001,C00003009,FRAUD_SCORE,168,N/A,2025-05-24 09:58:42,1
AP20250110000001,C00006358,A_SCORE,773,A,2025-01-10 23:06:59,1
AP20250110000001,C00006358,B_SCORE,610,C,2025-01-10 23:06:59,1
AP20250110000001,C00006358,FRAUD_SCORE,479,N/A,2025-01-10 23:06:59,1
AP20250430000001,C00006147,A_SCORE,534,E,2025-04-30 12:21:14,1
AP20250430000001,C00006147,B_SCORE,741,A,2025-04-30 12:21:14,1
AP20250430000001,C00006147,FRAUD_SCORE,165,N/A,2025-04-30 12:21:14,1
AP20250214000001,C00004268,A_SCORE,614,C,2025-02-14 22:37:23,1
AP20250214000001,C00004268,B_SCORE,706,B,2025-02-14 22:37:23,1
AP20250214000001,C00004268,FRAUD_SCORE,0,N/A,2025-02-14 22:37:23,1
AP20250516000001,C00007186,A_SCORE,590,D,2025-05-16 12:04:59,1
AP20250516000001,C00007186,B_SCORE,747,A,2025-05-16 12:04:59,1
AP20250516000001,C00007186,FRAUD_SCORE,24,N/A,2025-05-16 12:04:59,1
AP20250115000001,C00004496,A_SCORE,649,C,2025-01-15 15:16:06,1
AP20250115000001,C00004496,B_SCORE,817,A,2025-01-15 15:16:06,1
AP20250115000001,C00004496,FRAUD_SCORE,145,N/A,2025-01-15 15:16:06,1
AP20250302000002,C00001926,A_SCORE,693,B,2025-03-02 20:03:41,1
AP20250302000002,C00001926,B_SCORE,620,C,2025-03-02 20:03:41,1
AP20250302000002,C00001926,FRAUD_SCORE,351,N/A,2025-03-02 20:03:41,1
AP20250224000002,C00008103,A_SCORE,699,B,2025-02-24 18:01:31,1
AP20250224000002,C00008103,B_SCORE,599,D,2025-02-24 18:01:31,1
AP20250224000002,C00008103,FRAUD_SCORE,176,N/A,2025-02-24 18:01:31,1
AP20250328000002,C00006564,A_SCORE,496,E,2025-03-28 11:26:04,1
AP20250328000002,C00006564,B_SCORE,446,E,2025-03-28 11:26:04,1
AP20250328000002,C00006564,FRAUD_SCORE,174,N/A,2025-03-28 11:26:04,1
AP20250221000003,C00009704,A_SCORE,555,D,2025-02-21 20:43:51,1
AP20250221000003,C00009704,B_SCORE,581,D,2025-02-21 20:43:51,1
AP20250221000003,C00009704,FRAUD_SCORE,393,N/A,2025-02-21 20:43:51,1
AP20250304000001,C00007939,A_SCORE,506,E,2025-03-04 19:45:11,1
AP20250304000001,C00007939,B_SCORE,714,B,2025-03-04 19:45:11,1
AP20250304000001,C00007939,FRAUD_SCORE,44,N/A,2025-03-04 19:45:11,1
AP20250120000001,C00005078,A_SCORE,817,A,2025-01-20 13:06:38,1
AP20250120000001,C00005078,B_SCORE,685,B,2025-01-20 13:06:38,1
AP20250120000001,C00005078,FRAUD_SCORE,181,N/A,2025-01-20 13:06:38,1
AP20250531000002,C00004767,A_SCORE,665,B,2025-05-31 13:43:37,1
AP20250531000002,C00004767,B_SCORE,568,D,2025-05-31 13:43:37,1
AP20250531000002,C00004767,FRAUD_SCORE,568,N/A,2025-05-31 13:43:37,1
AP20250318000002,C00008042,A_SCORE,667,B,2025-03-18 03:00:59,1
AP20250318000002,C00008042,B_SCORE,622,C,2025-03-18 03:00:59,1
AP20250318000002,C00008042,FRAUD_SCORE,298,N/A,2025-03-18 03:00:59,1
AP20250304000002,C00002465,A_SCORE,635,C,2025-03-04 14:54:37,1
AP20250304000002,C00002465,B_SCORE,598,D,2025-03-04 14:54:37,1
AP20250304000002,C00002465,FRAUD_SCORE,260,N/A,2025-03-04 14:54:37,1
AP20250506000002,C00009016,A_SCORE,501,E,2025-05-06 20:46:10,1
AP20250506000002,C00009016,B_SCORE,632,C,2025-05-06 20:46:10,1
AP20250506000002,C00009016,FRAUD_SCORE,155,N/A,2025-05-06 20:46:10,1
AP20250623000001,C00009470,A_SCORE,742,A,2025-06-23 10:51:53,1
AP20250623000001,C00009470,B_SCORE,553,D,2025-06-23 10:51:53,1
AP20250623000001,C00009470,FRAUD_SCORE,193,N/A,2025-06-23 10:51:53,1
AP20250523000002,C00009036,A_SCORE,586,D,2025-05-23 13:51:22,1
AP20250523000002,C00009036,B_SCORE,596,D,2025-05-23 13:51:22,1
AP20250523000002,C00009036,FRAUD_SCORE,234,N/A,2025-05-23 13:51:22,1
AP20250217000001,C00003603,A_SCORE,646,C,2025-02-17 22:15:36,1
