application_id,customer_id,decision,reject_reasons,approve_amount,approve_apr,approve_term,decided_at,decision_ver,is_test_data
AP20250219000001,C00000982,REJECT,R008,\N,\N,\N,2025-02-19 13:14:07,v1,1
AP20250222000001,C00000925,REJECT,R006,\N,\N,\N,2025-02-22 17:01:43,v1,1
AP20250331000002,C00008190,REJECT,R006,\N,\N,\N,2025-03-31 10:18:26,v1,1
AP20250309000001,C00000852,REJECT,R006,\N,\N,\N,2025-03-09 22:32:24,v1,1
AP20250226000001,C00008099,REJECT,R006,\N,\N,\N,2025-02-26 14:01:08,v1,1
AP20250422000001,C00002485,APPROVE,\N,5000.00,0.21,3,2025-04-22 12:36:13,v1,1
AP20250223000003,C00007599,REJECT,"R009,R006",\N,\N,\N,2025-02-23 14:06:00,v1,1
AP20250128000002,C00002994,APPROVE,\N,42037.38,0.15,12,2025-01-28 12:39:34,v1,1
AP20250526000001,C00007595,REJECT,R006,\N,\N,\N,2025-05-26 20:19:18,v1,1
AP20250215000002,C00005290,APPROVE,\N,15000.00,0.15,3,2025-02-15 18:04:22,v1,1
AP20250223000004,C00006108,APPROVE,\N,30000.00,0.12,36,2025-02-23 17:23:01,v1,1
AP20250424000001,C00006856,REJECT,R004,\N,\N,\N,2025-04-24 12:57:23,v1,1
AP20250124000001,C00002906,APPROVE,\N,1000.00,0.14,36,2025-01-24 18:33:37,v1,1
AP20250518000001,C00000187,APPROVE,\N,8000.00,0.18,18,2025-05-18 12:55:30,v1,1
AP20250221000001,C00009060,APPROVE,\N,15000.00,0.20,12,2025-02-21 16:27:35,v1,1
AP20250221000002,C00001580,APPROVE,\N,26918.81,0.21,18,2025-02-21 12:16:57,v1,1
AP20250301000001,C00000675,APPROVE,\N,43678.35,0.16,36,2025-03-01 21:40:40,v1,1
AP20250125000001,C00006543,REJECT,"R008,R006",\N,\N,\N,2025-01-25 21:29:35,v1,1
AP20250328000001,C00008484,REJECT,"R006,R008",\N,\N,\N,2025-03-29 00:11:56,v1,1
AP20250202000004,C00004105,APPROVE,\N,2000.00,0.14,24,2025-02-02 08:32:56,v1,1
AP20250202000005,C00008316,REJECT,R008,\N,\N,\N,2025-02-02 23:51:11,v1,1
AP20250422000002,C00007025,APPROVE,\N,10000.00,0.13,6,2025-04-22 13:46:11,v1,1
AP20250502000001,C00002173,APPROVE,\N,57139.94,0.16,12,2025-05-02 12:41:10,v1,1
AP20250510000001,C00007593,APPROVE,\N,10000.00,0.17,12,2025-05-10 22:01:17,v1,1
AP20250611000001,C00006697,REJECT,R006,\N,\N,\N,2025-06-11 12:56:40,v1,1
AP20250126000001,C00001231,REJECT,R004,\N,\N,\N,2025-01-26 20:44:35,v1,1
AP20250318000001,C00008234,APPROVE,\N,41984.58,0.11,24,2025-03-18 12:54:27,v1,1
AP20250413000001,C00004252,REJECT,R006,\N,\N,\N,2025-04-13 22:35:33,v1,1
AP20250201000003,C00001344,REJECT,R006,\N,\N,\N,2025-02-01 23:07:13,v1,1
AP20250211000001,C00000217,REJECT,R009,\N,\N,\N,2025-02-11 10:23:20,v1,1
AP20250203000001,C00000359,REJECT,"R009,R006",\N,\N,\N,2025-02-03 12:17:05,v1,1
AP20250531000001,C00006028,APPROVE,\N,30000.00,0.16,12,2025-05-31 19:23:21,v1,1
AP20250309000002,C00000962,APPROVE,\N,15000.00,0.17,6,2025-03-09 10:12:01,v1,1
AP20250310000001,C00002438,APPROVE,\N,5000.00,0.19,24,2025-03-10 23:06:40,v1,1
AP20250312000001,C00002823,APPROVE,\N,20000.00,0.19,12,2025-03-12 20:48:16,v1,1
AP20250423000001,C00002677,APPROVE,\N,29630.70,0.18,3,2025-04-23 21:58:15,v1,1
AP20250309000003,C00002232,REJECT,R006,\N,\N,\N,2025-03-09 12:10:46,v1,1
AP20250226000002,C00004454,APPROVE,\N,15000.00,0.20,12,2025-02-26 20:28:20,v1,1
AP20250202000006,C00006958,APPROVE,\N,7696.62,0.22,24,2025-02-02 13:06:45,v1,1
AP20250522000002,C00008224,REJECT,"R006,R006",\N,\N,\N,2025-05-22 13:54:18,v1,1
AP20250429000002,C00004548,REJECT,R006,\N,\N,\N,2025-04-29 22:48:41,v1,1
AP20250317000001,C00008332,APPROVE,\N,5000.00,0.11,24,2025-03-17 18:40:02,v1,1
AP20250117000001,C00006144,APPROVE,\N,2000.00,0.18,18,2025-01-17 20:13:49,v1,1
AP20250211000002,C00004766,REJECT,R006,\N,\N,\N,2025-02-11 14:06:16,v1,1
AP20250309000004,C00004493,REJECT,R008,\N,\N,\N,2025-03-09 12:47:21,v1,1
AP20250211000003,C00001139,APPROVE,\N,15000.00,0.16,6,2025-02-11 08:48:39,v1,1
AP20250524000001,C00003009,APPROVE,\N,29247.78,0.20,36,2025-05-24 10:01:51,v1,1
AP20250110000001,C00006358,REJECT,R006,\N,\N,\N,2025-01-10 23:09:14,v1,1
AP20250430000001,C00006147,REJECT,R006,\N,\N,\N,2025-04-30 12:24:54,v1,1
AP20250214000001,C00004268,APPROVE,\N,1000.00,0.16,3,2025-02-14 22:38:38,v1,1
AP20250516000001,C00007186,APPROVE,\N,5000.00,0.14,6,2025-05-16 12:09:17,v1,1
AP20250115000001,C00004496,APPROVE,\N,50000.00,0.10,6,2025-01-15 15:18:23,v1,1
AP20250302000002,C00001926,APPROVE,\N,22823.20,0.22,18,2025-03-02 20:04:36,v1,1
AP20250224000002,C00008103,APPROVE,\N,7189.22,0.24,6,2025-02-24 18:03:56,v1,1
AP20250328000002,C00006564,REJECT,"R009,R006,R006",\N,\N,\N,2025-03-28 11:30:35,v1,1
AP20250221000003,C00009704,APPROVE,\N,9631.18,0.24,6,2025-02-21 20:44:54,v1,1
AP20250304000001,C00007939,REJECT,R006,\N,\N,\N,2025-03-04 19:48:51,v1,1
AP20250120000001,C00005078,REJECT,R006,\N,\N,\N,2025-01-20 13:11:03,v1,1
AP20250531000002,C00004767,REJECT,"R009,R006",\N,\N,\N,2025-05-31 13:45:32,v1,1
AP20250318000002,C00008042,APPROVE,\N,1000.00,0.18,12,2025-03-18 03:05:35,v1,1
AP20250304000002,C00002465,REJECT,R006,\N,\N,\N,2025-03-04 14:55:51,v1,1
AP20250506000002,C00009016,REJECT,"R009,R006",\N,\N,\N,2025-05-06 20:49:49,v1,1
AP20250623000001,C00009470,APPROVE,\N,1000.00,0.23,3,2025-06-23 10:52:37,v1,1
AP20250523000002,C00009036,APPROVE,\N,7019.56,0.24,18,2025-05-23 13:52:40,v1,1
AP20250217000001,C00003603,APPROVE,\N,42710.86,0.11,12,2025-02-17 22:18:41,v1,1
AP20250123000002,C00004450,APPROVE,\N,44610.40,0.16,36,2025-01-23 22:10:11,v1,1
AP20250306000001,C00005495,REJECT,R007,\N,\N,\N,2025-03-06 12:51:08,v1,1
AP20250218000001,C00008406,REJECT,R006,\N,\N,\N,2025-02-18 14:06:43,v1,1
AP20250624000001,C00006805,REJECT,"R009,R006,R006",\N,\N,\N,2025-06-24 21:16:47,v1,1
AP20250513000001,C00007970,APPROVE,\N,5000.00,0.10,36,2025-05-13 11:58:46,v1,1
AP20250215000003,C00008657,APPROVE,\N,1000.00,0.20,12,2025-02-15 21:14:01,v1,1
AP20250302000003,C00000948,REJECT,R008,\N,\N,\N,2025-03-02 21:15:58,v1,1
AP20250419000001,C00002583,APPROVE,\N,10000.00,0.22,12,2025-04-19 23:00:37,v1,1
AP20250217000002,C00006159,REJECT,R007,\N,\N,\N,2025-02-17 20:40:29,v1,1
AP20250331000003,C00001806,APPROVE,\N,2000.00,0.23,12,2025-03-31 12:33:08,v1,1
AP20250317000002,C00007187,APPROVE,\N,10000.00,0.22,18,2025-03-17 02:53:37,v1,1
AP20250315000001,C00009541,REJECT,R006,\N,\N,\N,2025-03-15 22:20:19,v1,1
AP20250213000001,C00009034,APPROVE,\N,44118.83,0.17,6,2025-02-13 20:56:05,v1,1
AP20250216000002,C00007071,REJECT,R006,\N,\N,\N,2025-02-16 21:06:37,v1,1
AP20250522000003,C00004756,APPROVE,\N,1000.00,0.16,24,2025-05-22 14:17:39,v1,1
AP20250520000001,C00001093,REJECT,R004,\N,\N,\N,2025-05-21 12:05:16,v1,1
AP20250526000002,C00008747,APPROVE,\N,5000.00,0.23,6,2025-05-26 16:57:25,v1,1
AP20250324000001,C00004757,REJECT,R008,\N,\N,\N,2025-03-24 23:45:47,v1,1
AP20250620000001,C00003868,APPROVE,\N,2000.00,0.24,24,2025-06-20 20:23:49,v1,1
AP20250217000003,C00002885,REJECT,R008,\N,\N,\N,2025-02-17 15:25:11,v1,1
AP20250310000002,C00008296,REJECT,R006,\N,\N,\N,2025-03-10 12:36:26,v1,1
AP20250228000001,C00007380,APPROVE,\N,2000.00,0.16,36,2025-02-28 21:47:56,v1,1
AP20250331000004,C00000289,APPROVE,\N,8000.00,0.13,6,2025-03-31 02:42:22,v1,1
AP20250307000001,C00009690,APPROVE,\N,30000.00,0.16,36,2025-03-07 20:52:52,v1,1
AP20250221000004,C00006539,REJECT,R008,\N,\N,\N,2025-02-21 21:10:06,v1,1
AP20250520000002,C00003596,APPROVE,\N,41034.40,0.11,24,2025-05-20 13:29:17,v1,1
AP20250227000001,C00006433,APPROVE,\N,30000.00,0.17,18,2025-02-27 21:17:51,v1,1
AP20250409000001,C00003806,APPROVE,\N,10000.00,0.13,12,2025-04-09 13:27:47,v1,1
AP20250608000001,C00005866,REJECT,R008,\N,\N,\N,2025-06-08 15:39:57,v1,1
AP20250128000003,C00001830,REJECT,R009,\N,\N,\N,2025-01-28 16:29:06,v1,1
AP20250227000002,C00005992,REJECT,R008,\N,\N,\N,2025-02-27 17:25:17,v1,1
AP20250520000003,C00003771,REJECT,R006,\N,\N,\N,2025-05-20 13:10:51,v1,1
AP20250626000002,C00008312,REJECT,R006,\N,\N,\N,2025-06-26 20:09:48,v1,1
AP20250213000002,C00004482,REJECT,R006,\N,\N,\N,2025-02-13 20:49:53,v1,1
AP20250129000001,C00001104,REJECT,R006,\N,\N,\N,2025-01-29 21:14:39,v1,1
AP20250509000001,C00008088,APPROVE,\N,1000.00,0.16,12,2025-05-09 20:44:15,v1,1
AP20250115000002,C00003289,APPROVE,\N,20000.00,0.19,6,2025-01-15 11:22:38,v1,1
AP20250310000003,C00004267,APPROVE,\N,8296.62,0.23,12,2025-03-10 11:48:02,v1,1
AP20250130000002,C00008931,APPROVE,\N,8000.00,0.18,24,2025-01-30 13:33:09,v1,1
AP20250202000007,C00000571,REJECT,R006,\N,\N,\N,2025-02-02 08:01:00,v1,1
AP20250510000002,C00003910,APPROVE,\N,15000.00,0.16,3,2025-05-10 20:27:41,v1,1
AP20250209000001,C00000947,REJECT,R009,\N,\N,\N,2025-02-09 20:48:37,v1,1
AP20250114000001,C00000672,REJECT,R007,\N,\N,\N,2025-01-14 22:18:31,v1,1
AP20250203000002,C00006553,REJECT,R006,\N,\N,\N,2025-02-03 20:54:13,v1,1
AP20250303000003,C00007401,REJECT,"R009,R004",\N,\N,\N,2025-03-03 22:26:13,v1,1
AP20250618000002,C00009233,APPROVE,\N,30000.00,0.11,18,2025-06-19 01:50:37,v1,1
AP20250403000001,C00003459,APPROVE,\N,28151.36,0.21,18,2025-04-03 13:36:24,v1,1
AP20250525000002,C00002493,APPROVE,\N,30000.00,0.16,3,2025-05-25 12:55:49,v1,1
AP20250620000002,C00005277,APPROVE,\N,2000.00,0.21,36,2025-06-20 20:17:34,v1,1
AP20250304000003,C00006130,APPROVE,\N,5000.00,0.10,3,2025-03-04 18:39:01,v1,1
AP20250501000001,C00000745,REJECT,R006,\N,\N,\N,2025-05-01 07:50:36,v1,1
AP20250320000001,C00003763,APPROVE,\N,2000.00,0.13,36,2025-03-20 22:41:42,v1,1
AP20250228000002,C00005617,APPROVE,\N,8000.00,0.11,36,2025-02-28 00:59:22,v1,1
AP20250525000003,C00002358,APPROVE,\N,15000.00,0.21,6,2025-05-25 12:30:56,v1,1
AP20250205000001,C00002826,REJECT,R006,\N,\N,\N,2025-02-05 13:21:54,v1,1
AP20250319000002,C00004299,REJECT,"R009,R006,R008",\N,\N,\N,2025-03-19 13:00:39,v1,1
AP20250228000003,C00005367,APPROVE,\N,2000.00,0.14,18,2025-02-28 16:40:42,v1,1
AP20250330000002,C00000178,APPROVE,\N,29708.74,0.18,36,2025-03-30 20:44:05,v1,1
AP20250227000003,C00004772,APPROVE,\N,2000.00,0.20,12,2025-02-27 22:38:23,v1,1
AP20250508000002,C00005340,REJECT,R008,\N,\N,\N,2025-05-08 21:17:21,v1,1
AP20250219000002,C00007592,APPROVE,\N,55912.73,0.15,24,2025-02-19 08:09:54,v1,1
AP20250219000003,C00008914,REJECT,"R006,R006",\N,\N,\N,2025-02-19 13:13:36,v1,1
AP20250123000003,C00003163,REJECT,R006,\N,\N,\N,2025-01-23 17:06:49,v1,1
AP20250526000003,C00001499,REJECT,R009,\N,\N,\N,2025-05-26 20:59:19,v1,1
AP20250613000001,C00007501,REJECT,"R009,R006,R004",\N,\N,\N,2025-06-13 22:09:40,v1,1
AP20250528000001,C00000209,APPROVE,\N,50000.00,0.10,3,2025-05-28 21:07:32,v1,1
AP20250209000002,C00008963,APPROVE,\N,20000.00,0.20,36,2025-02-09 20:21:54,v1,1
AP20250507000002,C00009063,REJECT,R006,\N,\N,\N,2025-05-07 12:24:15,v1,1
AP20250115000003,C00004707,APPROVE,\N,28028.37,0.21,12,2025-01-15 12:24:57,v1,1
AP20250401000003,C00004888,REJECT,R008,\N,\N,\N,2025-04-01 12:08:04,v1,1
AP20250228000004,C00009035,APPROVE,\N,7613.20,0.24,36,2025-02-28 23:03:32,v1,1
AP20250306000002,C00003657,APPROVE,\N,10000.00,0.17,3,2025-03-06 13:09:54,v1,1
AP20250518000002,C00001143,REJECT,R006,\N,\N,\N,2025-05-18 13:59:16,v1,1
AP20250201000004,C00005906,REJECT,"R009,R006",\N,\N,\N,2025-02-01 09:30:18,v1,1
AP20250315000002,C00008796,APPROVE,\N,10000.00,0.13,12,2025-03-15 13:19:46,v1,1
AP20250501000002,C00001098,REJECT,R008,\N,\N,\N,2025-05-01 21:53:31,v1,1
AP20250514000001,C00003408,REJECT,R008,\N,\N,\N,2025-05-14 22:20:05,v1,1
AP20250218000002,C00002838,APPROVE,\N,50000.00,0.14,6,2025-02-18 17:41:47,v1,1
AP20250206000001,C00003854,REJECT,R006,\N,\N,\N,2025-02-06 08:50:10,v1,1
AP20250227000004,C00009665,REJECT,"R006,R006",\N,\N,\N,2025-02-27 22:50:35,v1,1
AP20250204000001,C00003256,APPROVE,\N,4806.07,0.24,24,2025-02-04 12:50:20,v1,1
AP20250602000003,C00002572,REJECT,R006,\N,\N,\N,2025-06-02 14:03:43,v1,1
AP20250119000001,C00009727,REJECT,R008,\N,\N,\N,2025-01-19 12:08:40,v1,1
AP20250217000004,C00003559,REJECT,R006,\N,\N,\N,2025-02-17 21:36:02,v1,1
AP20250303000004,C00003044,REJECT,"R006,R004",\N,\N,\N,2025-03-03 07:30:16,v1,1
AP20250218000003,C00008850,APPROVE,\N,22140.54,0.19,3,2025-02-18 10:20:23,v1,1
AP20250311000001,C00009402,APPROVE,\N,36494.81,0.18,3,2025-03-11 12:21:08,v1,1
AP20250315000003,C00007700,REJECT,R006,\N,\N,\N,2025-03-15 19:10:23,v1,1
AP20250210000002,C00009462,REJECT,R009,\N,\N,\N,2025-02-10 20:39:41,v1,1
AP20250209000003,C00005983,APPROVE,\N,15000.00,0.16,36,2025-02-09 12:35:10,v1,1
AP20250124000002,C00006760,APPROVE,\N,8357.45,0.24,12,2025-01-24 11:54:27,v1,1
AP20250512000001,C00001684,APPROVE,\N,9142.88,0.24,3,2025-05-12 09:15:55,v1,1
AP20250317000003,C00008662,REJECT,R006,\N,\N,\N,2025-03-17 13:54:29,v1,1
AP20250502000002,C00001532,APPROVE,\N,10000.00,0.18,12,2025-05-02 21:12:00,v1,1
AP20250622000001,C00002750,REJECT,R006,\N,\N,\N,2025-06-22 06:15:24,v1,1
AP20250409000002,C00008444,APPROVE,\N,2000.00,0.20,18,2025-04-09 07:36:29,v1,1
AP20250322000001,C00008870,APPROVE,\N,7644.15,0.23,12,2025-03-22 16:41:38,v1,1
AP20250214000002,C00007536,REJECT,R006,\N,\N,\N,2025-02-14 13:57:01,v1,1
AP20250311000002,C00007990,APPROVE,\N,9581.89,0.24,3,2025-03-11 12:23:19,v1,1
AP20250626000003,C00000998,REJECT,R008,\N,\N,\N,2025-06-26 16:54:56,v1,1
AP20250604000001,C00005707,APPROVE,\N,7652.79,0.23,6,2025-06-04 13:45:57,v1,1
AP20250210000003,C00003303,APPROVE,\N,35918.15,0.11,36,2025-02-10 10:34:15,v1,1
AP20250227000005,C00005417,APPROVE,\N,23956.02,0.19,12,2025-02-27 13:28:30,v1,1
AP20250420000001,C00002453,REJECT,"R009,R006,R008,R006",\N,\N,\N,2025-04-20 02:05:33,v1,1
AP20250207000001,C00005795,APPROVE,\N,20000.00,0.22,12,2025-02-07 22:27:32,v1,1
AP20250223000005,C00005391,REJECT,"R006,R006",\N,\N,\N,2025-02-23 13:06:19,v1,1
AP20250312000002,C00006271,REJECT,R007,\N,\N,\N,2025-03-12 19:01:17,v1,1
AP20250410000001,C00001554,REJECT,R008,\N,\N,\N,2025-04-10 13:05:43,v1,1
AP20250322000002,C00003263,APPROVE,\N,30000.00,0.11,6,2025-03-22 16:31:56,v1,1
AP20250616000002,C00006125,REJECT,"R008,R006",\N,\N,\N,2025-06-16 13:04:39,v1,1
AP20250504000001,C00005034,REJECT,R004,\N,\N,\N,2025-05-04 13:39:08,v1,1
AP20250619000001,C00002532,REJECT,R007,\N,\N,\N,2025-06-19 13:59:10,v1,1
AP20250523000003,C00005991,REJECT,R004,\N,\N,\N,2025-05-23 13:14:15,v1,1
AP20250408000001,C00004527,APPROVE,\N,10000.00,0.13,3,2025-04-08 22:08:49,v1,1
AP20250220000001,C00001928,APPROVE,\N,20000.00,0.14,12,2025-02-20 22:29:57,v1,1
AP20250309000005,C00009373,APPROVE,\N,5000.00,0.23,6,2025-03-09 09:40:41,v1,1
AP20250503000001,C00000094,REJECT,"R006,R006",\N,\N,\N,2025-05-03 01:02:47,v1,1
AP20250131000002,C00002665,REJECT,"R009,R006",\N,\N,\N,2025-01-31 14:34:47,v1,1
AP20250415000001,C00000750,REJECT,R004,\N,\N,\N,2025-04-15 08:37:53,v1,1
AP20250202000008,C00000920,APPROVE,\N,7455.61,0.24,18,2025-02-02 20:59:12,v1,1
AP20250518000003,C00002025,APPROVE,\N,76322.46,0.11,24,2025-05-18 20:21:39,v1,1
AP20250206000002,C00007148,REJECT,R006,\N,\N,\N,2025-02-06 06:55:25,v1,1
AP20250609000003,C00000133,REJECT,"R009,R008,R006",\N,\N,\N,2025-06-09 13:00:50,v1,1
AP20250222000002,C00003747,REJECT,R008,\N,\N,\N,2025-02-22 12:24:33,v1,1
AP20250607000002,C00006667,APPROVE,\N,15000.00,0.21,3,2025-06-07 11:34:21,v1,1
AP20250218000004,C00009323,APPROVE,\N,28155.14,0.19,3,2025-02-18 14:08:04,v1,1
AP20250408000002,C00008571,REJECT,"R009,R006,R006",\N,\N,\N,2025-04-08 13:31:29,v1,1
AP20250220000002,C00008156,APPROVE,\N,10000.00,0.11,36,2025-02-20 20:31:14,v1,1
AP20250119000002,C00008680,APPROVE,\N,42264.75,0.15,3,2025-01-19 06:09:47,v1,1
AP20250304000004,C00007074,REJECT,"R009,R006,R004",\N,\N,\N,2025-03-04 19:34:57,v1,1
AP20250215000004,C00002376,APPROVE,\N,5000.00,0.20,6,2025-02-15 22:50:07,v1,1
AP20250124000003,C00002059,APPROVE,\N,15000.00,0.22,3,2025-01-24 12:37:38,v1,1
AP20250504000002,C00007504,REJECT,R006,\N,\N,\N,2025-05-04 02:08:17,v1,1
AP20250214000003,C00004121,REJECT,R006,\N,\N,\N,2025-02-14 12:39:23,v1,1
AP20250129000002,C00001241,REJECT,R009,\N,\N,\N,2025-01-29 16:37:52,v1,1
AP20250119000003,C00009671,APPROVE,\N,20000.00,0.20,12,2025-01-19 19:45:10,v1,1
AP20250312000003,C00005445,APPROVE,\N,10000.00,0.18,12,2025-03-12 20:45:06,v1,1
AP20250207000002,C00004028,REJECT,R006,\N,\N,\N,2025-02-07 23:07:03,v1,1
AP20250520000004,C00001793,REJECT,R006,\N,\N,\N,2025-05-20 20:07:21,v1,1
AP20250228000005,C00002566,REJECT,R009,\N,\N,\N,2025-02-28 22:25:56,v1,1
AP20250525000004,C00003286,APPROVE,\N,10000.00,0.17,18,2025-05-25 11:41:55,v1,1
AP20250128000004,C00000056,APPROVE,\N,2000.00,0.22,3,2025-01-28 09:43:40,v1,1
AP20250121000001,C00003114,REJECT,R007,\N,\N,\N,2025-01-21 22:33:30,v1,1
AP20250618000003,C00005730,APPROVE,\N,2000.00,0.17,36,2025-06-18 12:36:37,v1,1
AP20250408000003,C00009828,APPROVE,\N,8951.95,0.23,3,2025-04-08 06:37:37,v1,1
AP20250518000004,C00009267,REJECT,R006,\N,\N,\N,2025-05-18 13:48:24,v1,1
AP20250217000005,C00003515,APPROVE,\N,1000.00,0.11,24,2025-02-17 22:30:31,v1,1
AP20250218000005,C00008380,REJECT,R008,\N,\N,\N,2025-02-18 22:19:48,v1,1
AP20250506000003,C00004933,APPROVE,\N,7972.80,0.22,12,2025-05-06 21:40:12,v1,1
AP20250515000001,C00004673,APPROVE,\N,29395.24,0.21,3,2025-05-15 11:24:28,v1,1
AP20250403000002,C00009706,APPROVE,\N,20000.00,0.11,36,2025-04-03 22:25:32,v1,1
AP20250207000003,C00008473,REJECT,R004,\N,\N,\N,2025-02-07 13:58:20,v1,1
AP20250227000006,C00003820,REJECT,R006,\N,\N,\N,2025-02-27 22:37:23,v1,1
AP20250213000003,C00002208,APPROVE,\N,10000.00,0.11,12,2025-02-13 11:28:52,v1,1
AP20250117000002,C00000978,APPROVE,\N,8699.45,0.24,24,2025-01-17 12:42:12,v1,1
AP20250511000001,C00008693,REJECT,R006,\N,\N,\N,2025-05-11 06:48:03,v1,1
AP20250127000003,C00009217,APPROVE,\N,20000.00,0.21,36,2025-01-27 20:36:27,v1,1
AP20250609000004,C00007255,APPROVE,\N,30000.00,0.16,18,2025-06-09 10:49:00,v1,1
AP20250524000002,C00005410,REJECT,R006,\N,\N,\N,2025-05-24 15:25:23,v1,1
AP20250421000002,C00001558,REJECT,R006,\N,\N,\N,2025-04-21 12:06:36,v1,1
AP20250301000002,C00009785,REJECT,R004,\N,\N,\N,2025-03-01 12:26:40,v1,1
AP20250406000001,C00001840,APPROVE,\N,1000.00,0.19,3,2025-04-06 20:19:44,v1,1
AP20250319000003,C00007751,APPROVE,\N,27201.01,0.20,6,2025-03-19 18:49:35,v1,1
