customer_id,promo_code,used_at,loan_id,is_test_data
C00006667,PROMO004,2025-05-17 19:18:42,LN20250517000001,1
C00009323,PROMO007,2025-02-28 13:39:20,LN20250228000003,1
C00009323,PROMO009,2025-02-27 22:34:50,LN20250227000003,1
C00008680,PROMO009,2025-01-25 20:20:58,LN20250125000002,1
C00003286,PROMO007,2025-06-01 20:08:38,LN20250601000002,1
C00005730,PROMO009,2025-06-20 21:13:45,LN20250620000002,1
C00009828,PROMO001,2025-04-09 13:49:26,LN20250409000003,1
C00000978,PROMO013,2025-02-26 11:42:54,LN20250226000001,1
C00005547,PROMO012,2025-02-22 22:47:14,LN20250222000004,1
C00005547,PROMO011,2025-03-13 22:51:35,LN20250313000003,1
C00005464,PROMO004,2025-05-14 13:23:33,LN20250514000003,1
C00006766,PROMO001,2025-02-28 22:24:05,LN20250228000007,1
C00009595,PROMO008,2025-04-24 12:25:48,LN20250424000002,1
C00003463,PROMO008,2025-05-03 12:15:58,LN20250503000003,1
C00000979,PROMO001,2025-03-01 11:41:34,LN20250301000004,1
C00007127,PROMO003,2025-02-22 13:00:35,LN20250222000005,1
C00001689,PROMO005,2025-05-11 22:48:47,LN20250511000003,1
C00005578,PROMO008,2025-03-21 14:19:54,LN20250321000002,1
C00003124,PROMO005,2025-06-01 22:23:07,LN20250601000003,1
C00003645,PROMO013,2025-05-30 22:26:38,LN20250530000002,1
C00000128,PROMO014,2025-06-18 12:55:10,LN20250618000002,1
C00000128,PROMO012,2025-06-17 18:10:17,LN20250617000004,1
C00008509,PROMO009,2025-05-31 10:11:24,LN20250531000002,1
C00008509,PROMO002,2025-05-31 11:57:07,LN20250531000003,1
C00007210,PROMO007,2025-05-01 22:18:10,LN20250501000002,1
C00002501,PROMO008,2025-02-15 13:59:05,LN20250215000007,1
C00008555,PROMO010,2025-03-10 11:57:50,LN20250310000006,1
C00001850,PROMO010,2025-03-23 21:47:41,LN20250323000006,1
C00009722,PROMO006,2025-04-21 12:44:01,LN20250421000002,1
C00002257,PROMO009,2025-06-14 12:44:21,LN20250614000003,1
C00006099,PROMO013,2025-05-12 01:50:35,LN20250512000003,1
C00002887,PROMO004,2025-05-31 11:31:34,LN20250531000004,1
C00006635,PROMO011,2025-03-02 13:04:08,LN20250302000003,1
C00009287,PROMO012,2025-03-21 12:19:14,LN20250321000004,1
C00009287,PROMO011,2025-03-07 08:41:27,LN20250307000003,1
C00007506,PROMO012,2025-05-03 12:55:34,LN20250503000004,1
C00007506,PROMO003,2025-05-16 21:24:25,LN20250516000004,1
C00003334,PROMO007,2025-05-20 21:29:32,LN20250520000002,1
C00003334,PROMO003,2025-06-04 21:59:38,LN20250604000005,1
C00007107,PROMO005,2025-03-30 13:46:40,LN20250330000001,1
C00002178,PROMO012,2025-03-14 19:28:24,LN20250314000002,1
C00003852,PROMO003,2025-03-04 09:12:37,LN20250304000008,1
C00003852,PROMO011,2025-04-22 17:32:46,LN20250422000005,1
C00003062,PROMO009,2025-04-30 20:57:00,LN20250430000003,1
C00000098,PROMO010,2025-03-19 02:08:29,LN20250319000003,1
C00000098,PROMO002,2025-02-13 21:03:45,LN20250213000005,1
C00002299,PROMO004,2025-03-21 15:06:50,LN20250321000005,1
C00003660,PROMO002,2025-04-07 17:15:10,LN20250407000005,1
C00003037,PROMO015,2025-04-24 12:47:04,LN20250424000004,1
C00006337,PROMO008,2025-03-14 20:28:31,LN20250314000003,1
C00007387,PROMO004,2025-05-08 21:22:31,LN20250508000003,1
C00002435,PROMO011,2025-05-30 21:35:41,LN20250530000004,1
C00000929,PROMO014,2025-03-28 23:13:46,LN20250328000006,1
C00003884,PROMO012,2025-04-06 00:41:35,LN20250406000003,1
C00003884,PROMO010,2025-03-15 13:04:45,LN20250315000002,1
C00003884,PROMO007,2025-04-19 12:38:57,LN20250419000002,1
C00003260,PROMO013,2025-04-17 18:51:45,LN20250417000004,1
C00003260,PROMO003,2025-04-22 21:42:02,LN20250422000006,1
C00003260,PROMO012,2025-03-31 13:44:05,LN20250331000003,1
C00001546,PROMO002,2025-06-18 13:36:17,LN20250618000003,1
C00001392,PROMO004,2025-02-13 12:12:02,LN20250213000007,1
C00003793,PROMO003,2025-05-20 10:28:42,LN20250520000003,1
C00007328,PROMO003,2025-04-16 12:37:42,LN20250416000002,1
C00006970,PROMO005,2025-04-06 09:42:52,LN20250406000004,1
C00005304,PROMO003,2025-05-04 14:59:08,LN20250504000004,1
C00004098,PROMO011,2025-06-10 20:03:39,LN20250610000003,1
C00007307,PROMO015,2025-06-11 21:31:01,LN20250611000002,1
C00009952,PROMO013,2025-06-07 14:51:20,LN20250607000004,1
C00004269,PROMO003,2025-02-15 22:47:25,LN20250215000009,1
C00008451,PROMO006,2025-02-27 13:24:34,LN20250227000007,1
C00003594,PROMO003,2025-04-27 08:05:17,LN20250427000003,1
C00004446,PROMO011,2025-05-17 22:46:52,LN20250517000007,1
C00009809,PROMO014,2025-04-05 06:57:06,LN20250405000004,1
C00008046,PROMO006,2025-06-20 15:44:08,LN20250620000008,1
C00005478,PROMO014,2025-01-23 13:06:29,LN20250123000001,1
C00008017,PROMO009,2025-03-07 21:31:52,LN20250307000005,1
C00009408,PROMO006,2025-02-04 00:27:41,LN20250204000005,1
C00006418,PROMO003,2025-01-17 13:45:01,LN20250117000001,1
C00008465,PROMO004,2025-04-27 15:19:35,LN20250427000004,1
C00006649,PROMO005,2025-02-28 09:50:37,LN20250228000008,1
C00006819,PROMO009,2025-04-08 12:52:50,LN20250408000003,1
C00006819,PROMO006,2025-02-14 21:11:36,LN20250214000010,1
C00006819,PROMO013,2025-03-13 12:00:38,LN20250313000004,1
C00003396,PROMO010,2025-03-16 20:22:37,LN20250316000004,1
C00003396,PROMO012,2025-02-20 16:41:37,LN20250220000007,1
C00001277,PROMO008,2025-02-26 13:19:13,LN20250226000002,1
C00001277,PROMO010,2025-02-08 22:30:02,LN20250208000002,1
C00005818,PROMO003,2025-03-30 21:48:53,LN20250330000003,1
C00008941,PROMO007,2025-04-11 21:20:22,LN20250411000006,1
C00000904,PROMO009,2025-03-21 22:48:34,LN20250321000007,1
C00006851,PROMO005,2025-04-16 20:06:20,LN20250416000004,1
C00005085,PROMO004,2025-03-14 21:37:58,LN20250314000005,1
C00007681,PROMO001,2025-03-08 22:14:39,LN20250308000006,1
C00007681,PROMO001,2025-02-02 13:02:11,LN20250202000002,1
C00007681,PROMO006,2025-02-17 11:30:45,LN20250217000004,1
C00002918,PROMO003,2025-06-14 13:45:08,LN20250614000005,1
C00007149,PROMO015,2025-01-21 22:05:01,LN20250121000002,1
C00007149,PROMO002,2025-01-23 09:02:37,LN20250123000002,1
C00001032,PROMO012,2025-04-20 16:46:13,LN20250420000002,1
C00004788,PROMO001,2025-03-29 12:25:54,LN20250329000005,1
C00006357,PROMO008,2025-05-29 22:51:42,LN20250529000006,1
C00006357,PROMO012,2025-06-22 19:44:09,LN20250622000004,1
C00006357,PROMO015,2025-05-02 12:25:24,LN20250502000002,1
C00000500,PROMO014,2025-02-27 18:07:02,LN20250227000009,1
C00001876,PROMO012,2025-05-23 09:13:01,LN20250523000004,1
C00007793,PROMO015,2025-02-07 06:31:45,LN20250207000005,1
C00007793,PROMO007,2025-03-01 20:45:31,LN20250301000007,1
C00007793,PROMO013,2025-02-12 13:19:07,LN20250212000010,1
C00009077,PROMO014,2025-04-30 09:12:37,LN20250430000004,1
C00005382,PROMO005,2025-02-14 11:38:54,LN20250214000012,1
C00002970,PROMO001,2025-02-08 20:43:09,LN20250208000004,1
C00001387,PROMO002,2025-04-20 22:55:42,LN20250420000003,1
C00006841,PROMO013,2025-03-03 22:23:50,LN20250303000007,1
C00005772,PROMO011,2025-02-28 10:28:27,LN20250228000011,1
C00006055,PROMO015,2025-03-06 21:31:59,LN20250306000011,1
C00001236,PROMO006,2025-06-22 20:35:18,LN20250622000005,1
C00008301,PROMO001,2025-02-19 18:08:08,LN20250219000006,1
C00008301,PROMO003,2025-03-04 20:41:27,LN20250304000012,1
C00002847,PROMO013,2025-02-21 18:46:40,LN20250221000006,1
C00003568,PROMO011,2025-04-21 18:17:33,LN20250421000003,1
C00007084,PROMO011,2025-05-22 14:56:56,LN20250522000003,1
C00007084,PROMO002,2025-05-22 00:14:03,LN20250522000004,1
C00007084,PROMO010,2025-05-26 11:23:49,LN20250526000010,1
C00008739,PROMO015,2025-06-12 02:46:28,LN20250612000010,1
C00008342,PROMO006,2025-03-04 12:14:09,LN20250304000013,1
C00006593,PROMO005,2025-04-22 12:13:37,LN20250422000008,1
C00007788,PROMO010,2025-03-21 13:07:19,LN20250321000009,1
C00000514,PROMO013,2025-05-19 18:05:54,LN20250519000004,1
C00000606,PROMO005,2025-02-22 10:42:13,LN20250222000010,1
C00007897,PROMO012,2025-03-01 16:47:43,LN20250301000008,1
C00009063,PROMO008,2025-06-11 18:37:30,LN20250611000004,1
C00004363,PROMO001,2025-05-24 21:29:56,LN20250524000004,1
C00004363,PROMO012,2025-04-30 20:21:23,LN20250430000005,1
C00003956,PROMO013,2025-05-13 21:25:17,LN20250513000005,1
C00007351,PROMO005,2025-03-28 22:59:30,LN20250328000007,1
C00004171,PROMO003,2025-04-11 00:54:14,LN20250411000007,1
C00004292,PROMO013,2025-04-20 20:12:30,LN20250420000004,1
C00005444,PROMO007,2025-04-21 12:59:16,LN20250421000004,1
C00003446,PROMO009,2025-06-12 22:15:03,LN20250612000011,1
C00009540,PROMO015,2025-03-15 02:02:12,LN20250315000004,1
C00001052,PROMO011,2025-03-21 20:50:06,LN20250321000010,1
C00003020,PROMO007,2025-02-07 09:59:50,LN20250207000006,1
C00008829,PROMO007,2025-05-31 14:54:29,LN20250531000007,1
C00008829,PROMO001,2025-05-30 09:17:45,LN20250530000005,1
C00008502,PROMO014,2025-02-25 21:27:12,LN20250225000005,1
C00008216,PROMO013,2025-04-15 16:01:42,LN20250415000003,1
C00008216,PROMO003,2025-05-15 14:14:33,LN20250515000006,1
C00009052,PROMO011,2025-03-02 15:29:21,LN20250302000009,1
C00005720,PROMO009,2025-03-01 22:04:28,LN20250301000010,1
C00001619,PROMO003,2025-02-28 12:51:15,LN20250228000012,1
C00003325,PROMO005,2025-04-04 20:40:29,LN20250404000006,1
C00003654,PROMO006,2025-06-01 13:11:18,LN20250601000006,1
C00006740,PROMO005,2025-06-04 21:04:02,LN20250604000008,1
C00004759,PROMO009,2025-03-13 22:20:09,LN20250313000006,1
C00004140,PROMO005,2025-01-17 17:28:56,LN20250117000002,1
C00004140,PROMO008,2025-03-13 20:49:52,LN20250313000007,1
C00008341,PROMO003,2025-05-20 22:22:12,LN20250520000004,1
C00009533,PROMO010,2025-04-26 22:37:43,LN20250426000001,1
C00006582,PROMO001,2025-05-10 19:58:17,LN20250510000004,1
C00001564,PROMO006,2025-03-20 21:21:14,LN20250320000004,1
C00008600,PROMO015,2025-05-11 15:10:37,LN20250511000008,1
C00008600,PROMO005,2025-04-19 13:03:33,LN20250419000005,1
C00000278,PROMO011,2025-03-11 11:33:53,LN20250311000007,1
C00004730,PROMO007,2025-03-08 22:43:25,LN20250308000008,1
C00006037,PROMO008,2025-06-18 20:30:10,LN20250618000004,1
C00006037,PROMO008,2025-06-17 00:15:30,LN20250617000011,1
C00000335,PROMO007,2025-03-08 14:39:10,LN20250308000009,1
C00005251,PROMO010,2025-02-23 18:24:54,LN20250223000015,1
C00005251,PROMO013,2025-03-13 22:38:58,LN20250313000008,1
C00005251,PROMO014,2025-04-04 18:37:44,LN20250404000007,1
C00001633,PROMO011,2025-06-24 16:46:23,LN20250624000009,1
C00006711,PROMO004,2025-06-17 09:05:55,LN20250617000012,1
C00006899,PROMO007,2025-05-19 17:29:54,LN20250519000006,1
C00003404,PROMO013,2025-03-13 21:11:31,LN20250313000009,1
C00007122,PROMO006,2025-06-21 12:35:16,LN20250621000009,1
C00006103,PROMO013,2025-05-29 15:10:44,LN20250529000007,1
C00009646,PROMO006,2025-02-06 07:06:00,LN20250206000004,1
C00002660,PROMO008,2025-05-03 00:17:55,LN20250503000007,1
C00002287,PROMO013,2025-03-21 17:36:12,LN20250321000011,1
C00004104,PROMO003,2025-02-26 07:19:15,LN20250226000009,1
C00004104,PROMO006,2025-02-14 14:54:25,LN20250214000017,1
C00008014,PROMO006,2025-03-17 21:58:47,LN20250317000013,1
C00006750,PROMO009,2025-03-22 14:59:01,LN20250322000007,1
C00004609,PROMO005,2025-06-09 20:03:09,LN20250609000001,1
C00000487,PROMO001,2025-06-22 12:51:27,LN20250622000006,1
C00006163,PROMO011,2025-06-28 20:12:41,LN20250628000003,1
C00006163,PROMO001,2025-05-26 22:43:44,LN20250526000012,1
C00007259,PROMO006,2025-03-30 07:10:07,LN20250330000004,1
C00007259,PROMO011,2025-03-19 10:39:21,LN20250319000006,1
C00002731,PROMO013,2025-02-01 12:09:09,LN20250201000006,1
C00009750,PROMO001,2025-05-05 14:28:21,LN20250505000004,1
C00009270,PROMO011,2025-05-21 20:49:56,LN20250521000005,1
C00000616,PROMO004,2025-03-04 12:33:23,LN20250304000017,1
C00001641,PROMO013,2025-01-22 17:37:29,LN20250122000003,1
C00003695,PROMO015,2025-05-25 19:46:10,LN20250525000007,1
C00001405,PROMO006,2025-03-11 22:20:43,LN20250311000008,1
C00004004,PROMO014,2025-04-02 23:46:11,LN20250402000008,1
C00002667,PROMO014,2025-06-28 21:07:08,LN20250628000004,1
C00000672,PROMO003,2025-02-22 18:37:37,LN20250222000013,1
C00002206,PROMO001,2025-03-13 12:28:50,LN20250313000011,1
C00000622,PROMO004,2025-05-27 19:44:45,LN20250527000007,1
C00000622,PROMO015,2025-05-07 08:08:41,LN20250507000006,1
C00001472,PROMO009,2025-03-24 22:59:04,LN20250324000009,1
C00007195,PROMO001,2025-04-19 23:46:09,LN20250419000007,1
C00007589,PROMO001,2025-02-12 15:38:55,LN20250212000012,1
C00002152,PROMO014,2025-02-21 13:24:34,LN20250221000012,1
C00002152,PROMO006,2025-02-21 21:50:06,LN20250221000013,1
C00002152,PROMO004,2025-03-06 00:15:34,LN20250306000013,1
C00008477,PROMO003,2025-03-07 14:05:26,LN20250307000015,1
C00009272,PROMO001,2025-02-18 10:55:50,LN20250218000012,1
C00006730,PROMO003,2025-03-17 21:31:31,LN20250317000015,1
C00004698,PROMO006,2025-02-16 11:40:43,LN20250216000012,1
C00005333,PROMO015,2025-03-11 18:06:06,LN20250311000010,1
C00007804,PROMO011,2025-04-05 01:37:27,LN20250405000008,1
C00001881,PROMO011,2025-04-14 22:30:15,LN20250414000004,1
C00004682,PROMO005,2025-03-24 13:21:46,LN20250324000010,1
C00007433,PROMO015,2025-06-17 12:36:13,LN20250617000013,1
C00007433,PROMO003,2025-06-16 13:12:59,LN20250616000008,1
C00007433,PROMO003,2025-05-13 22:20:41,LN20250513000008,1
C00006059,PROMO008,2025-04-25 13:26:12,LN20250425000005,1
C00001815,PROMO011,2025-01-29 22:10:56,LN20250129000006,1
C00008102,PROMO015,2025-02-21 20:29:51,LN20250221000014,1
C00002418,PROMO005,2025-06-05 21:53:10,LN20250605000007,1
C00006693,PROMO015,2025-04-26 22:27:25,LN20250426000003,1
C00009619,PROMO001,2025-02-13 20:03:05,LN20250213000014,1
C00003127,PROMO002,2025-02-22 22:19:10,LN20250222000014,1
C00005534,PROMO009,2025-03-10 11:46:13,LN20250310000013,1
C00005534,PROMO015,2025-03-05 09:03:32,LN20250305000008,1
C00005534,PROMO010,2025-03-17 18:27:28,LN20250317000017,1
C00003615,PROMO009,2025-02-06 17:30:41,LN20250206000007,1
C00002663,PROMO001,2025-05-23 22:28:54,LN20250523000011,1
C00008764,PROMO013,2025-02-11 02:43:34,LN20250211000009,1
C00001644,PROMO014,2025-04-07 06:55:37,LN20250407000007,1
C00001879,PROMO011,2025-03-16 12:22:24,LN20250316000007,1
C00009390,PROMO012,2025-03-19 13:39:22,LN20250319000009,1
C00009010,PROMO011,2025-03-16 13:48:43,LN20250316000008,1
C00001824,PROMO012,2025-06-15 19:07:29,LN20250615000011,1
C00004243,PROMO003,2025-02-12 15:01:41,LN20250212000016,1
C00002859,PROMO003,2025-05-15 22:47:39,LN20250515000011,1
C00002859,PROMO003,2025-04-29 12:38:11,LN20250429000005,1
C00008440,PROMO002,2025-06-27 12:06:10,LN20250627000005,1
C00000785,PROMO010,2025-05-07 09:48:32,LN20250507000010,1
C00002109,PROMO009,2025-02-06 17:39:36,LN20250206000008,1
C00006905,PROMO014,2025-05-21 22:29:47,LN20250521000006,1
C00003348,PROMO001,2025-03-22 12:38:34,LN20250322000009,1
C00005291,PROMO002,2025-02-24 12:35:12,LN20250224000017,1
C00009968,PROMO005,2025-04-17 22:09:16,LN20250417000009,1
C00001304,PROMO002,2025-05-12 12:06:47,LN20250512000009,1
C00006170,PROMO015,2025-06-15 20:42:53,LN20250615000013,1
C00007188,PROMO004,2025-04-11 13:17:05,LN20250411000009,1
C00006280,PROMO005,2025-05-27 22:39:51,LN20250527000009,1
C00006280,PROMO003,2025-06-23 20:02:57,LN20250623000005,1
C00001449,PROMO010,2025-01-30 07:06:34,LN20250130000008,1
C00001449,PROMO005,2025-02-12 13:57:19,LN20250212000017,1
C00006198,PROMO002,2025-05-22 13:01:06,LN20250522000009,1
C00006198,PROMO008,2025-05-16 17:03:25,LN20250516000009,1
C00007629,PROMO004,2025-02-24 23:15:37,LN20250224000018,1
C00001441,PROMO015,2025-03-07 23:22:09,LN20250307000017,1
C00004945,PROMO005,2025-03-27 22:06:02,LN20250327000015,1
C00007556,PROMO011,2025-06-18 21:01:20,LN20250618000005,1
C00003832,PROMO012,2025-03-25 22:11:02,LN20250325000005,1
C00006645,PROMO004,2025-02-05 20:17:58,LN20250205000010,1
C00004376,PROMO011,2025-03-26 21:31:40,LN20250326000009,1
C00008535,PROMO013,2025-02-19 17:21:25,LN20250219000013,1
C00008535,PROMO014,2025-01-13 17:22:21,LN20250113000002,1
C00002367,PROMO010,2025-01-29 17:39:03,LN20250129000007,1
C00009764,PROMO001,2025-05-13 13:40:12,LN20250513000010,1
C00002997,PROMO009,2025-03-18 20:13:18,LN20250318000012,1
C00008613,PROMO003,2025-05-09 16:23:41,LN20250509000004,1
C00001160,PROMO001,2025-02-04 13:33:50,LN20250204000010,1
C00000949,PROMO005,2025-04-19 15:38:02,LN20250419000009,1
C00000628,PROMO013,2025-04-04 20:29:25,LN20250404000010,1
C00003044,PROMO008,2025-03-04 13:37:03,LN20250304000019,1
C00003482,PROMO007,2025-05-31 13:37:30,LN20250531000009,1
C00001391,PROMO002,2025-03-31 21:44:02,LN20250331000008,1
C00006261,PROMO013,2025-05-20 21:42:53,LN20250520000005,1
C00003442,PROMO012,2025-05-10 07:19:52,LN20250510000008,1
C00003279,PROMO006,2025-06-14 10:04:02,LN20250614000010,1
C00000062,PROMO009,2025-03-07 20:30:49,LN20250307000019,1
C00008128,PROMO005,2025-05-24 12:45:14,LN20250524000009,1
C00006755,PROMO009,2025-06-01 22:27:33,LN20250601000010,1
C00002462,PROMO001,2025-03-05 20:01:45,LN20250305000009,1
C00005579,PROMO002,2025-06-06 21:46:34,LN20250606000005,1
C00002167,PROMO014,2025-04-06 22:24:50,LN20250406000008,1
C00000930,PROMO011,2025-02-14 15:41:21,LN20250214000023,1
C00006228,PROMO011,2025-05-28 11:51:20,LN20250528000010,1
C00004158,PROMO003,2025-05-25 12:18:13,LN20250525000008,1
C00000248,PROMO012,2025-06-01 13:14:16,LN20250601000011,1
C00007625,PROMO013,2025-04-13 13:58:42,LN20250413000006,1
C00007625,PROMO004,2025-06-04 06:18:18,LN20250604000012,1
C00009623,PROMO010,2025-05-17 17:20:13,LN20250517000016,1
C00008362,PROMO010,2025-02-03 09:51:49,LN20250203000010,1
C00002591,PROMO002,2025-03-17 22:37:10,LN20250317000021,1
C00008672,PROMO006,2025-02-10 07:35:55,LN20250210000010,1
C00006141,PROMO014,2025-03-08 16:41:42,LN20250308000014,1
C00000976,PROMO003,2025-04-01 21:02:05,LN20250401000007,1
C00006073,PROMO003,2025-05-30 20:29:34,LN20250530000009,1
C00006073,PROMO004,2025-05-07 15:59:20,LN20250507000013,1
C00006073,PROMO007,2025-05-27 00:53:39,LN20250527000010,1
C00007017,PROMO006,2025-03-19 11:41:28,LN20250319000013,1
C00007678,PROMO015,2025-05-11 12:13:02,LN20250511000014,1
C00007678,PROMO008,2025-06-09 21:28:33,LN20250609000002,1
C00005432,PROMO013,2025-03-02 13:28:27,LN20250302000012,1
C00005481,PROMO011,2025-05-16 12:25:00,LN20250516000011,1
C00006020,PROMO006,2025-03-03 12:55:50,LN20250303000015,1
C00006012,PROMO015,2025-03-11 20:56:23,LN20250311000013,1
C00006012,PROMO011,2025-04-03 13:04:38,LN20250403000005,1
C00001527,PROMO009,2025-05-18 17:54:16,LN20250518000007,1
C00001984,PROMO015,2025-03-20 08:21:28,LN20250320000007,1
C00005408,PROMO011,2025-03-01 18:38:49,LN20250301000015,1
C00004537,PROMO003,2025-04-07 13:06:02,LN20250407000010,1
C00002822,PROMO005,2025-05-07 12:25:18,LN20250507000014,1
C00002822,PROMO011,2025-06-16 12:16:46,LN20250616000013,1
C00004410,PROMO001,2025-02-25 12:28:22,LN20250225000014,1
C00003650,PROMO011,2025-02-20 11:34:29,LN20250220000017,1
C00006918,PROMO008,2025-03-09 23:34:59,LN20250309000016,1
C00002870,PROMO010,2025-06-15 13:48:36,LN20250615000016,1
C00004204,PROMO001,2025-06-13 22:11:44,LN20250613000008,1
C00007444,PROMO002,2025-03-20 09:14:25,LN20250320000008,1
C00008847,PROMO003,2025-05-15 13:40:57,LN20250515000013,1
C00007093,PROMO015,2025-03-02 17:56:11,LN20250302000015,1
C00001194,PROMO010,2025-06-22 21:44:45,LN20250622000011,1
C00007563,PROMO015,2025-03-13 13:37:51,LN20250313000018,1
C00004329,PROMO015,2025-04-17 13:24:49,LN20250417000011,1
C00004130,PROMO006,2025-03-04 22:52:20,LN20250304000021,1
C00001531,PROMO002,2025-03-06 06:49:20,LN20250306000018,1
C00004477,PROMO006,2025-06-20 12:11:15,LN20250620000010,1
C00009951,PROMO014,2025-05-08 20:00:43,LN20250508000010,1
C00009951,PROMO006,2025-06-02 12:20:16,LN20250602000005,1
C00009762,PROMO001,2025-03-31 19:43:34,LN20250331000009,1
C00009223,PROMO007,2025-06-20 13:15:12,LN20250620000011,1
C00009223,PROMO005,2025-05-16 17:07:33,LN20250516000012,1
C00009517,PROMO011,2025-05-08 12:09:56,LN20250508000011,1
C00009934,PROMO002,2025-05-30 20:40:00,LN20250530000011,1
C00009709,PROMO004,2025-04-21 22:11:08,LN20250421000010,1
C00004651,PROMO011,2025-02-02 11:06:33,LN20250202000005,1
C00008201,PROMO011,2025-04-02 21:05:59,LN20250402000014,1
C00007945,PROMO008,2025-06-12 12:41:50,LN20250612000018,1
C00009780,PROMO012,2025-03-22 22:41:03,LN20250322000013,1
C00006713,PROMO006,2025-06-14 13:14:14,LN20250614000011,1
C00009559,PROMO005,2025-04-06 10:32:08,LN20250406000011,1
C00006676,PROMO006,2025-04-27 02:49:30,LN20250427000009,1
C00005105,PROMO002,2025-01-30 17:21:33,LN20250130000010,1
C00000571,PROMO008,2025-02-13 20:08:23,LN20250213000022,1
C00003635,PROMO007,2025-03-07 10:01:02,LN20250307000023,1
C00005765,PROMO013,2025-02-06 20:46:31,LN20250206000012,1
C00005554,PROMO001,2025-02-19 21:07:22,LN20250219000018,1
C00007838,PROMO001,2025-03-08 18:12:51,LN20250308000022,1
C00007838,PROMO015,2025-04-01 23:23:42,LN20250401000008,1
C00008998,PROMO013,2025-02-28 20:38:31,LN20250228000022,1
C00002491,PROMO011,2025-03-09 22:19:45,LN20250309000019,1
C00006617,PROMO010,2025-03-30 12:18:07,LN20250330000007,1
C00005409,PROMO007,2025-03-01 21:54:15,LN20250301000020,1
C00002645,PROMO010,2025-03-11 12:33:58,LN20250311000015,1
C00006636,PROMO004,2025-03-13 20:30:11,LN20250313000023,1
C00008885,PROMO010,2025-01-26 19:05:04,LN20250126000003,1
C00002121,PROMO001,2025-02-28 20:17:41,LN20250228000023,1
C00001863,PROMO010,2025-02-23 22:47:02,LN20250223000022,1
C00009326,PROMO013,2025-02-05 20:32:54,LN20250205000013,1
