loan_id,period_no,plan_id,pay_time,pay_amount,principal_paid,interest_paid,fee_paid,penalty_paid,pay_channel,is_test_data
LN20250413000001,2,\N,2025-06-12 09:41:00,343.38,333.31,10.07,0,0,AUTO,1
LN20250425000001,1,\N,2025-05-20 16:42:00,1302.51,1162.28,140.23,0,0,MANUAL,1
LN20250425000001,2,\N,2025-06-21 19:45:00,1302.51,1184.56,117.96,0,0,AUTO,1
LN20250504000001,1,\N,2025-06-01 14:59:00,427.29,270.92,156.37,0,0,MANUAL,1
LN20250417000002,1,\N,2025-05-17 18:15:00,537.73,387.74,149.99,0,0,AUTO,1
LN20250417000002,2,\N,2025-06-14 13:48:00,537.73,394.85,142.88,0,0,MANUAL,1
LN20250430000001,1,\N,2025-05-25 18:45:00,293.25,166.58,126.67,0,0,AUTO,1
LN20250430000001,2,\N,2025-06-24 09:31:00,293.25,169.22,124.03,0,0,MANUAL,1
LN20250209000001,1,\N,2025-03-07 13:52:00,1849.13,1561.91,287.22,0,0,AUTO,1
LN20250209000001,2,\N,2025-04-10 17:49:00,1849.13,1584.04,265.10,0,0,MANUAL,1
LN20250209000001,3,\N,2025-05-06 11:51:00,1849.13,1606.48,242.65,0,0,AUTO,1
LN20250209000001,4,\N,2025-06-07 20:58:00,1849.13,1629.24,219.90,0,0,AUTO,1
LN20250216000001,1,\N,2025-03-17 14:11:00,887.61,795.95,91.67,0,0,MANUAL,1
LN20250216000001,2,\N,2025-04-16 09:50:00,887.61,810.54,77.07,0,0,AUTO,1
LN20250216000001,3,\N,2025-05-17 20:05:00,887.61,825.40,62.21,0,0,AUTO,1
LN20250216000001,4,\N,2025-06-16 12:30:00,887.61,840.53,47.08,0,0,AUTO,1
LN20250227000001,1,\N,2025-03-29 15:12:00,389.96,313.57,76.39,0,0,MANUAL,1
LN20250227000001,2,\N,2025-04-28 10:48:00,389.96,319.32,70.64,0,0,AUTO,1
LN20250227000001,3,\N,2025-05-24 19:45:00,389.96,325.18,64.78,0,0,AUTO,1
LN20250227000001,4,\N,2025-06-26 14:02:00,389.96,331.14,58.82,0,0,AUTO,1
LN20250227000002,1,\N,2025-03-28 19:21:00,2915.08,2462.29,452.79,0,0,AUTO,1
LN20250227000002,2,\N,2025-04-26 17:15:00,2915.08,2497.17,417.91,0,0,AUTO,1
LN20250227000002,3,\N,2025-05-23 18:05:00,2915.08,2532.54,382.53,0,0,AUTO,1
LN20250227000002,4,\N,2025-06-25 09:39:00,2915.08,2568.42,346.66,0,0,AUTO,1
LN20250511000001,1,\N,2025-06-05 13:49:00,687.89,656.22,31.67,0,0,AUTO,1
LN20250513000001,1,\N,2025-06-09 09:25:00,521.96,381.96,140.00,0,0,MANUAL,1
LN20250507000001,1,\N,2025-06-05 18:07:00,460.78,381.62,79.17,0,0,AUTO,1
LN20250318000001,1,\N,2025-04-16 16:58:00,70.31,43.65,26.67,0,0,MANUAL,1
LN20250318000001,2,\N,2025-05-13 16:48:00,70.31,44.23,26.08,0,0,MANUAL,1
LN20250318000001,3,\N,2025-06-16 10:08:00,70.31,44.82,25.49,0,0,MANUAL,1
LN20250327000001,1,\N,2025-04-23 20:18:00,122.90,101.23,21.67,0,0,AUTO,1
LN20250327000001,2,\N,2025-05-21 13:52:00,122.90,102.33,20.57,0,0,AUTO,1
LN20250327000001,3,\N,2025-06-23 10:04:00,122.90,103.43,19.46,0,0,AUTO,1
LN20250516000001,1,\N,2025-06-12 20:04:00,33.77,17.56,16.21,0,0,AUTO,1
LN20250304000004,1,\N,2025-04-03 19:19:00,351.08,276.82,74.26,0,0,MANUAL,1
LN20250304000004,2,\N,2025-05-01 10:40:00,351.08,282.36,68.72,0,0,AUTO,1
LN20250304000004,3,\N,2025-06-01 13:48:00,351.08,288.01,63.07,0,0,MANUAL,1
LN20250209000002,1,\N,2025-03-07 14:12:00,258.63,134.47,124.15,0,0,MANUAL,1
LN20250209000002,2,\N,2025-04-07 10:48:00,258.63,136.94,121.69,0,0,AUTO,1
LN20250209000002,3,\N,2025-05-08 16:30:00,258.63,139.45,119.18,0,0,MANUAL,1
LN20250209000002,4,\N,2025-06-05 13:16:00,258.63,142.01,116.62,0,0,MANUAL,1
LN20250407000001,1,\N,2025-05-04 10:09:00,901.60,512.16,389.44,0,0,MANUAL,1
LN20250407000001,2,\N,2025-06-02 10:12:00,901.60,520.27,381.33,0,0,AUTO,1
LN20250429000001,1,\N,2025-05-27 19:44:00,1725.34,1637.84,87.50,0,0,MANUAL,1
LN20250429000001,2,\N,2025-06-24 09:43:00,1725.34,1666.50,58.84,0,0,AUTO,1
LN20250309000001,1,\N,2025-04-03 11:00:00,2092.08,1682.28,409.80,0,0,AUTO,1
LN20250309000001,2,\N,2025-05-07 18:03:00,2092.08,1713.12,378.96,0,0,AUTO,1
LN20250309000001,3,\N,2025-06-06 19:42:00,2092.08,1744.53,347.55,0,0,AUTO,1
LN20250327000002,1,\N,2025-04-21 19:49:00,470.73,370.73,100.00,0,0,MANUAL,1
LN20250327000002,2,\N,2025-05-21 12:08:00,470.73,374.44,96.29,0,0,MANUAL,1
LN20250327000002,3,\N,2025-06-25 15:41:00,470.73,378.19,92.55,0,0,MANUAL,1
LN20250316000001,1,\N,2025-04-11 19:06:00,76.08,67.56,8.52,0,0,MANUAL,1
LN20250316000001,2,\N,2025-05-11 17:53:00,76.08,68.91,7.17,0,0,MANUAL,1
LN20250316000001,3,\N,2025-06-10 11:40:00,76.08,70.29,5.79,0,0,MANUAL,1
LN20250223000001,1,\N,2025-03-20 09:41:00,996.43,696.43,300.00,0,0,AUTO,1
LN20250223000001,2,\N,2025-04-24 12:12:00,996.43,703.39,293.04,0,0,MANUAL,1
LN20250223000001,3,\N,2025-05-19 10:30:00,996.43,710.43,286.00,0,0,AUTO,1
LN20250223000001,4,\N,2025-06-21 16:00:00,996.43,717.53,278.90,0,0,MANUAL,1
LN20250402000001,1,\N,2025-04-29 13:10:00,271.51,223.64,47.87,0,0,MANUAL,1
LN20250402000001,2,\N,2025-06-01 09:33:00,271.51,226.06,45.44,0,0,AUTO,1
LN20250222000001,1,\N,2025-03-21 09:01:00,1660.72,1160.72,500.00,0,0,AUTO,1
LN20250222000001,2,\N,2025-04-22 16:42:00,1660.72,1172.32,488.39,0,0,AUTO,1
LN20250222000001,3,\N,2025-05-18 15:18:00,1660.72,1184.05,476.67,0,0,AUTO,1
LN20250222000001,4,\N,2025-06-17 13:24:00,1660.72,1195.89,464.83,0,0,AUTO,1
LN20250125000001,1,\N,2025-02-21 09:40:00,34.18,22.51,11.67,0,0,MANUAL,1
LN20250125000001,2,\N,2025-03-22 14:44:00,34.18,22.77,11.40,0,0,AUTO,1
LN20250125000001,3,\N,2025-04-22 10:32:00,34.18,23.04,11.14,0,0,AUTO,1
LN20250125000001,4,\N,2025-05-20 15:57:00,34.18,23.31,10.87,0,0,AUTO,1
LN20250125000001,5,\N,2025-06-21 16:32:00,34.18,23.58,10.60,0,0,MANUAL,1
LN20250115000001,1,\N,2025-02-11 19:46:00,7695.89,7305.60,390.30,0,0,AUTO,1
LN20250115000001,2,\N,2025-03-12 13:26:00,7695.89,7433.45,262.45,0,0,AUTO,1
LN20250115000001,3,\N,2025-04-14 13:24:00,7695.89,7563.53,132.36,0,0,MANUAL,1
LN20250128000002,1,\N,2025-02-26 19:55:00,1813.17,1326.84,486.33,0,0,AUTO,1
LN20250128000002,2,\N,2025-03-29 16:45:00,1813.17,1350.06,463.11,0,0,AUTO,1
LN20250128000002,3,\N,2025-04-26 18:44:00,1813.17,1373.69,439.48,0,0,MANUAL,1
LN20250128000002,4,\N,2025-05-24 09:34:00,1813.17,1397.73,415.44,0,0,MANUAL,1
LN20250128000002,5,\N,2025-06-22 14:54:00,1813.17,1422.19,390.98,0,0,AUTO,1
LN20250516000002,1,\N,2025-06-12 13:06:00,1685.86,1233.68,452.18,0,0,MANUAL,1
LN20250311000001,1,\N,2025-04-08 10:10:00,1389.52,1139.52,250.00,0,0,AUTO,1
LN20250311000001,2,\N,2025-05-07 19:31:00,1389.52,1158.51,231.01,0,0,MANUAL,1
LN20250311000001,3,\N,2025-06-05 18:43:00,1389.52,1177.82,211.70,0,0,MANUAL,1
LN20250413000002,1,\N,2025-05-10 10:44:00,66.70,46.70,20.00,0,0,AUTO,1
LN20250413000002,2,\N,2025-06-10 13:57:00,66.70,47.64,19.07,0,0,MANUAL,1
LN20250214000002,1,\N,2025-03-12 11:50:00,4336.28,3735.74,600.54,0,0,AUTO,1
LN20250214000002,2,\N,2025-04-13 10:58:00,4336.28,3782.44,553.84,0,0,MANUAL,1
LN20250214000002,3,\N,2025-05-11 17:10:00,4336.28,3829.72,506.56,0,0,MANUAL,1
LN20250214000002,4,\N,2025-06-09 16:27:00,4336.28,3877.59,458.69,0,0,AUTO,1
LN20250217000001,1,\N,2025-03-16 18:30:00,4560.07,4109.27,450.80,0,0,MANUAL,1
LN20250217000001,2,\N,2025-04-18 09:38:00,4560.07,4181.19,378.88,0,0,MANUAL,1
LN20250217000001,3,\N,2025-05-17 11:23:00,4560.07,4254.36,305.71,0,0,MANUAL,1
LN20250217000001,4,\N,2025-06-17 19:39:00,4560.07,4328.81,231.26,0,0,AUTO,1
LN20250310000001,1,\N,2025-04-06 15:19:00,1756.32,1285.24,471.08,0,0,MANUAL,1
LN20250310000001,2,\N,2025-05-05 10:57:00,1756.32,1307.73,448.59,0,0,AUTO,1
LN20250310000001,3,\N,2025-06-04 14:30:00,1756.32,1330.61,425.70,0,0,AUTO,1
LN20250323000001,1,\N,2025-04-18 15:36:00,1535.60,953.22,582.38,0,0,MANUAL,1
LN20250323000001,2,\N,2025-05-18 17:22:00,1535.60,965.93,569.67,0,0,MANUAL,1
LN20250323000001,3,\N,2025-06-18 13:12:00,1535.60,978.81,556.79,0,0,MANUAL,1
LN20250308000001,1,\N,2025-04-05 10:19:00,5159.16,4921.66,237.50,0,0,MANUAL,1
LN20250308000001,2,\N,2025-05-03 13:45:00,5159.16,4999.59,159.57,0,0,AUTO,1
LN20250308000001,3,\N,2025-06-01 17:08:00,5159.16,5078.75,80.41,0,0,AUTO,1
LN20250224000001,1,\N,2025-03-26 10:08:00,1022.88,983.03,39.85,0,0,AUTO,1
LN20250224000001,2,\N,2025-04-24 11:45:00,1022.88,996.14,26.74,0,0,MANUAL,1
LN20250224000001,3,\N,2025-05-22 17:46:00,1022.88,1009.42,13.46,0,0,MANUAL,1
LN20250209000003,1,\N,2025-03-11 13:05:00,96.03,72.69,23.33,0,0,AUTO,1
LN20250209000003,2,\N,2025-04-09 17:04:00,96.03,73.54,22.49,0,0,MANUAL,1
LN20250209000003,3,\N,2025-05-08 12:44:00,96.03,74.40,21.63,0,0,MANUAL,1
LN20250209000003,4,\N,2025-06-04 14:32:00,96.03,75.27,20.76,0,0,MANUAL,1
LN20250515000001,1,\N,2025-06-13 17:16:00,1730.43,1622.10,108.33,0,0,AUTO,1
LN20250505000001,1,\N,2025-06-01 15:10:00,5184.36,4422.49,761.87,0,0,MANUAL,1
LN20250514000001,1,\N,2025-06-10 11:54:00,912.05,770.38,141.67,0,0,AUTO,1
LN20250411000002,1,\N,2025-05-11 18:58:00,1956.81,1571.95,384.86,0,0,AUTO,1
LN20250411000002,2,\N,2025-06-05 18:23:00,1956.81,1586.36,370.45,0,0,AUTO,1
LN20250313000001,1,\N,2025-04-08 16:06:00,2625.41,2412.91,212.50,0,0,MANUAL,1
LN20250313000001,2,\N,2025-05-09 11:16:00,2625.41,2447.09,178.32,0,0,MANUAL,1
LN20250313000001,3,\N,2025-06-09 10:38:00,2625.41,2481.76,143.65,0,0,AUTO,1
LN20250328000001,1,\N,2025-04-25 19:17:00,302.53,157.30,145.23,0,0,MANUAL,1
LN20250328000001,2,\N,2025-05-23 20:58:00,302.53,160.18,142.35,0,0,MANUAL,1
LN20250328000001,3,\N,2025-06-24 20:27:00,302.53,163.12,139.41,0,0,MANUAL,1
LN20250311000002,1,\N,2025-04-08 12:40:00,252.04,172.88,79.17,0,0,AUTO,1
LN20250311000002,2,\N,2025-05-05 19:24:00,252.04,175.61,76.43,0,0,MANUAL,1
LN20250311000002,3,\N,2025-06-07 14:24:00,252.04,178.39,73.65,0,0,MANUAL,1
LN20250223000002,1,\N,2025-03-20 09:34:00,1725.48,1625.48,100.00,0,0,MANUAL,1
LN20250223000002,2,\N,2025-04-22 12:28:00,1725.48,1641.74,83.75,0,0,MANUAL,1
LN20250223000002,3,\N,2025-05-20 17:16:00,1725.48,1658.16,67.33,0,0,MANUAL,1
LN20250223000002,4,\N,2025-06-21 20:41:00,1725.48,1674.74,50.75,0,0,MANUAL,1
LN20250316000002,1,\N,2025-04-11 20:27:00,2267.69,1734.58,533.11,0,0,MANUAL,1
LN20250316000002,2,\N,2025-05-15 10:33:00,2267.69,1760.60,507.09,0,0,AUTO,1
LN20250316000002,3,\N,2025-06-10 19:34:00,2267.69,1787.01,480.68,0,0,MANUAL,1
LN20250312000001,1,\N,2025-04-11 09:21:00,703.14,436.47,266.67,0,0,MANUAL,1
LN20250312000001,2,\N,2025-05-08 15:34:00,703.14,442.29,260.85,0,0,MANUAL,1
LN20250312000001,3,\N,2025-06-07 13:07:00,703.14,448.19,254.95,0,0,MANUAL,1
LN20250322000001,1,\N,2025-04-16 18:10:00,1843.13,1526.46,316.67,0,0,MANUAL,1
LN20250322000001,2,\N,2025-05-17 14:16:00,1843.13,1550.63,292.50,0,0,MANUAL,1
LN20250322000001,3,\N,2025-06-19 13:17:00,1843.13,1575.19,267.95,0,0,AUTO,1
LN20250326000001,1,\N,2025-04-22 15:09:00,2774.04,2614.04,160.00,0,0,AUTO,1
LN20250326000001,2,\N,2025-05-25 19:35:00,2774.04,2666.32,107.72,0,0,AUTO,1
LN20250326000001,3,\N,2025-06-24 15:44:00,2774.04,2719.64,54.39,0,0,AUTO,1
LN20250511000002,1,\N,2025-06-10 10:04:00,10174.68,9730.22,444.46,0,0,AUTO,1
LN20250503000001,1,\N,2025-05-31 17:00:00,692.38,654.05,38.33,0,0,AUTO,1
LN20250317000001,1,\N,2025-04-12 15:11:00,1389.52,1139.52,250.00,0,0,AUTO,1
LN20250317000001,2,\N,2025-05-12 09:32:00,1389.52,1158.51,231.01,0,0,AUTO,1
LN20250317000001,3,\N,2025-06-10 17:47:00,1389.52,1177.82,211.70,0,0,MANUAL,1
LN20250201000001,1,\N,2025-02-27 10:18:00,342.82,328.66,14.17,0,0,AUTO,1
LN20250201000001,2,\N,2025-03-29 11:33:00,342.82,333.31,9.51,0,0,MANUAL,1
LN20250201000001,3,\N,2025-05-02 16:57:00,342.82,338.03,4.79,0,0,AUTO,1
LN20250210000002,1,\N,2025-03-08 15:10:00,463.17,379.84,83.33,0,0,AUTO,1
LN20250210000002,2,\N,2025-04-09 09:36:00,463.17,386.17,77.00,0,0,MANUAL,1
LN20250210000002,3,\N,2025-05-07 13:14:00,463.17,392.61,70.57,0,0,AUTO,1
LN20250210000002,4,\N,2025-06-06 16:29:00,463.17,399.15,64.02,0,0,AUTO,1
LN20250218000002,1,\N,2025-03-20 14:43:00,73.31,41.65,31.67,0,0,MANUAL,1
LN20250218000002,2,\N,2025-04-19 16:21:00,73.31,42.30,31.01,0,0,MANUAL,1
LN20250218000002,3,\N,2025-05-19 17:51:00,73.31,42.97,30.34,0,0,MANUAL,1
LN20250218000002,4,\N,2025-06-18 10:43:00,73.31,43.66,29.66,0,0,MANUAL,1
LN20250326000002,1,\N,2025-04-23 18:21:00,115.65,92.90,22.75,0,0,MANUAL,1
LN20250326000002,2,\N,2025-05-21 12:22:00,115.65,93.75,21.89,0,0,MANUAL,1
LN20250326000002,3,\N,2025-06-24 16:39:00,115.65,94.61,21.03,0,0,MANUAL,1
LN20250406000001,1,\N,2025-05-06 17:52:00,638.06,488.06,150.00,0,0,AUTO,1
LN20250406000001,2,\N,2025-06-05 17:12:00,638.06,495.38,142.68,0,0,AUTO,1
LN20250412000001,1,\N,2025-05-11 14:54:00,102.77,67.77,35.00,0,0,AUTO,1
LN20250412000001,2,\N,2025-06-07 10:33:00,102.77,68.96,33.81,0,0,AUTO,1
LN20250118000001,1,\N,2025-02-14 15:21:00,105.15,80.43,24.72,0,0,MANUAL,1
LN20250118000001,2,\N,2025-03-19 17:51:00,105.15,81.63,23.51,0,0,MANUAL,1
LN20250118000001,3,\N,2025-04-15 18:21:00,105.15,82.86,22.29,0,0,AUTO,1
LN20250118000001,4,\N,2025-05-18 10:47:00,105.15,84.10,21.05,0,0,AUTO,1
LN20250118000001,5,\N,2025-06-15 19:20:00,105.15,85.36,19.78,0,0,AUTO,1
LN20250224000002,1,\N,2025-03-21 19:14:00,2617.95,2417.95,200.00,0,0,AUTO,1
LN20250224000002,2,\N,2025-04-23 09:46:00,2617.95,2450.19,167.76,0,0,MANUAL,1
LN20250224000002,3,\N,2025-05-21 09:57:00,2617.95,2482.86,135.09,0,0,MANUAL,1
LN20250224000002,4,\N,2025-06-19 10:32:00,2617.95,2515.97,101.99,0,0,MANUAL,1
LN20250202000001,1,\N,2025-03-03 14:50:00,3755.39,3203.52,551.87,0,0,MANUAL,1
LN20250202000001,2,\N,2025-03-29 09:03:00,3755.39,3246.23,509.16,0,0,MANUAL,1
LN20250202000001,3,\N,2025-04-28 18:53:00,3755.39,3289.51,465.88,0,0,AUTO,1
LN20250202000001,4,\N,2025-05-31 18:15:00,3755.39,3333.37,422.02,0,0,MANUAL,1
LN20250129000001,1,\N,2025-02-28 10:51:00,1376.44,1303.10,73.33,0,0,AUTO,1
LN20250129000001,2,\N,2025-03-28 11:46:00,1376.44,1315.05,61.39,0,0,AUTO,1
LN20250129000001,3,\N,2025-04-25 12:53:00,1376.44,1327.10,49.33,0,0,AUTO,1
LN20250129000001,4,\N,2025-05-28 16:12:00,1376.44,1339.27,37.17,0,0,MANUAL,1
LN20250129000001,5,\N,2025-06-27 16:54:00,1376.44,1351.54,24.89,0,0,MANUAL,1
LN20250124000002,1,\N,2025-02-23 17:40:00,7740.84,7366.35,374.49,0,0,MANUAL,1
LN20250124000002,2,\N,2025-03-23 10:03:00,7740.84,7489.12,251.72,0,0,MANUAL,1
LN20250124000002,3,\N,2025-04-24 18:30:00,7740.84,7613.94,126.90,0,0,MANUAL,1
LN20250529000001,1,\N,2025-06-28 16:59:00,907.78,770.28,137.50,0,0,AUTO,1
LN20250216000002,1,\N,2025-03-17 10:08:00,310.54,298.44,12.10,0,0,AUTO,1
LN20250216000002,2,\N,2025-04-17 13:00:00,310.54,302.42,8.12,0,0,AUTO,1
LN20250216000002,3,\N,2025-05-12 14:47:00,310.54,306.45,4.09,0,0,AUTO,1
LN20250223000003,1,\N,2025-03-25 15:20:00,4285.51,3692.00,593.51,0,0,AUTO,1
LN20250223000003,2,\N,2025-04-24 11:28:00,4285.51,3738.15,547.36,0,0,MANUAL,1
LN20250223000003,3,\N,2025-05-24 11:09:00,4285.51,3784.88,500.63,0,0,AUTO,1
LN20250223000003,4,\N,2025-06-23 12:22:00,4285.51,3832.19,453.32,0,0,MANUAL,1
LN20250530000001,1,\N,2025-06-24 09:38:00,867.69,809.36,58.33,0,0,AUTO,1
LN20250121000001,1,\N,2025-02-19 12:36:00,8578.07,8161.40,416.67,0,0,AUTO,1
LN20250121000001,2,\N,2025-03-18 10:19:00,8578.07,8229.41,348.65,0,0,MANUAL,1
LN20250121000001,3,\N,2025-04-21 14:34:00,8578.07,8297.99,280.08,0,0,MANUAL,1
LN20250121000001,4,\N,2025-05-16 14:07:00,8578.07,8367.14,210.93,0,0,AUTO,1
LN20250121000001,5,\N,2025-06-15 15:53:00,8578.07,8436.87,141.20,0,0,MANUAL,1
LN20250304000005,1,\N,2025-03-31 16:28:00,852.87,614.98,237.89,0,0,MANUAL,1
LN20250304000005,2,\N,2025-05-01 12:35:00,852.87,626.26,226.61,0,0,AUTO,1
LN20250304000005,3,\N,2025-05-28 18:28:00,852.87,637.74,215.13,0,0,MANUAL,1
LN20250215000002,1,\N,2025-03-13 15:28:00,441.09,327.58,113.51,0,0,AUTO,1
LN20250215000002,2,\N,2025-04-14 19:55:00,441.09,333.04,108.05,0,0,AUTO,1
LN20250215000002,3,\N,2025-05-16 19:02:00,441.09,338.59,102.50,0,0,AUTO,1
