contract_id,loan_id,customer_id,contract_type,signed_at,contract_url,is_test_data
CT20250128000002,LN20250128000002,C00002906,LOAN,2025-01-28 13:41:58,oss://sim/contract/LN20250128000002.pdf,1
CT20250612000003,LN20250612000003,C00000187,LOAN,2025-06-12 21:36:58,oss://sim/contract/LN20250612000003.pdf,1
CT20250516000002,LN20250516000002,C00000187,LOAN,2025-05-16 20:18:37,oss://sim/contract/LN20250516000002.pdf,1
CT20250311000001,LN20250311000001,C00009060,LOAN,2025-03-11 20:42:51,oss://sim/contract/LN20250311000001.pdf,1
CT20250413000002,LN20250413000002,C00009060,LOAN,2025-04-13 01:58:58,oss://sim/contract/LN20250413000002.pdf,1
CT20250214000002,LN20250214000002,C00009060,LOAN,2025-02-14 21:46:28,oss://sim/contract/LN20250214000002.pdf,1
CT20250217000001,LN20250217000001,C00009060,LOAN,2025-02-17 20:23:15,oss://sim/contract/LN20250217000001.pdf,1
CT20250217000002,LN20250217000002,C00009060,LOAN,2025-02-17 22:24:03,oss://sim/contract/LN20250217000002.pdf,1
CT20250310000001,LN20250310000001,C00001580,LOAN,2025-03-10 18:21:48,oss://sim/contract/LN20250310000001.pdf,1
CT20250323000001,LN20250323000001,C00000675,LOAN,2025-03-23 17:12:45,oss://sim/contract/LN20250323000001.pdf,1
CT20250308000001,LN20250308000001,C00000675,LOAN,2025-03-08 16:44:55,oss://sim/contract/LN20250308000001.pdf,1
CT20250224000001,LN20250224000001,C00000675,LOAN,2025-02-24 14:01:36,oss://sim/contract/LN20250224000001.pdf,1
CT20250209000003,LN20250209000003,C00004105,LOAN,2025-02-09 10:23:37,oss://sim/contract/LN20250209000003.pdf,1
CT20250515000001,LN20250515000001,C00007025,LOAN,2025-05-15 12:49:07,oss://sim/contract/LN20250515000001.pdf,1
CT20250505000001,LN20250505000001,C00002173,LOAN,2025-05-05 22:51:06,oss://sim/contract/LN20250505000001.pdf,1
CT20250514000001,LN20250514000001,C00007593,LOAN,2025-05-14 17:38:01,oss://sim/contract/LN20250514000001.pdf,1
CT20250411000002,LN20250411000002,C00008234,LOAN,2025-04-11 13:23:22,oss://sim/contract/LN20250411000002.pdf,1
CT20250619000001,LN20250619000001,C00006028,LOAN,2025-06-19 01:50:48,oss://sim/contract/LN20250619000001.pdf,1
CT20250313000001,LN20250313000001,C00000962,LOAN,2025-03-13 17:15:28,oss://sim/contract/LN20250313000001.pdf,1
CT20250328000001,LN20250328000001,C00000962,LOAN,2025-03-28 21:00:50,oss://sim/contract/LN20250328000001.pdf,1
CT20250311000002,LN20250311000002,C00002438,LOAN,2025-03-11 13:42:37,oss://sim/contract/LN20250311000002.pdf,1
CT20250223000002,LN20250223000002,C00002438,LOAN,2025-02-23 10:16:14,oss://sim/contract/LN20250223000002.pdf,1
CT20250316000002,LN20250316000002,C00002438,LOAN,2025-03-16 13:27:58,oss://sim/contract/LN20250316000002.pdf,1
CT20250312000001,LN20250312000001,C00002438,LOAN,2025-03-12 20:57:41,oss://sim/contract/LN20250312000001.pdf,1
CT20250322000001,LN20250322000001,C00002823,LOAN,2025-03-22 09:40:56,oss://sim/contract/LN20250322000001.pdf,1
CT20250326000001,LN20250326000001,C00002823,LOAN,2025-03-26 11:34:34,oss://sim/contract/LN20250326000001.pdf,1
CT20250511000002,LN20250511000002,C00002677,LOAN,2025-05-11 20:10:32,oss://sim/contract/LN20250511000002.pdf,1
CT20250503000001,LN20250503000001,C00002677,LOAN,2025-05-03 19:46:05,oss://sim/contract/LN20250503000001.pdf,1
CT20250317000001,LN20250317000001,C00004454,LOAN,2025-03-17 16:14:29,oss://sim/contract/LN20250317000001.pdf,1
CT20250201000001,LN20250201000001,C00006958,LOAN,2025-02-01 22:10:30,oss://sim/contract/LN20250201000001.pdf,1
CT20250210000002,LN20250210000002,C00006958,LOAN,2025-02-10 11:09:52,oss://sim/contract/LN20250210000002.pdf,1
CT20250218000002,LN20250218000002,C00006958,LOAN,2025-02-18 08:50:47,oss://sim/contract/LN20250218000002.pdf,1
CT20250326000002,LN20250326000002,C00008332,LOAN,2025-03-26 20:00:17,oss://sim/contract/LN20250326000002.pdf,1
CT20250406000001,LN20250406000001,C00008332,LOAN,2025-04-06 21:53:30,oss://sim/contract/LN20250406000001.pdf,1
CT20250412000001,LN20250412000001,C00008332,LOAN,2025-04-12 11:40:43,oss://sim/contract/LN20250412000001.pdf,1
CT20250118000001,LN20250118000001,C00006144,LOAN,2025-01-18 12:43:05,oss://sim/contract/LN20250118000001.pdf,1
CT20250224000002,LN20250224000002,C00001139,LOAN,2025-02-24 22:33:08,oss://sim/contract/LN20250224000002.pdf,1
CT20250202000001,LN20250202000001,C00001139,LOAN,2025-02-02 12:58:19,oss://sim/contract/LN20250202000001.pdf,1
CT20250129000001,LN20250129000001,C00001139,LOAN,2025-01-29 20:49:58,oss://sim/contract/LN20250129000001.pdf,1
CT20250124000002,LN20250124000002,C00001139,LOAN,2025-01-24 13:23:06,oss://sim/contract/LN20250124000002.pdf,1
CT20250608000002,LN20250608000002,C00003009,LOAN,2025-06-08 20:09:26,oss://sim/contract/LN20250608000002.pdf,1
CT20250630000001,LN20250630000001,C00003009,LOAN,2025-06-30 07:17:21,oss://sim/contract/LN20250630000001.pdf,1
CT20250615000001,LN20250615000001,C00003009,LOAN,2025-06-15 22:42:47,oss://sim/contract/LN20250615000001.pdf,1
CT20250529000001,LN20250529000001,C00003009,LOAN,2025-05-29 12:32:59,oss://sim/contract/LN20250529000001.pdf,1
CT20250216000002,LN20250216000002,C00004268,LOAN,2025-02-16 12:36:50,oss://sim/contract/LN20250216000002.pdf,1
CT20250223000003,LN20250223000003,C00004268,LOAN,2025-02-23 10:22:51,oss://sim/contract/LN20250223000003.pdf,1
CT20250530000001,LN20250530000001,C00007186,LOAN,2025-05-30 21:49:53,oss://sim/contract/LN20250530000001.pdf,1
CT20250604000003,LN20250604000003,C00007186,LOAN,2025-06-04 16:13:01,oss://sim/contract/LN20250604000003.pdf,1
CT20250121000001,LN20250121000001,C00004496,LOAN,2025-01-21 21:18:08,oss://sim/contract/LN20250121000001.pdf,1
CT20250304000005,LN20250304000005,C00001926,LOAN,2025-03-04 21:50:10,oss://sim/contract/LN20250304000005.pdf,1
CT20250215000002,LN20250215000002,C00008103,LOAN,2025-02-15 21:29:48,oss://sim/contract/LN20250215000002.pdf,1
CT20250225000001,LN20250225000001,C00009704,LOAN,2025-02-25 10:48:06,oss://sim/contract/LN20250225000001.pdf,1
CT20250409000001,LN20250409000001,C00008042,LOAN,2025-04-09 11:34:18,oss://sim/contract/LN20250409000001.pdf,1
CT20250626000001,LN20250626000001,C00009470,LOAN,2025-06-26 12:01:52,oss://sim/contract/LN20250626000001.pdf,1
CT20250512000001,LN20250512000001,C00009470,LOAN,2025-05-12 17:40:49,oss://sim/contract/LN20250512000001.pdf,1
CT20250526000003,LN20250526000003,C00009036,LOAN,2025-05-26 14:10:05,oss://sim/contract/LN20250526000003.pdf,1
CT20250228000001,LN20250228000001,C00003603,LOAN,2025-02-28 14:08:32,oss://sim/contract/LN20250228000001.pdf,1
CT20250221000002,LN20250221000002,C00003603,LOAN,2025-02-21 02:11:05,oss://sim/contract/LN20250221000002.pdf,1
CT20250203000002,LN20250203000002,C00004450,LOAN,2025-02-03 12:10:12,oss://sim/contract/LN20250203000002.pdf,1
CT20250213000002,LN20250213000002,C00004450,LOAN,2025-02-13 20:25:57,oss://sim/contract/LN20250213000002.pdf,1
CT20250527000001,LN20250527000001,C00007970,LOAN,2025-05-27 11:59:49,oss://sim/contract/LN20250527000001.pdf,1
CT20250618000001,LN20250618000001,C00007970,LOAN,2025-06-18 22:19:29,oss://sim/contract/LN20250618000001.pdf,1
CT20250215000003,LN20250215000003,C00008657,LOAN,2025-02-15 21:30:17,oss://sim/contract/LN20250215000003.pdf,1
CT20250321000001,LN20250321000001,C00008657,LOAN,2025-03-21 21:30:11,oss://sim/contract/LN20250321000001.pdf,1
CT20250501000001,LN20250501000001,C00002583,LOAN,2025-05-01 20:43:19,oss://sim/contract/LN20250501000001.pdf,1
CT20250425000002,LN20250425000002,C00001806,LOAN,2025-04-25 15:48:42,oss://sim/contract/LN20250425000002.pdf,1
CT20250328000002,LN20250328000002,C00007187,LOAN,2025-03-28 13:24:31,oss://sim/contract/LN20250328000002.pdf,1
CT20250306000001,LN20250306000001,C00009034,LOAN,2025-03-06 12:31:58,oss://sim/contract/LN20250306000001.pdf,1
CT20250306000002,LN20250306000002,C00009034,LOAN,2025-03-06 00:15:14,oss://sim/contract/LN20250306000002.pdf,1
CT20250212000002,LN20250212000002,C00009034,LOAN,2025-02-12 21:31:01,oss://sim/contract/LN20250212000002.pdf,1
CT20250404000001,LN20250404000001,C00009034,LOAN,2025-04-04 19:55:26,oss://sim/contract/LN20250404000001.pdf,1
CT20250317000002,LN20250317000002,C00009034,LOAN,2025-03-17 13:51:15,oss://sim/contract/LN20250317000002.pdf,1
CT20250614000002,LN20250614000002,C00004756,LOAN,2025-06-14 13:41:32,oss://sim/contract/LN20250614000002.pdf,1
CT20250615000002,LN20250615000002,C00008747,LOAN,2025-06-15 21:28:04,oss://sim/contract/LN20250615000002.pdf,1
CT20250629000002,LN20250629000002,C00003868,LOAN,2025-06-29 13:41:24,oss://sim/contract/LN20250629000002.pdf,1
CT20250617000001,LN20250617000001,C00003868,LOAN,2025-06-17 09:12:21,oss://sim/contract/LN20250617000001.pdf,1
CT20250624000001,LN20250624000001,C00003868,LOAN,2025-06-24 20:49:50,oss://sim/contract/LN20250624000001.pdf,1
CT20250620000001,LN20250620000001,C00003868,LOAN,2025-06-20 16:27:24,oss://sim/contract/LN20250620000001.pdf,1
CT20250302000001,LN20250302000001,C00007380,LOAN,2025-03-02 22:33:55,oss://sim/contract/LN20250302000001.pdf,1
CT20250422000001,LN20250422000001,C00007380,LOAN,2025-04-22 20:13:12,oss://sim/contract/LN20250422000001.pdf,1
CT20250409000002,LN20250409000002,C00000289,LOAN,2025-04-09 12:27:28,oss://sim/contract/LN20250409000002.pdf,1
CT20250405000001,LN20250405000001,C00000289,LOAN,2025-04-05 20:12:52,oss://sim/contract/LN20250405000001.pdf,1
CT20250320000001,LN20250320000001,C00009690,LOAN,2025-03-20 20:12:15,oss://sim/contract/LN20250320000001.pdf,1
CT20250523000001,LN20250523000001,C00003596,LOAN,2025-05-23 21:31:36,oss://sim/contract/LN20250523000001.pdf,1
CT20250528000001,LN20250528000001,C00003596,LOAN,2025-05-28 14:57:48,oss://sim/contract/LN20250528000001.pdf,1
CT20250427000001,LN20250427000001,C00003596,LOAN,2025-04-27 13:34:56,oss://sim/contract/LN20250427000001.pdf,1
CT20250516000003,LN20250516000003,C00003596,LOAN,2025-05-16 21:33:28,oss://sim/contract/LN20250516000003.pdf,1
CT20250324000001,LN20250324000001,C00006433,LOAN,2025-03-24 13:53:22,oss://sim/contract/LN20250324000001.pdf,1
CT20250422000002,LN20250422000002,C00003806,LOAN,2025-04-22 21:44:17,oss://sim/contract/LN20250422000002.pdf,1
CT20250428000001,LN20250428000001,C00003806,LOAN,2025-04-28 08:22:08,oss://sim/contract/LN20250428000001.pdf,1
CT20250506000001,LN20250506000001,C00003806,LOAN,2025-05-06 00:22:27,oss://sim/contract/LN20250506000001.pdf,1
CT20250513000002,LN20250513000002,C00008088,LOAN,2025-05-13 20:21:32,oss://sim/contract/LN20250513000002.pdf,1
CT20250621000002,LN20250621000002,C00008088,LOAN,2025-06-21 19:21:00,oss://sim/contract/LN20250621000002.pdf,1
CT20250524000001,LN20250524000001,C00008088,LOAN,2025-05-24 09:11:39,oss://sim/contract/LN20250524000001.pdf,1
CT20250204000002,LN20250204000002,C00003289,LOAN,2025-02-04 20:19:57,oss://sim/contract/LN20250204000002.pdf,1
CT20250218000003,LN20250218000003,C00003289,LOAN,2025-02-18 12:29:10,oss://sim/contract/LN20250218000003.pdf,1
CT20250118000002,LN20250118000002,C00003289,LOAN,2025-01-18 16:19:58,oss://sim/contract/LN20250118000002.pdf,1
CT20250317000003,LN20250317000003,C00004267,LOAN,2025-03-17 20:47:55,oss://sim/contract/LN20250317000003.pdf,1
CT20250214000003,LN20250214000003,C00004267,LOAN,2025-02-14 21:12:54,oss://sim/contract/LN20250214000003.pdf,1
CT20250213000003,LN20250213000003,C00008931,LOAN,2025-02-13 13:03:47,oss://sim/contract/LN20250213000003.pdf,1
CT20250218000004,LN20250218000004,C00008931,LOAN,2025-02-18 13:45:46,oss://sim/contract/LN20250218000004.pdf,1
CT20250514000002,LN20250514000002,C00003910,LOAN,2025-05-14 18:13:36,oss://sim/contract/LN20250514000002.pdf,1
CT20250621000003,LN20250621000003,C00009233,LOAN,2025-06-21 20:46:41,oss://sim/contract/LN20250621000003.pdf,1
CT20250411000003,LN20250411000003,C00003459,LOAN,2025-04-11 09:38:23,oss://sim/contract/LN20250411000003.pdf,1
CT20250605000001,LN20250605000001,C00002493,LOAN,2025-06-05 10:15:25,oss://sim/contract/LN20250605000001.pdf,1
CT20250622000001,LN20250622000001,C00002493,LOAN,2025-06-22 13:45:16,oss://sim/contract/LN20250622000001.pdf,1
CT20250610000001,LN20250610000001,C00002493,LOAN,2025-06-10 07:00:52,oss://sim/contract/LN20250610000001.pdf,1
CT20250617000002,LN20250617000002,C00002493,LOAN,2025-06-17 00:16:42,oss://sim/contract/LN20250617000002.pdf,1
CT20250624000002,LN20250624000002,C00005277,LOAN,2025-06-24 22:28:39,oss://sim/contract/LN20250624000002.pdf,1
CT20250310000002,LN20250310000002,C00006130,LOAN,2025-03-10 23:50:50,oss://sim/contract/LN20250310000002.pdf,1
CT20250228000002,LN20250228000002,C00006130,LOAN,2025-02-28 10:21:50,oss://sim/contract/LN20250228000002.pdf,1
CT20250216000003,LN20250216000003,C00006130,LOAN,2025-02-16 20:17:28,oss://sim/contract/LN20250216000003.pdf,1
CT20250328000003,LN20250328000003,C00003763,LOAN,2025-03-27 23:57:38,oss://sim/contract/LN20250328000003.pdf,1
CT20250405000002,LN20250405000002,C00003763,LOAN,2025-04-05 10:03:10,oss://sim/contract/LN20250405000002.pdf,1
CT20250401000001,LN20250401000001,C00003763,LOAN,2025-04-01 01:31:03,oss://sim/contract/LN20250401000001.pdf,1
CT20250309000002,LN20250309000002,C00005617,LOAN,2025-03-09 20:40:48,oss://sim/contract/LN20250309000002.pdf,1
CT20250526000004,LN20250526000004,C00002358,LOAN,2025-05-26 20:18:10,oss://sim/contract/LN20250526000004.pdf,1
CT20250529000002,LN20250529000002,C00002358,LOAN,2025-05-29 12:57:16,oss://sim/contract/LN20250529000002.pdf,1
CT20250306000003,LN20250306000003,C00005367,LOAN,2025-03-06 18:17:20,oss://sim/contract/LN20250306000003.pdf,1
CT20250418000001,LN20250418000001,C00000178,LOAN,2025-04-18 22:47:04,oss://sim/contract/LN20250418000001.pdf,1
CT20250326000003,LN20250326000003,C00000178,LOAN,2025-03-26 22:28:13,oss://sim/contract/LN20250326000003.pdf,1
CT20250317000004,LN20250317000004,C00000178,LOAN,2025-03-17 15:14:52,oss://sim/contract/LN20250317000004.pdf,1
CT20250329000001,LN20250329000001,C00000178,LOAN,2025-03-29 20:39:21,oss://sim/contract/LN20250329000001.pdf,1
CT20250304000006,LN20250304000006,C00004772,LOAN,2025-03-04 17:22:44,oss://sim/contract/LN20250304000006.pdf,1
CT20250309000003,LN20250309000003,C00007592,LOAN,2025-03-09 21:59:12,oss://sim/contract/LN20250309000003.pdf,1
CT20250613000001,LN20250613000001,C00000209,LOAN,2025-06-13 10:07:24,oss://sim/contract/LN20250613000001.pdf,1
CT20250615000003,LN20250615000003,C00000209,LOAN,2025-06-15 11:57:04,oss://sim/contract/LN20250615000003.pdf,1
CT20250305000001,LN20250305000001,C00008963,LOAN,2025-03-05 22:09:51,oss://sim/contract/LN20250305000001.pdf,1
CT20250403000001,LN20250403000001,C00008963,LOAN,2025-04-03 21:26:20,oss://sim/contract/LN20250403000001.pdf,1
CT20250324000002,LN20250324000002,C00003657,LOAN,2025-03-24 22:37:59,oss://sim/contract/LN20250324000002.pdf,1
CT20250323000002,LN20250323000002,C00008796,LOAN,2025-03-23 14:48:08,oss://sim/contract/LN20250323000002.pdf,1
CT20250418000002,LN20250418000002,C00008796,LOAN,2025-04-18 13:25:40,oss://sim/contract/LN20250418000002.pdf,1
CT20250411000004,LN20250411000004,C00008796,LOAN,2025-04-11 18:06:19,oss://sim/contract/LN20250411000004.pdf,1
CT20250328000004,LN20250328000004,C00008796,LOAN,2025-03-28 07:35:08,oss://sim/contract/LN20250328000004.pdf,1
CT20250315000001,LN20250315000001,C00008796,LOAN,2025-03-15 22:42:11,oss://sim/contract/LN20250315000001.pdf,1
CT20250223000004,LN20250223000004,C00002838,LOAN,2025-02-23 13:34:26,oss://sim/contract/LN20250223000004.pdf,1
CT20250317000005,LN20250317000005,C00002838,LOAN,2025-03-17 20:42:30,oss://sim/contract/LN20250317000005.pdf,1
CT20250207000002,LN20250207000002,C00003256,LOAN,2025-02-07 17:53:13,oss://sim/contract/LN20250207000002.pdf,1
CT20250225000002,LN20250225000002,C00008850,LOAN,2025-02-25 13:52:20,oss://sim/contract/LN20250225000002.pdf,1
CT20250327000003,LN20250327000003,C00008850,LOAN,2025-03-27 22:41:10,oss://sim/contract/LN20250327000003.pdf,1
CT20250325000001,LN20250325000001,C00009402,LOAN,2025-03-25 15:05:50,oss://sim/contract/LN20250325000001.pdf,1
CT20250224000003,LN20250224000003,C00009402,LOAN,2025-02-24 14:12:36,oss://sim/contract/LN20250224000003.pdf,1
CT20250220000001,LN20250220000001,C00009402,LOAN,2025-02-20 18:19:13,oss://sim/contract/LN20250220000001.pdf,1
CT20250222000002,LN20250222000002,C00009402,LOAN,2025-02-22 20:25:11,oss://sim/contract/LN20250222000002.pdf,1
CT20250327000004,LN20250327000004,C00009402,LOAN,2025-03-27 10:49:08,oss://sim/contract/LN20250327000004.pdf,1
CT20250215000004,LN20250215000004,C00005983,LOAN,2025-02-15 12:29:31,oss://sim/contract/LN20250215000004.pdf,1
CT20250309000004,LN20250309000004,C00005983,LOAN,2025-03-09 09:42:27,oss://sim/contract/LN20250309000004.pdf,1
CT20250328000005,LN20250328000005,C00005983,LOAN,2025-03-28 12:20:02,oss://sim/contract/LN20250328000005.pdf,1
CT20250205000001,LN20250205000001,C00006760,LOAN,2025-02-05 21:24:07,oss://sim/contract/LN20250205000001.pdf,1
CT20250602000001,LN20250602000001,C00001684,LOAN,2025-06-02 09:44:52,oss://sim/contract/LN20250602000001.pdf,1
CT20250506000002,LN20250506000002,C00001684,LOAN,2025-05-06 20:37:46,oss://sim/contract/LN20250506000002.pdf,1
CT20250520000001,LN20250520000001,C00001532,LOAN,2025-05-20 22:51:42,oss://sim/contract/LN20250520000001.pdf,1
CT20250412000002,LN20250412000002,C00008444,LOAN,2025-04-12 12:17:40,oss://sim/contract/LN20250412000002.pdf,1
CT20250419000001,LN20250419000001,C00008444,LOAN,2025-04-19 13:17:57,oss://sim/contract/LN20250419000001.pdf,1
CT20250407000002,LN20250407000002,C00008870,LOAN,2025-04-07 22:51:04,oss://sim/contract/LN20250407000002.pdf,1
CT20250329000002,LN20250329000002,C00007990,LOAN,2025-03-29 13:28:31,oss://sim/contract/LN20250329000002.pdf,1
CT20250322000002,LN20250322000002,C00007990,LOAN,2025-03-22 21:34:00,oss://sim/contract/LN20250322000002.pdf,1
CT20250310000003,LN20250310000003,C00007990,LOAN,2025-03-10 00:43:52,oss://sim/contract/LN20250310000003.pdf,1
CT20250313000002,LN20250313000002,C00007990,LOAN,2025-03-13 21:30:57,oss://sim/contract/LN20250313000002.pdf,1
CT20250612000004,LN20250612000004,C00005707,LOAN,2025-06-12 16:32:38,oss://sim/contract/LN20250612000004.pdf,1
