loan_id,period_no,overdue_start_date,overdue_end_date,overdue_days,overdue_amount,stage,is_test_data
LN20250225000013,2,2025-04-27,2025-05-16,20,1018.34,M1,1
LN20250413000006,2,2025-06-13,\N,18,1268.95,M1,1
LN20250309000013,2,2025-05-09,\N,53,1381.24,M2,1
LN20250302000012,3,2025-06-01,\N,30,176.76,M2,1
LN20250225000014,3,2025-05-27,2025-06-18,23,1820.51,M1,1
LN20250222000016,2,2025-04-24,2025-05-17,24,94.56,M1,1
LN20250321000017,3,2025-06-20,\N,11,1377.26,M1,1
LN20250219000015,3,2025-05-21,2025-06-06,17,1768.05,M1,1
LN20250318000014,3,2025-06-17,\N,14,2738.09,M1,1
LN20250202000005,2,2025-04-04,\N,88,61.45,M3,1
LN20250321000019,1,2025-04-21,\N,71,3500.55,M3,1
LN20250215000021,1,2025-03-18,\N,105,518.11,M3+,1
LN20250216000015,4,2025-06-17,\N,14,90.73,M1,1
LN20250126000003,4,2025-05-27,2025-06-16,21,504.09,M1,1
LN20250301000021,2,2025-05-01,2025-05-22,22,3597.07,M1,1
LN20250416000008,2,2025-06-16,\N,15,1192.37,M1,1
LN20250210000013,4,2025-06-11,\N,20,345.10,M1,1
LN20250322000016,2,2025-05-22,\N,40,3305.18,M2,1
LN20250224000023,4,2025-06-25,\N,6,494.42,M1,1
LN20250210000014,3,2025-05-12,2025-05-30,19,679.89,M1,1
LN20250214000026,3,2025-05-16,2025-06-06,22,2521.75,M1,1
LN20250415000007,2,2025-06-15,\N,16,5125.52,M1,1
LN20250201000012,3,2025-05-03,2025-05-22,20,343.38,M1,1
LN20250330000009,3,2025-06-29,\N,2,865.92,M1,1
LN20250123000006,3,2025-04-24,\N,68,399.39,M3,1
LN20250307000030,1,2025-04-07,\N,85,168.85,M3,1
LN20250414000007,1,2025-05-15,\N,47,59.88,M2,1
LN20250511000020,1,2025-06-11,\N,20,3500.55,M1,1
LN20250302000021,1,2025-04-02,\N,90,256.93,M3+,1
LN20250318000018,3,2025-06-17,\N,14,151.75,M1,1
LN20250303000022,2,2025-05-03,2025-05-17,15,7742.66,M1,1
LN20250213000030,3,2025-05-15,2025-06-05,22,8956.03,M1,1
LN20250312000028,1,2025-04-12,\N,80,28.27,M3,1
LN20250525000014,1,2025-06-25,\N,6,691.26,M1,1
LN20250122000006,1,2025-02-22,\N,129,2829.18,M3+,1
LN20250307000034,2,2025-05-07,\N,55,1557.23,M2,1
LN20250317000034,2,2025-05-17,2025-06-02,17,188.15,M1,1
LN20250124000008,1,2025-02-24,\N,127,381.69,M3+,1
LN20250301000029,1,2025-04-01,\N,91,3837.93,M3+,1
LN20250421000015,1,2025-05-22,\N,40,1393.29,M2,1
LN20250417000015,2,2025-06-17,\N,14,1899.90,M1,1
LN20250411000014,1,2025-05-12,\N,50,572.70,M2,1
LN20250426000011,2,2025-06-26,\N,5,683.40,M1,1
LN20250411000015,2,2025-06-11,\N,20,4474.95,M1,1
LN20250419000015,2,2025-06-19,\N,12,16952.41,M1,1
LN20250306000033,1,2025-04-06,\N,86,2211.69,M3,1
LN20250202000015,3,2025-05-04,2025-05-19,16,1702.91,M1,1
LN20250220000026,3,2025-05-22,2025-06-15,25,921.73,M1,1
LN20250304000034,3,2025-06-03,\N,28,72.30,M1,1
LN20250515000022,1,2025-06-15,\N,16,5184.44,M1,1
LN20250220000028,4,2025-06-21,\N,10,1149.68,M1,1
LN20250303000026,1,2025-04-03,\N,89,311.92,M3,1
LN20250124000010,2,2025-03-26,2025-04-11,17,3985.51,M1,1
LN20250312000032,1,2025-04-12,\N,80,2746.18,M3,1
LN20250326000020,1,2025-04-26,\N,66,1673.02,M3,1
LN20250305000020,3,2025-06-04,2025-06-19,16,38.19,M1,1
LN20250228000032,1,2025-03-31,\N,92,3072.38,M3+,1
LN20250428000014,1,2025-05-29,\N,33,752.61,M2,1
LN20250221000031,4,2025-06-22,\N,9,249.62,M1,1
LN20250402000020,1,2025-05-03,\N,59,48.49,M2,1
LN20250221000035,2,2025-04-23,2025-05-10,18,1049.45,M1,1
LN20250419000019,2,2025-06-19,\N,12,178.53,M1,1
LN20250314000030,2,2025-05-14,\N,48,184.31,M2,1
LN20250220000031,3,2025-05-22,2025-06-14,24,5108.72,M1,1
LN20250321000029,3,2025-06-20,\N,11,2760.54,M1,1
LN20250315000017,3,2025-06-14,\N,17,342.82,M1,1
LN20250305000025,1,2025-04-05,\N,87,8118.29,M3,1
LN20250220000033,4,2025-06-21,\N,10,381.19,M1,1
LN20250402000024,2,2025-06-02,2025-06-16,15,3110.87,M1,1
LN20250309000033,2,2025-05-09,2025-05-27,19,673.88,M1,1
LN20250319000025,3,2025-06-18,\N,13,10167.13,M1,1
LN20250314000034,2,2025-05-14,2025-05-30,17,27291.29,M1,1
LN20250315000023,3,2025-06-14,\N,17,14620.40,M1,1
LN20250221000039,1,2025-03-24,\N,99,3520.47,M3+,1
LN20250304000042,2,2025-05-04,2025-05-22,19,16429.92,M1,1
LN20250201000021,1,2025-03-04,\N,119,2201.35,M3+,1
LN20250213000043,4,2025-06-14,2025-06-28,15,183.36,M1,1
LN20250316000027,3,2025-06-15,\N,16,571.39,M1,1
LN20250215000045,2,2025-04-17,\N,75,647.63,M3,1
LN20250225000030,2,2025-04-27,2025-05-12,16,6878.88,M1,1
LN20250226000032,4,2025-06-27,\N,4,77.42,M1,1
LN20250206000026,3,2025-05-08,2025-05-28,21,3438.28,M1,1
LN20250306000044,2,2025-05-06,2025-05-20,15,690.13,M1,1
LN20250307000050,2,2025-05-07,2025-05-30,24,733.44,M1,1
LN20250208000022,2,2025-04-10,2025-04-30,21,27112.34,M1,1
LN20250531000022,1,2025-07-01,\N,0,3734.76,M0,1
LN20250514000021,1,2025-06-14,\N,17,379.02,M1,1
LN20250524000027,1,2025-06-24,\N,7,1705.71,M1,1
LN20250407000022,2,2025-06-07,2025-06-23,17,752.61,M1,1
LN20250221000041,2,2025-04-23,2025-05-10,18,710.24,M1,1
LN20250131000022,3,2025-05-02,2025-05-20,19,1434.33,M1,1
LN20250331000031,3,2025-06-30,\N,1,264.14,M1,1
LN20250406000023,1,2025-05-07,\N,55,502.85,M2,1
LN20250328000029,2,2025-05-28,2025-06-12,16,687.89,M1,1
LN20250305000031,2,2025-05-05,2025-05-29,25,1454.60,M1,1
LN20250113000004,1,2025-02-13,\N,138,446.14,M3+,1
LN20250305000032,2,2025-05-05,2025-05-24,20,1019.39,M1,1
LN20250506000018,1,2025-06-06,\N,25,2595.64,M1,1
LN20250411000022,1,2025-05-12,\N,50,48.49,M2,1
LN20250203000025,2,2025-04-05,\N,87,345.28,M3,1
LN20250330000022,3,2025-06-29,\N,2,170.42,M1,1
LN20250228000047,3,2025-05-30,\N,32,150.18,M2,1
LN20250301000046,4,2025-06-30,\N,1,307.04,M1,1
LN20250208000025,3,2025-05-10,2025-06-02,24,1483.27,M1,1
LN20250330000023,2,2025-05-30,\N,32,1233.66,M2,1
LN20250331000034,2,2025-05-31,2025-06-15,16,872.65,M1,1
LN20250224000054,2,2025-04-26,2025-05-18,23,49.92,M1,1
LN20250219000037,2,2025-04-21,\N,71,1637.59,M3,1
LN20250327000038,2,2025-05-27,2025-06-15,20,351.05,M1,1
LN20250202000025,1,2025-03-05,\N,118,97.93,M3+,1
LN20250423000013,2,2025-06-23,\N,8,883.82,M1,1
LN20250419000026,2,2025-06-19,\N,12,1288.76,M1,1
LN20250502000021,1,2025-06-02,\N,29,1008.17,M1,1
LN20250202000027,3,2025-05-04,2025-05-26,23,80.26,M1,1
LN20250305000038,1,2025-04-05,\N,87,778.17,M3,1
LN20250213000050,2,2025-04-15,2025-05-02,18,35.65,M1,1
LN20250318000035,3,2025-06-17,\N,14,3470.76,M1,1
LN20250318000036,1,2025-04-18,\N,74,1247.70,M3,1
LN20250505000020,1,2025-06-05,\N,26,366.56,M1,1
LN20250206000039,3,2025-05-08,2025-05-24,17,346.09,M1,1
LN20250212000048,3,2025-05-14,2025-06-05,23,2760.54,M1,1
LN20250519000028,1,2025-06-19,\N,12,255.96,M1,1
LN20250427000026,2,2025-06-27,\N,4,1824.10,M1,1
LN20250327000043,2,2025-05-27,2025-06-19,24,179.31,M1,1
LN20250404000039,2,2025-06-04,\N,27,94.08,M1,1
LN20250305000045,1,2025-04-05,\N,87,2071.99,M3,1
LN20250406000026,1,2025-05-07,\N,55,187.19,M2,1
LN20250515000039,1,2025-06-15,\N,16,634.22,M1,1
LN20250309000050,3,2025-06-08,\N,23,133.89,M1,1
LN20250120000012,2,2025-03-22,\N,101,4093.39,M3+,1
LN20250319000037,3,2025-06-18,\N,13,484.15,M1,1
LN20250129000023,2,2025-03-31,\N,92,2409.77,M3+,1
LN20250227000049,3,2025-05-29,2025-06-12,15,344.51,M1,1
LN20250307000066,2,2025-05-07,\N,55,692.38,M2,1
LN20250513000032,1,2025-06-13,\N,18,2760.54,M1,1
LN20250303000046,3,2025-06-02,2025-06-19,18,126.66,M1,1
LN20250317000054,1,2025-04-17,\N,75,521.96,M3,1
LN20250221000059,1,2025-03-24,\N,99,66.43,M3+,1
LN20250401000031,3,2025-07-01,\N,0,1674.64,M1,1
LN20250303000052,2,2025-05-03,\N,59,17001.11,M2,1
LN20250322000044,3,2025-06-21,\N,10,10952.64,M1,1
LN20250217000043,3,2025-05-19,2025-06-07,20,39.23,M1,1
LN20250130000025,3,2025-05-01,2025-05-21,21,96.97,M1,1
LN20250310000053,3,2025-06-09,2025-06-27,19,2751.55,M1,1
LN20250209000035,1,2025-03-12,\N,111,518.78,M3+,1
LN20250228000067,2,2025-04-30,\N,62,763.09,M3,1
LN20250514000035,1,2025-06-14,\N,17,1321.43,M1,1
LN20250202000035,1,2025-03-05,\N,118,29.46,M3+,1
LN20250308000060,3,2025-06-07,\N,24,1714.11,M1,1
LN20250330000028,3,2025-06-29,\N,2,5176.45,M1,1
LN20250310000058,1,2025-04-10,\N,82,652.45,M3,1
LN20250328000045,1,2025-04-28,\N,64,154.48,M3,1
LN20250304000062,2,2025-05-04,2025-05-23,20,1154.34,M1,1
LN20250213000064,2,2025-04-15,2025-04-30,16,7589.26,M1,1
LN20250216000046,1,2025-03-19,\N,104,61.45,M3+,1
LN20250313000073,2,2025-05-13,2025-05-27,15,7502.62,M1,1
LN20250202000037,3,2025-05-04,\N,58,725.85,M2,1
LN20250226000066,2,2025-04-28,\N,64,1716.91,M3,1
LN20250221000071,2,2025-04-23,\N,69,452.28,M3,1
LN20250303000061,3,2025-06-02,2025-06-25,24,6064.48,M1,1
LN20250219000058,2,2025-04-21,2025-05-11,21,1697.32,M1,1
LN20250307000077,3,2025-06-06,2025-06-26,21,453.84,M1,1
LN20250117000013,5,2025-06-17,\N,14,312.59,M1,1
LN20250301000062,1,2025-04-01,\N,91,304.91,M3+,1
LN20250330000031,2,2025-05-30,2025-06-22,24,2211.49,M1,1
LN20250305000062,2,2025-05-05,2025-05-24,20,860.27,M1,1
LN20250223000065,2,2025-04-25,\N,67,465.57,M3,1
LN20250308000066,3,2025-06-07,\N,24,3530.46,M1,1
LN20250222000068,1,2025-03-25,\N,98,935.94,M3+,1
LN20250310000062,3,2025-06-09,\N,22,1653.96,M1,1
LN20250207000056,1,2025-03-10,\N,113,763.44,M3+,1
LN20250523000044,1,2025-06-23,\N,8,3151.56,M1,1
LN20250331000058,2,2025-05-31,\N,31,770.78,M2,1
LN20250406000035,2,2025-06-06,2025-06-30,25,18555.22,M1,1
LN20250202000043,2,2025-04-04,\N,88,463.17,M3,1
LN20250212000066,3,2025-05-14,2025-06-01,19,1653.59,M1,1
LN20250219000064,2,2025-04-21,2025-05-09,19,978.67,M1,1
LN20250318000054,3,2025-06-17,\N,14,13373.37,M1,1
LN20250301000070,1,2025-04-01,\N,91,504.09,M3+,1
LN20250216000054,2,2025-04-18,2025-05-03,16,2352.75,M1,1
LN20250331000059,3,2025-06-30,\N,1,8751.37,M1,1
LN20250508000047,1,2025-06-08,\N,23,1692.31,M1,1
LN20250316000050,1,2025-04-16,\N,76,331.62,M3,1
LN20250522000047,1,2025-06-22,\N,9,887.61,M1,1
LN20250428000040,1,2025-05-29,\N,33,51.39,M2,1
LN20250501000033,2,2025-07-01,\N,0,4587.65,M1,1
LN20250306000075,2,2025-05-06,2025-05-23,18,126.66,M1,1
LN20250330000036,1,2025-04-30,\N,62,179.16,M3,1
LN20250324000048,2,2025-05-24,\N,38,683.40,M2,1
LN20250426000030,2,2025-06-26,\N,5,982.27,M1,1
