loan_id,fee_type,fee_amount,charge_time,is_test_data
LN20250430000001,SERVICE_FEE,240.00,2025-04-30 18:26:14,1
LN20250612000001,SERVICE_FEE,200.00,2025-06-12 12:26:42,1
LN20250209000001,SERVICE_FEE,405.49,2025-02-09 13:08:43,1
LN20250216000001,SERVICE_FEE,100.00,2025-02-16 08:17:31,1
LN20250227000001,SERVICE_FEE,83.33,2025-02-27 21:47:46,1
LN20250221000001,SERVICE_FEE,751.71,2025-02-21 21:06:13,1
LN20250227000002,SERVICE_FEE,319.62,2025-02-27 22:49:49,1
LN20250614000001,SERVICE_FEE,49.90,2025-06-14 11:36:51,1
LN20250511000001,SERVICE_FEE,40.00,2025-05-11 16:05:49,1
LN20250513000001,SERVICE_FEE,160.00,2025-05-13 23:29:35,1
LN20250507000001,SERVICE_FEE,50.00,2025-05-07 19:24:53,1
LN20250318000001,SERVICE_FEE,40.00,2025-03-18 20:35:04,1
LN20250327000001,SERVICE_FEE,10.00,2025-03-27 20:20:00,1
LN20250604000002,SERVICE_FEE,226.33,2025-06-04 10:11:56,1
LN20250516000001,SERVICE_FEE,8.84,2025-05-16 12:15:37,1
LN20250304000004,SERVICE_FEE,37.13,2025-03-04 22:35:58,1
LN20250209000002,SERVICE_FEE,67.72,2025-02-09 21:43:10,1
LN20250407000001,SERVICE_FEE,122.98,2025-04-07 20:24:49,1
LN20250612000002,SERVICE_FEE,300.00,2025-06-12 19:28:11,1
LN20250429000001,SERVICE_FEE,50.00,2025-04-29 21:01:40,1
LN20250309000001,SERVICE_FEE,223.53,2025-03-09 12:20:38,1
LN20250327000002,SERVICE_FEE,200.00,2025-03-27 13:55:13,1
LN20250316000001,SERVICE_FEE,8.52,2025-03-16 12:25:46,1
LN20250223000001,SERVICE_FEE,600.00,2025-02-23 18:13:01,1
LN20250402000001,SERVICE_FEE,88.37,2025-04-02 17:15:28,1
LN20250222000001,SERVICE_FEE,250.00,2025-02-22 12:57:54,1
LN20250125000001,SERVICE_FEE,5.00,2025-01-25 20:41:45,1
LN20250115000001,SERVICE_FEE,111.51,2025-01-15 13:05:38,1
LN20250128000002,SERVICE_FEE,138.95,2025-01-28 13:46:58,1
LN20250612000003,SERVICE_FEE,80.00,2025-06-12 21:41:58,1
LN20250516000002,SERVICE_FEE,258.39,2025-05-16 20:23:37,1
LN20250311000001,SERVICE_FEE,75.00,2025-03-11 20:47:51,1
LN20250413000002,SERVICE_FEE,30.00,2025-04-13 02:03:58,1
LN20250214000002,SERVICE_FEE,480.43,2025-02-14 21:51:28,1
LN20250217000001,SERVICE_FEE,257.60,2025-02-17 20:28:15,1
LN20250217000002,SERVICE_FEE,100.00,2025-02-17 22:29:03,1
LN20250310000001,SERVICE_FEE,269.19,2025-03-10 18:26:48,1
LN20250323000001,SERVICE_FEE,436.78,2025-03-23 17:17:45,1
LN20250308000001,SERVICE_FEE,300.00,2025-03-08 16:49:55,1
LN20250224000001,SERVICE_FEE,59.77,2025-02-24 14:06:36,1
LN20250209000003,SERVICE_FEE,10.00,2025-02-09 10:28:37,1
LN20250515000001,SERVICE_FEE,200.00,2025-05-15 12:54:07,1
LN20250505000001,SERVICE_FEE,285.70,2025-05-05 22:56:06,1
LN20250514000001,SERVICE_FEE,50.00,2025-05-14 17:43:01,1
LN20250411000002,SERVICE_FEE,839.69,2025-04-11 13:28:22,1
LN20250619000001,SERVICE_FEE,400.00,2025-06-19 01:55:48,1
LN20250313000001,SERVICE_FEE,450.00,2025-03-13 17:20:28,1
LN20250328000001,SERVICE_FEE,79.22,2025-03-28 21:05:50,1
LN20250311000002,SERVICE_FEE,150.00,2025-03-11 13:47:37,1
LN20250223000002,SERVICE_FEE,200.00,2025-02-23 10:21:14,1
LN20250316000002,SERVICE_FEE,710.81,2025-03-16 13:32:58,1
LN20250312000001,SERVICE_FEE,400.00,2025-03-12 21:02:41,1
LN20250322000001,SERVICE_FEE,400.00,2025-03-22 09:45:56,1
LN20250326000001,SERVICE_FEE,80.00,2025-03-26 11:39:34,1
LN20250511000002,SERVICE_FEE,592.61,2025-05-11 20:15:32,1
LN20250503000001,SERVICE_FEE,40.00,2025-05-03 19:51:05,1
LN20250317000001,SERVICE_FEE,450.00,2025-03-17 16:19:29,1
LN20250201000001,SERVICE_FEE,10.00,2025-02-01 22:15:30,1
LN20250210000002,SERVICE_FEE,50.00,2025-02-10 11:14:52,1
LN20250218000002,SERVICE_FEE,20.00,2025-02-18 08:55:47,1
LN20250326000002,SERVICE_FEE,12.41,2025-03-26 20:05:17,1
LN20250406000001,SERVICE_FEE,50.00,2025-04-06 21:58:30,1
LN20250412000001,SERVICE_FEE,20.00,2025-04-12 11:45:43,1
LN20250118000001,SERVICE_FEE,16.48,2025-01-18 12:48:05,1
LN20250224000002,SERVICE_FEE,300.00,2025-02-24 22:38:08,1
LN20250202000001,SERVICE_FEE,827.81,2025-02-02 13:03:19,1
LN20250129000001,SERVICE_FEE,40.00,2025-01-29 20:54:58,1
LN20250124000002,SERVICE_FEE,449.39,2025-01-24 13:28:06,1
LN20250608000002,SERVICE_FEE,483.01,2025-06-08 20:14:26,1
LN20250630000001,SERVICE_FEE,400.00,2025-06-30 07:22:21,1
LN20250615000001,SERVICE_FEE,383.20,2025-06-15 22:47:47,1
LN20250529000001,SERVICE_FEE,450.00,2025-05-29 12:37:59,1
LN20250216000002,SERVICE_FEE,27.22,2025-02-16 12:41:50,1
LN20250223000003,SERVICE_FEE,474.80,2025-02-23 10:27:51,1
LN20250530000001,SERVICE_FEE,50.00,2025-05-30 21:54:53,1
LN20250604000003,SERVICE_FEE,400.00,2025-06-04 16:18:01,1
LN20250121000001,SERVICE_FEE,250.00,2025-01-21 21:23:08,1
LN20250304000005,SERVICE_FEE,64.88,2025-03-04 21:55:10,1
LN20250215000002,SERVICE_FEE,34.05,2025-02-15 21:34:48,1
LN20250225000001,SERVICE_FEE,192.62,2025-02-25 10:53:06,1
LN20250409000001,SERVICE_FEE,30.00,2025-04-09 11:39:18,1
LN20250626000001,SERVICE_FEE,10.00,2025-06-26 12:06:52,1
LN20250512000001,SERVICE_FEE,85.27,2025-05-12 17:45:49,1
LN20250526000003,SERVICE_FEE,56.42,2025-05-26 14:15:05,1
LN20250228000001,SERVICE_FEE,854.22,2025-02-28 14:13:32,1
LN20250221000002,SERVICE_FEE,100.00,2025-02-21 02:16:05,1
LN20250203000002,SERVICE_FEE,204.99,2025-02-03 12:15:12,1
LN20250213000002,SERVICE_FEE,1500.00,2025-02-13 20:30:57,1
LN20250527000001,SERVICE_FEE,50.00,2025-05-27 12:04:49,1
LN20250618000001,SERVICE_FEE,20.00,2025-06-18 22:24:29,1
LN20250215000003,SERVICE_FEE,100.00,2025-02-15 21:35:17,1
LN20250321000001,SERVICE_FEE,21.84,2025-03-21 21:35:11,1
LN20250501000001,SERVICE_FEE,200.00,2025-05-01 20:48:19,1
LN20250425000002,SERVICE_FEE,13.37,2025-04-25 15:53:42,1
LN20250328000002,SERVICE_FEE,100.00,2025-03-28 13:29:31,1
LN20250306000001,SERVICE_FEE,882.38,2025-03-06 12:36:58,1
LN20250306000002,SERVICE_FEE,80.00,2025-03-06 00:20:14,1
LN20250212000002,SERVICE_FEE,181.93,2025-02-12 21:36:01,1
LN20250404000001,SERVICE_FEE,25.00,2025-04-04 20:00:26,1
LN20250317000002,SERVICE_FEE,100.00,2025-03-17 13:56:15,1
LN20250614000002,SERVICE_FEE,50.00,2025-06-14 13:46:32,1
LN20250615000002,SERVICE_FEE,100.00,2025-06-15 21:33:04,1
LN20250629000002,SERVICE_FEE,10.00,2025-06-29 13:46:24,1
LN20250617000001,SERVICE_FEE,255.73,2025-06-17 09:17:21,1
LN20250624000001,SERVICE_FEE,80.40,2025-06-24 20:54:50,1
LN20250620000001,SERVICE_FEE,63.29,2025-06-20 16:32:24,1
LN20250302000001,SERVICE_FEE,40.00,2025-03-02 22:38:55,1
LN20250422000001,SERVICE_FEE,5.00,2025-04-22 20:18:12,1
LN20250409000002,SERVICE_FEE,40.00,2025-04-09 12:32:28,1
LN20250405000001,SERVICE_FEE,80.00,2025-04-05 20:17:52,1
LN20250320000001,SERVICE_FEE,600.00,2025-03-20 20:17:15,1
LN20250523000001,SERVICE_FEE,820.69,2025-05-23 21:36:36,1
LN20250528000001,SERVICE_FEE,10.00,2025-05-28 15:02:48,1
LN20250427000001,SERVICE_FEE,279.06,2025-04-27 13:39:56,1
LN20250516000003,SERVICE_FEE,300.00,2025-05-16 21:38:28,1
LN20250324000001,SERVICE_FEE,251.95,2025-03-24 13:58:22,1
LN20250422000002,SERVICE_FEE,100.00,2025-04-22 21:49:17,1
LN20250428000001,SERVICE_FEE,33.99,2025-04-28 08:27:08,1
LN20250506000001,SERVICE_FEE,50.00,2025-05-06 00:27:27,1
LN20250513000002,SERVICE_FEE,20.00,2025-05-13 20:26:32,1
LN20250621000002,SERVICE_FEE,40.00,2025-06-21 19:26:00,1
LN20250524000001,SERVICE_FEE,770.77,2025-05-24 09:16:39,1
LN20250204000002,SERVICE_FEE,200.00,2025-02-04 20:24:57,1
LN20250218000003,SERVICE_FEE,200.00,2025-02-18 12:34:10,1
LN20250118000002,SERVICE_FEE,300.00,2025-01-18 16:24:58,1
LN20250317000003,SERVICE_FEE,82.97,2025-03-17 20:52:55,1
LN20250214000003,SERVICE_FEE,595.36,2025-02-14 21:17:54,1
LN20250213000003,SERVICE_FEE,160.00,2025-02-13 13:08:47,1
LN20250218000004,SERVICE_FEE,100.00,2025-02-18 13:50:46,1
LN20250514000002,SERVICE_FEE,300.00,2025-05-14 18:18:36,1
LN20250621000003,SERVICE_FEE,77.60,2025-06-21 20:51:41,1
LN20250411000003,SERVICE_FEE,563.03,2025-04-11 09:43:23,1
LN20250605000001,SERVICE_FEE,150.00,2025-06-05 10:20:25,1
LN20250622000001,SERVICE_FEE,50.00,2025-06-22 13:50:16,1
LN20250610000001,SERVICE_FEE,40.00,2025-06-10 07:05:52,1
LN20250617000002,SERVICE_FEE,100.00,2025-06-17 00:21:42,1
LN20250624000002,SERVICE_FEE,20.00,2025-06-24 22:33:39,1
LN20250310000002,SERVICE_FEE,50.00,2025-03-10 23:55:50,1
LN20250228000002,SERVICE_FEE,256.99,2025-02-28 10:26:50,1
LN20250216000003,SERVICE_FEE,80.00,2025-02-16 20:22:28,1
LN20250328000003,SERVICE_FEE,20.00,2025-03-28 00:02:38,1
LN20250405000002,SERVICE_FEE,250.00,2025-04-05 10:08:10,1
LN20250401000001,SERVICE_FEE,73.75,2025-04-01 01:36:03,1
LN20250309000002,SERVICE_FEE,137.63,2025-03-09 20:45:48,1
LN20250526000004,SERVICE_FEE,300.00,2025-05-26 20:23:10,1
LN20250529000002,SERVICE_FEE,200.00,2025-05-29 13:02:16,1
LN20250306000003,SERVICE_FEE,20.00,2025-03-06 18:22:20,1
LN20250418000001,SERVICE_FEE,594.17,2025-04-18 22:52:04,1
LN20250326000003,SERVICE_FEE,400.00,2025-03-26 22:33:13,1
LN20250317000004,SERVICE_FEE,10.00,2025-03-17 15:19:52,1
LN20250329000001,SERVICE_FEE,10.00,2025-03-29 20:44:21,1
LN20250304000006,SERVICE_FEE,20.00,2025-03-04 17:27:44,1
LN20250309000003,SERVICE_FEE,279.56,2025-03-09 22:04:12,1
LN20250613000001,SERVICE_FEE,500.00,2025-06-13 10:12:24,1
LN20250615000003,SERVICE_FEE,379.91,2025-06-15 12:02:04,1
LN20250305000001,SERVICE_FEE,400.00,2025-03-05 22:14:51,1
LN20250403000001,SERVICE_FEE,31.98,2025-04-03 21:31:20,1
LN20250324000002,SERVICE_FEE,200.00,2025-03-24 22:42:59,1
LN20250323000002,SERVICE_FEE,50.00,2025-03-23 14:53:08,1
LN20250418000002,SERVICE_FEE,5.00,2025-04-18 13:30:40,1
LN20250411000004,SERVICE_FEE,590.32,2025-04-11 18:11:19,1
LN20250328000004,SERVICE_FEE,119.98,2025-03-28 07:40:08,1
LN20250315000001,SERVICE_FEE,212.79,2025-03-15 22:47:11,1
LN20250223000004,SERVICE_FEE,250.00,2025-02-23 13:39:26,1
LN20250317000005,SERVICE_FEE,243.59,2025-03-17 20:47:30,1
LN20250207000002,SERVICE_FEE,48.06,2025-02-07 17:58:13,1
LN20250225000002,SERVICE_FEE,221.41,2025-02-25 13:57:20,1
LN20250327000003,SERVICE_FEE,20.00,2025-03-27 22:46:10,1
LN20250325000001,SERVICE_FEE,528.74,2025-03-25 15:10:50,1
LN20250224000003,SERVICE_FEE,300.00,2025-02-24 14:17:36,1
LN20250220000001,SERVICE_FEE,100.00,2025-02-20 18:24:13,1
LN20250222000002,SERVICE_FEE,100.00,2025-02-22 20:30:11,1
LN20250327000004,SERVICE_FEE,591.78,2025-03-27 10:54:08,1
LN20250215000004,SERVICE_FEE,300.00,2025-02-15 12:34:31,1
LN20250309000004,SERVICE_FEE,10.46,2025-03-09 09:47:27,1
LN20250328000005,SERVICE_FEE,400.00,2025-03-28 12:25:02,1
LN20250205000001,SERVICE_FEE,85.28,2025-02-05 21:29:07,1
LN20250602000001,SERVICE_FEE,91.43,2025-06-02 09:49:52,1
LN20250506000002,SERVICE_FEE,536.60,2025-05-06 20:42:46,1
LN20250520000001,SERVICE_FEE,100.00,2025-05-20 22:56:42,1
LN20250412000002,SERVICE_FEE,20.00,2025-04-12 12:22:40,1
LN20250419000001,SERVICE_FEE,40.95,2025-04-19 13:22:57,1
LN20250407000002,SERVICE_FEE,152.88,2025-04-07 22:56:04,1
LN20250329000002,SERVICE_FEE,95.82,2025-03-29 13:33:31,1
LN20250322000002,SERVICE_FEE,300.00,2025-03-22 21:39:00,1
LN20250310000003,SERVICE_FEE,100.00,2025-03-10 00:48:52,1
LN20250313000002,SERVICE_FEE,559.50,2025-03-13 21:35:57,1
LN20250612000004,SERVICE_FEE,38.26,2025-06-12 16:37:38,1
LN20250201000002,SERVICE_FEE,385.25,2025-02-01 22:22:46,1
LN20250301000002,SERVICE_FEE,479.12,2025-03-01 16:51:11,1
LN20250212000003,SERVICE_FEE,88.47,2025-02-12 13:29:11,1
LN20250207000003,SERVICE_FEE,148.31,2025-02-07 20:40:45,1
LN20250324000003,SERVICE_FEE,900.00,2025-03-24 09:35:15,1
LN20250503000002,SERVICE_FEE,133.05,2025-05-03 20:05:40,1
LN20250302000002,SERVICE_FEE,200.00,2025-03-02 21:35:38,1
LN20250312000002,SERVICE_FEE,100.00,2025-03-12 13:08:13,1
LN20250222000003,SERVICE_FEE,37.28,2025-02-22 21:44:51,1
LN20250303000001,SERVICE_FEE,20.00,2025-03-03 20:22:44,1
LN20250219000001,SERVICE_FEE,80.00,2025-02-19 23:46:50,1
LN20250215000005,SERVICE_FEE,628.08,2025-02-15 02:07:01,1
LN20250526000005,SERVICE_FEE,290.89,2025-05-26 22:40:11,1
LN20250624000003,SERVICE_FEE,300.00,2025-06-24 20:12:47,1
LN20250517000001,SERVICE_FEE,656.97,2025-05-17 19:18:42,1
LN20250228000003,SERVICE_FEE,563.10,2025-02-28 13:39:20,1
LN20250227000003,SERVICE_FEE,470.02,2025-02-27 22:34:50,1
LN20250228000004,SERVICE_FEE,200.00,2025-02-28 20:17:47,1
LN20250303000002,SERVICE_FEE,400.00,2025-03-03 19:35:13,1
LN20250125000002,SERVICE_FEE,845.30,2025-01-25 20:20:58,1
LN20250223000005,SERVICE_FEE,50.00,2025-02-23 12:42:32,1
LN20250204000003,SERVICE_FEE,150.00,2025-02-04 18:15:07,1
LN20250208000001,SERVICE_FEE,400.00,2025-02-08 21:13:50,1
LN20250318000002,SERVICE_FEE,200.00,2025-03-18 23:53:08,1
LN20250601000002,SERVICE_FEE,56.73,2025-06-01 20:08:38,1
LN20250201000003,SERVICE_FEE,20.00,2025-02-01 13:24:29,1
LN20250218000005,SERVICE_FEE,200.00,2025-02-18 16:24:50,1
LN20250307000001,SERVICE_FEE,200.00,2025-03-07 21:11:01,1
LN20250620000002,SERVICE_FEE,28.05,2025-06-20 21:13:45,1
LN20250630000002,SERVICE_FEE,700.03,2025-06-30 23:45:43,1
LN20250409000003,SERVICE_FEE,179.04,2025-04-09 13:49:26,1
LN20250228000005,SERVICE_FEE,20.00,2025-02-28 20:00:11,1
LN20250223000006,SERVICE_FEE,75.00,2025-02-23 21:11:45,1
LN20250510000001,SERVICE_FEE,79.73,2025-05-10 20:47:29,1
LN20250525000001,SERVICE_FEE,61.19,2025-05-25 20:50:59,1
LN20250513000003,SERVICE_FEE,50.00,2025-05-13 21:18:30,1
LN20250525000002,SERVICE_FEE,587.90,2025-05-25 09:18:29,1
LN20250408000001,SERVICE_FEE,200.00,2025-04-08 02:36:31,1
LN20250411000005,SERVICE_FEE,100.00,2025-04-11 09:30:00,1
LN20250326000004,SERVICE_FEE,740.06,2025-03-26 14:18:26,1
LN20250220000002,SERVICE_FEE,259.00,2025-02-20 11:25:50,1
LN20250323000003,SERVICE_FEE,847.92,2025-03-23 17:36:12,1
LN20250211000001,SERVICE_FEE,20.00,2025-02-11 20:28:04,1
LN20250122000001,SERVICE_FEE,17.48,2025-01-22 08:52:54,1
LN20250220000003,SERVICE_FEE,50.00,2025-02-20 21:40:45,1
LN20250226000001,SERVICE_FEE,424.84,2025-02-26 11:42:54,1
LN20250220000004,SERVICE_FEE,100.00,2025-02-20 18:08:23,1
LN20250130000002,SERVICE_FEE,376.42,2025-01-30 17:01:20,1
LN20250122000002,SERVICE_FEE,20.00,2025-01-22 07:30:07,1
LN20250129000002,SERVICE_FEE,300.00,2025-01-29 22:50:18,1
LN20250219000002,SERVICE_FEE,719.50,2025-02-19 11:45:06,1
LN20250627000001,SERVICE_FEE,300.00,2025-06-27 13:21:36,1
LN20250401000002,SERVICE_FEE,125.36,2025-04-01 12:53:13,1
LN20250307000002,SERVICE_FEE,25.00,2025-03-07 16:15:14,1
LN20250222000004,SERVICE_FEE,284.54,2025-02-22 22:47:14,1
LN20250313000003,SERVICE_FEE,10.00,2025-03-13 22:51:35,1
LN20250504000002,SERVICE_FEE,300.00,2025-05-04 17:23:50,1
LN20250529000003,SERVICE_FEE,200.00,2025-05-29 12:45:49,1
LN20250608000003,SERVICE_FEE,150.00,2025-06-08 09:00:12,1
LN20250624000004,SERVICE_FEE,454.83,2025-06-24 07:06:17,1
LN20250615000004,SERVICE_FEE,294.53,2025-06-15 22:11:51,1
LN20250227000004,SERVICE_FEE,179.64,2025-02-27 22:16:44,1
LN20250309000005,SERVICE_FEE,300.00,2025-03-09 10:38:54,1
LN20250228000006,SERVICE_FEE,1362.31,2025-02-28 08:23:54,1
LN20250312000003,SERVICE_FEE,50.00,2025-03-12 12:16:52,1
LN20250517000002,SERVICE_FEE,10.00,2025-05-17 20:58:50,1
LN20250605000002,SERVICE_FEE,259.19,2025-06-05 07:40:07,1
LN20250514000003,SERVICE_FEE,30.00,2025-05-14 13:23:33,1
LN20250227000005,SERVICE_FEE,160.00,2025-02-27 13:31:23,1
LN20250209000004,SERVICE_FEE,135.47,2025-02-09 12:16:56,1
LN20250310000004,SERVICE_FEE,998.15,2025-03-10 21:44:24,1
LN20250228000007,SERVICE_FEE,10.00,2025-02-28 22:24:05,1
LN20250422000003,SERVICE_FEE,10.00,2025-04-22 14:03:01,1
LN20250409000004,SERVICE_FEE,50.00,2025-04-09 22:02:13,1
LN20250211000002,SERVICE_FEE,49.00,2025-02-11 13:29:34,1
LN20250329000003,SERVICE_FEE,139.56,2025-03-29 09:19:37,1
LN20250421000001,SERVICE_FEE,15.86,2025-04-21 22:37:56,1
LN20250508000001,SERVICE_FEE,20.00,2025-05-08 21:19:25,1
LN20250525000003,SERVICE_FEE,18.34,2025-05-25 13:29:14,1
LN20250517000003,SERVICE_FEE,20.00,2025-05-17 20:16:39,1
LN20250424000002,SERVICE_FEE,362.38,2025-04-24 12:25:48,1
LN20250503000003,SERVICE_FEE,5.37,2025-05-03 12:15:58,1
LN20250610000002,SERVICE_FEE,2962.48,2025-06-10 12:58:33,1
LN20250210000003,SERVICE_FEE,50.00,2025-02-10 12:40:54,1
LN20250201000004,SERVICE_FEE,512.15,2025-02-01 22:05:12,1
LN20250312000004,SERVICE_FEE,438.67,2025-03-12 21:06:13,1
LN20250301000003,SERVICE_FEE,25.00,2025-03-01 13:24:14,1
LN20250301000004,SERVICE_FEE,199.58,2025-03-01 11:41:34,1
LN20250316000003,SERVICE_FEE,10.00,2025-03-16 13:38:24,1
LN20250318000003,SERVICE_FEE,1388.74,2025-03-18 13:15:12,1
LN20250605000003,SERVICE_FEE,75.00,2025-06-05 21:10:18,1
LN20250517000004,SERVICE_FEE,74.35,2025-05-17 21:22:15,1
LN20250526000006,SERVICE_FEE,16.12,2025-05-26 09:42:54,1
LN20250505000002,SERVICE_FEE,37.25,2025-05-05 08:07:33,1
LN20250420000001,SERVICE_FEE,660.07,2025-04-20 18:18:26,1
LN20250303000003,SERVICE_FEE,100.00,2025-03-03 22:41:54,1
LN20250311000003,SERVICE_FEE,60.00,2025-03-11 22:16:48,1
LN20250218000006,SERVICE_FEE,100.00,2025-02-18 21:25:45,1
LN20250124000003,SERVICE_FEE,300.00,2025-01-24 11:47:46,1
LN20250215000006,SERVICE_FEE,150.00,2025-02-15 20:39:47,1
LN20250222000005,SERVICE_FEE,39.48,2025-02-22 13:00:35,1
LN20250522000001,SERVICE_FEE,805.90,2025-05-22 21:16:21,1
LN20250521000001,SERVICE_FEE,29.49,2025-05-21 13:47:55,1
LN20250617000003,SERVICE_FEE,4.34,2025-06-17 15:42:22,1
LN20250621000004,SERVICE_FEE,534.62,2025-06-21 22:22:12,1
LN20250418000003,SERVICE_FEE,146.11,2025-04-18 20:32:07,1
LN20250511000003,SERVICE_FEE,10.00,2025-05-11 22:48:47,1
LN20250508000002,SERVICE_FEE,20.00,2025-05-08 20:51:19,1
LN20250423000001,SERVICE_FEE,450.00,2025-04-23 00:14:09,1
LN20250224000004,SERVICE_FEE,200.00,2025-02-24 20:24:57,1
LN20250203000003,SERVICE_FEE,200.00,2025-02-03 12:18:36,1
LN20250321000002,SERVICE_FEE,28.24,2025-03-21 14:19:54,1
LN20250612000005,SERVICE_FEE,160.00,2025-06-12 13:52:25,1
LN20250601000003,SERVICE_FEE,300.00,2025-06-01 22:23:07,1
LN20250324000004,SERVICE_FEE,110.28,2025-03-24 20:14:04,1
LN20250504000003,SERVICE_FEE,113.20,2025-05-04 22:35:03,1
LN20250422000004,SERVICE_FEE,70.15,2025-04-22 00:11:29,1
LN20250321000003,SERVICE_FEE,20.00,2025-03-21 20:17:12,1
LN20250323000004,SERVICE_FEE,5.00,2025-03-23 13:01:44,1
LN20250320000002,SERVICE_FEE,178.75,2025-03-20 22:58:19,1
LN20250306000004,SERVICE_FEE,466.60,2025-03-06 08:35:26,1
LN20250619000002,SERVICE_FEE,392.08,2025-06-19 20:55:39,1
LN20250530000002,SERVICE_FEE,345.39,2025-05-30 22:26:38,1
LN20250323000005,SERVICE_FEE,995.61,2025-03-23 22:28:44,1
LN20250627000002,SERVICE_FEE,94.83,2025-06-27 17:55:25,1
LN20250618000002,SERVICE_FEE,242.55,2025-06-18 12:55:10,1
LN20250617000004,SERVICE_FEE,300.00,2025-06-17 18:10:17,1
LN20250515000002,SERVICE_FEE,67.06,2025-05-15 15:07:18,1
LN20250519000002,SERVICE_FEE,80.00,2025-05-19 13:32:21,1
LN20250525000004,SERVICE_FEE,20.00,2025-05-25 12:17:08,1
LN20250224000005,SERVICE_FEE,100.00,2025-02-24 20:48:39,1
LN20250521000002,SERVICE_FEE,100.00,2025-05-21 09:42:12,1
LN20250311000004,SERVICE_FEE,123.99,2025-03-11 12:06:36,1
LN20250216000004,SERVICE_FEE,40.00,2025-02-16 11:02:26,1
LN20250531000002,SERVICE_FEE,580.71,2025-05-31 10:11:24,1
LN20250531000003,SERVICE_FEE,18.33,2025-05-31 11:57:07,1
LN20250621000005,SERVICE_FEE,510.45,2025-06-21 16:52:03,1
LN20250221000003,SERVICE_FEE,536.93,2025-02-21 22:30:35,1
LN20250310000005,SERVICE_FEE,41.42,2025-03-10 22:49:55,1
LN20250407000003,SERVICE_FEE,476.56,2025-04-07 12:58:33,1
LN20250402000002,SERVICE_FEE,233.81,2025-04-02 14:09:15,1
LN20250403000002,SERVICE_FEE,144.72,2025-04-03 09:54:21,1
LN20250501000002,SERVICE_FEE,111.45,2025-05-01 22:18:10,1
LN20250428000002,SERVICE_FEE,54.67,2025-04-28 14:55:03,1
LN20250215000007,SERVICE_FEE,801.84,2025-02-15 13:59:05,1
LN20250314000001,SERVICE_FEE,931.69,2025-03-14 12:25:26,1
LN20250130000003,SERVICE_FEE,300.00,2025-01-30 20:12:17,1
LN20250218000007,SERVICE_FEE,25.00,2025-02-18 21:17:29,1
LN20250517000005,SERVICE_FEE,152.49,2025-05-17 09:07:02,1
LN20250223000007,SERVICE_FEE,600.00,2025-02-23 21:11:43,1
LN20250306000005,SERVICE_FEE,156.10,2025-03-06 12:31:17,1
LN20250512000002,SERVICE_FEE,300.00,2025-05-12 16:06:55,1
